Country	meanannualexposure	ID	id_row
Afghanistan	56.3	Q889	0
Albania	18.2	Q222	1
Algeria	39.9	Q262	2
American Samoa	12.4	Q16641	3
Andorra	10.3	Q228	4
Angola	31.8	Q916	5
Antigua and Barbuda	18.5	Q781	6
Argentina	13.8	Q414	7
Armenia	32.2	Q399	8
Australia	8.6	Q408	9
Austria	12.6	Q40	10
Azerbaijan	20.2	Q227	11
Bahamas, The	17.7	Q778	12
Bahrain	69.9	Q398	13
Bangladesh	60.1	Q902	14
Barbados	23.5	Q244	15
Belarus	18.9	Q184	16
Belgium	12.8	Q31	17
Belize	23.1	Q242	18
Benin	38.4	Q962	19
Bermuda	11.7	Q23635	20
Bhutan	37.2	Q917	21
Bolivia	21.4	Q750	22
Bosnia and Herzegovina	27.6	Q225	23
Botswana	23.6	Q963	24
Brazil	12.7	Q155	25
Brunei Darussalam	5.9	Q921	26
Bulgaria	19.3	Q219	27
Burkina Faso	41.5	Q965	28
Burundi	38.7	Q967	29
Cabo Verde	33.4	Q1011	30
Cambodia	25.2	Q424	31
Cameroon	73.2	Q1009	32
Canada	6.5	Q16	33
Central African Republic	57.0	Q929	34
Chad	64.8	Q657	35
Chile	20.9	Q298	36
China	52.2	Q148	37
Colombia	16.6	Q739	38
Comoros	20.5	Q970	39
Congo, Dem. Rep.	45.5	Q974	40
Congo, Rep.	45.7	Q971	41
Costa Rica	15.7	Q800	42
Cote d'Ivoire	26.7	Q1008	43
Croatia	17.8	Q224	44
Cuba	19.7	Q241	45
Cyprus	17.0	Q229	46
Czech Republic	16.1	Q213	47
Denmark	10.1	Q35	48
Djibouti	45.9	Q977	49
Dominica	20.0	Q784	50
Dominican Republic	13.7	Q786	51
Ecuador	15.0	Q736	52
Egypt, Arab Rep.	88.1	Q79	53
El Salvador	24.7	Q792	54
Equatorial Guinea	54.5	Q983	55
Eritrea	48.7	Q986	56
Estonia	6.8	Q191	57
Eswatini	17.1	Q1050	58
Ethiopia	39.2	Q115	59
Fiji	11.1	Q712	60
Finland	5.9	Q33	61
France	11.9	Q142	62
Gabon	43.7	Q1000	63
Gambia, The	32.6	Q1005	64
Georgia	21.8	Q230	65
Germany	11.9	Q183	66
Ghana	36.3	Q117	67
Greece	16.3	Q41	68
Greenland	11.6	Q223	69
Grenada	22.9	Q769	70
Guam	11.7	Q16635	71
Guatemala	23.8	Q774	72
Guinea	24.8	Q1006	73
Guinea-Bissau	29.6	Q1007	74
Guyana	22.4	Q734	75
Haiti	15.1	Q790	76
Honduras	21.1	Q783	77
Hungary	15.9	Q28	78
Iceland	6.6	Q189	79
India	89.7	Q668	80
Indonesia	16.4	Q252	81
Iran, Islamic Rep.	38.8	Q794	82
Iraq	64.0	Q796	83
Ireland	8.3	Q27	84
Israel	20.8	Q801	85
Italy	16.5	Q38	86
Jamaica	13.4	Q766	87
Japan	11.6	Q17	88
Jordan	33.2	Q810	89
