Country	Total	ID	id_row
Afghanistan	97.7	Q889	0
Albania	100.0	Q222	1
Algeria	100.0	Q262	2
Andorra	100.0	Q228	3
Angola	42.0	Q916	4
Antigua and Barbuda	100.0	Q781	5
Argentina	100.0	Q414	6
Armenia	100.0	Q399	7
Aruba	100.0	Q21203	8
Australia	100.0	Q408	9
Austria	100.0	Q40	10
Azerbaijan	100.0	Q227	11
Bahamas, The	100.0	Q778	12
Bahrain	100.0	Q398	13
Bangladesh	88.0	Q902	14
Barbados	100.0	Q244	15
Belarus	100.0	Q184	16
Belgium	100.0	Q31	17
Belize	98.3	Q242	18
Benin	34.5	Q962	19
Bermuda	100.0	Q23635	20
Bhutan	97.7	Q917	21
Bolivia	91.8	Q750	22
Bosnia and Herzegovina	100.0	Q225	23
Botswana	62.6	Q963	24
Brazil	100.0	Q155	25
Brunei Darussalam	100.0	Q921	26
Bulgaria	100.0	Q219	27
Burkina Faso	17.5	Q965	28
Burundi	9.3	Q967	29
Cabo Verde	91.4	Q1011	30
Cambodia	89.1	Q424	31
Cameroon	61.3	Q1009	32
Canada	100.0	Q16	33
Cayman Islands	100.0	Q5785	34
Central African Republic	29.8	Q929	35
Chad	10.9	Q657	36
Chile	100.0	Q298	37
China	100.0	Q148	38
Hong Kong SAR, China	100.0	Q8646	39
Macao SAR, China	100.0	Q14773	40
Colombia	98.5	Q739	41
Comoros	79.4	Q970	42
Congo, Dem. Rep.	18.2	Q974	43
Congo, Rep.	64.7	Q971	44
Costa Rica	99.6	Q800	45
Cote d'Ivoire	65.6	Q1008	46
Croatia	100.0	Q224	47
Cuba	99.9	Q241	48
Curacao	100.0	Q25279	49
Cyprus	100.0	Q229	50
Czech Republic	100.0	Q213	51
Denmark	100.0	Q35	52
Djibouti	60.2	Q977	53
Dominica	100.0	Q784	54
Dominican Republic	100.0	Q786	55
Ecuador	99.2	Q736	56
Egypt, Arab Rep.	100.0	Q79	57
El Salvador	96.8	Q792	58
Equatorial Guinea	66.8	Q983	59
Eritrea	48.3	Q986	60
Estonia	100.0	Q191	61
Eswatini	73.5	Q1050	62
Ethiopia	44.3	Q115	63
Faroe Islands	100.0	Q4628	64
Fiji	96.0	Q712	65
Finland	100.0	Q33	66
France	100.0	Q142	67
French Polynesia	100.0	Q30971	68
Gabon	91.9	Q1000	69
Gambia, The	56.2	Q1005	70
Georgia	100.0	Q230	71
Germany	100.0	Q183	72
Ghana	79.0	Q117	73
Greece	100.0	Q41	74
Greenland	100.0	Q223	75
Grenada	94.5	Q769	76
Guam	100.0	Q16635	77
Guatemala	93.3	Q774	78
Guinea	35.4	Q1006	79
Guinea-Bissau	26.0	Q1007	80
Guyana	90.9	Q734	81
Haiti	43.8	Q790	82
Honduras	86.5	Q783	83
Hungary	100.0	Q28	84
Iceland	100.0	Q189	85
India	92.6	Q668	86
Indonesia	98.1	Q252	87
Iran, Islamic Rep.	100.0	Q794	88
Iraq	99.9	Q796	89
Ireland	100.0	Q27	90
Isle of Man	100.0	Q9676	91
Israel	100.0	Q801	92
Italy	100.0	Q38	93
Jamaica	98.0	Q766	94
Japan	100.0	Q17	95
Jordan	100.0	Q810	96
Kazakhstan	100.0	Q232	97
Kenya	63.6	Q114	98
Kiribati	98.6	Q710	99
Korea, Dem. People’s Rep.	46.0	Q423	100
Korea, Rep.	100.0	Q884	101
Kosovo	99.8	Q1246	102
Kuwait	100.0	Q817	103
Kyrgyz Republic	100.0	Q813	104
Lao PDR	93.6	Q819	105
Latvia	100.0	Q211	106
Lebanon	100.0	Q822	107
Lesotho	33.7	Q1013	108
Liberia	24.2	Q1014	109
Libya	70.4	Q1016	110
Liechtenstein	100.0	Q347	111
Lithuania	100.0	Q37	112
Luxembourg	100.0	Q32	113
Madagascar	100.0	Q1019	114
Malawi	24.1	Q1020	115
Malaysia	12.7	Q833	116
Maldives	100.0	Q826	117
Mali	99.8	Q912	118
Malta	43.1	Q233	119
Marshall Islands	100.0	Q709	120
Mauritania	94.6	Q1025	121
Mauritius	42.9	Q1027	122
Mexico	97.4	Q96	123
Micronesia, Fed. Sts.	100.0	Q702	124
Moldova	80.1	Q217	125
Monaco	100.0	Q235	126
Mongolia	100.0	Q711	127
Montenegro	93.8	Q236	128
Morocco	100.0	Q1028	129
Mozambique	100.0	Q1029	130
Myanmar	29.3	Q836	131
Namibia	69.8	Q1030	132
Nepal	52.5	Q837	133
Netherlands	92.4	Q55	134
New Caledonia	100.0	Q33788	135
New Zealand	100.0	Q664	136
Nicaragua	100.0	Q811	137
Niger	86.8	Q1032	138
Nigeria	18.2	Q1033	139
North Macedonia	54.4	Q221	140
Northern Mariana Islands	100.0	Q16644	141
Norway	100.0	Q20	142
Oman	100.0	Q842	143
Pakistan	70.8	Q843	144
Palau	100.0	Q695	145
Panama	100.0	Q804	146
Papua New Guinea	54.4	Q691	147
Paraguay	99.3	Q733	148
Peru	94.8	Q419	149
Philippines	93.0	Q928	150
Poland	100.0	Q36	151
Portugal	100.0	Q45	152
Puerto Rico	100.0	Q1183	153
Qatar	100.0	Q846	154
Romania	100.0	Q218	155
Russian Federation	100.0	Q159	156
Rwanda	34.1	Q1037	157
Samoa	96.8	Q683	158
San Marino	100.0	Q238	159
Sao Tome and Principe	69.7	Q1039	160
Saudi Arabia	99.9	Q851	161
Senegal	61.7	Q1041	162
Serbia	100.0	Q403	163
Seychelles	100.0	Q1042	164
Sierra Leone	23.4	Q1044	165
Singapore	100.0	Q334	166
Sint Maarten (Dutch part)	100.0	Q26273	167
Slovak Republic	100.0	Q214	168
Slovenia	100.0	Q215	169
Solomon Islands	62.9	Q685	170
Somalia	33.4	Q1045	171
South Africa	84.4	Q258	172
South Sudan	25.1	Q958	173
Spain	100.0	Q29	174
Sri Lanka	97.5	Q854	175
St. Kitts and Nevis	100.0	Q763	176
St. Lucia	98.8	Q760	177
St. Martin (French part)	100.0	Q126125	178
St. Vincent and the Grenadines	100.0	Q757	179
Sudan	56.5	Q1049	180
Suriname	96.8	Q730	181
Sweden	100.0	Q34	182
Switzerland	100.0	Q39	183
Syrian Arab Republic	89.7	Q858	184
Tajikistan	99.3	Q863	185
Tanzania	32.7	Q924	186
Thailand	99.9	Q869	187
Timor-Leste	80.0	Q574	188
Togo	48.0	Q945	189
Tonga	98.0	Q678	190
Trinidad and Tobago	100.0	Q754	191
Tunisia	100.0	Q948	192
Turkey	100.0	Q43	193
Turkmenistan	100.0	Q874	194
Turks and Caicos Islands	100.0	Q18221	195
Tuvalu	99.9	Q672	196
Uganda	31.8	Q1036	197
Ukraine	100.0	Q212	198
United Arab Emirates	100.0	Q878	199
United Kingdom	100.0	Q145	200
United States	100.0	Q30	201
Uruguay	100.0	Q77	202
Uzbekistan	100.0	Q265	203
Vanuatu	62.8	Q686	204
Venezuela, RB	99.2	Q717	205
Vietnam	100.0	Q881	206
Virgin Islands (U.S.)	100.0	Q11703	207
West Bank and Gaza	99.7	Q407199	208
Yemen, Rep.	79.2	Q805	209
Zambia	40.3	Q953	210
Zimbabwe	40.5	Q954	211
