Country	Population2000	Population2016	Urban2016	Rural2016	ID	id_row
Andorra	100.0	100.0	100.0	100.0	Q228	0
Angola	20.0	40.7	70.1	3.8	Q916	1
Argentina	95.5	100.0	100.0	99.7	Q414	2
Armenia	98.9	100.0	100.0	100.0	Q399	3
Aruba	91.7	100.0	100.0	100.0	Q21203	4
Australia	100.0	100.0	100.0	100.0	Q408	5
Austria	100.0	100.0	100.0	100.0	Q40	6
Azerbaijan	98.9	100.0	100.0	100.0	Q227	7
Bahamas, The	100.0	100.0	100.0	100.0	Q778	8
Bahrain	100.0	100.0	100.0	100.0	Q398	9
Bangladesh	32.0	75.9	94.0	66.1	Q902	10
Barbados	100.0	100.0	100.0	100.0	Q244	11
Belarus	100.0	100.0	100.0	100.0	Q184	12
Belgium	100.0	100.0	100.0	100.0	Q31	13
Belize	79.0	97.0	97.9	96.2	Q242	14
Benin	21.4	39.0	65.1	16.5	Q962	15
Bermuda	100.0	100.0	100.0	100.0	Q23635	16
Bhutan	31.2	99.6	99.9	99.4	Q917	17
Bolivia	70.0	91.8	99.5	74.9	Q750	18
Bosnia and Herzegovina	100.0	100.0	100.0	100.0	Q225	19
Botswana	27.3	60.4	76.4	26.5	Q963	20
Brazil	94.4	99.7	99.9	98.5	Q155	21
Brunei Darussalam	100.0	100.0	100.0	100.0	Q921	22
Bulgaria	100.0	100.0	100.0	100.0	Q219	23
Burkina Faso	9.1	16.9	60.3	4.7	Q965	24
Burundi	3.0	9.6	59.0	2.7	Q967	25
Cabo Verde	58.6	89.2	90.8	86.4	Q1011	26
Cambodia	16.6	76.6	99.1	70.0	Q424	27
Cameroon	41.0	60.0	91.5	21.3	Q1009	28
Canada	100.0	100.0	100.0	100.0	Q16	29
Cayman Islands	100.0	100.0	100.0	100.0	Q5785	30
Central African Republic	6.0	27.1	48.0	12.8	Q929	31
Chad	2.7	10.4	36.2	2.9	Q657	32
Chile	97.9	100.0	100.0	100.0	Q298	33
China	96.9	100.0	100.0	100.0	Q148	34
Hong Kong SAR, China	100.0	100.0	100.0	100.0	Q8646	35
Macao SAR, China	100.0	100.0	100.0	100.0	Q14773	36
Colombia	95.2	98.4	99.8	92.8	Q739	37
Costa Rica	98.7	99.5	99.8	98.5	Q800	38
Cote d'Ivoire	47.6	64.3	92.0	36.7	Q1008	39
Croatia	100.0	100.0	100.0	100.0	Q224	40
Cuba	97.0	99.9	100.0	99.4	Q241	41
Curacao	100.0	100.0	100.0	100.0	Q25279	42
Cyprus	100.0	100.0	100.0	100.0	Q229	43
Czech Republic	100.0	100.0	100.0	100.0	Q213	44
Denmark	100.0	100.0	100.0	100.0	Q35	45
Djibouti	56.4	58.7	68.8	23.9	Q977	46
Dominican Republic	88.8	98.9	99.9	95.0	Q786	47
Ecuador	93.5	98.7	99.8	96.8	Q736	48
Egypt, Arab Rep.	97.7	100.0	100.0	100.0	Q79	49
El Salvador	84.5	96.0	98.4	90.3	Q792	50
Eritrea	29.2	47.0	77.3	30.4	Q986	51
Estonia	100.0	100.0	100.0	100.0	Q191	52
Eswatini	26.9	69.6	89.5	63.5	Q1050	53
Ethiopia	12.7	42.9	85.4	32.4	Q115	54
Faroe Islands	100.0	100.0	100.0	100.0	Q4628	55
Fiji	75.8	96.6	98.9	93.8	Q712	56
Finland	100.0	100.0	100.0	100.0	Q33	57
France	100.0	100.0	100.0	100.0	Q142	58
French Polynesia	100.0	100.0	100.0	100.0	Q30971	59
