Country	Population2000	Population2016	ID	id_row
Afghanistan	8.8	32.4	Q889	0
Albania	39.8	77.4	Q222	1
Algeria	86.5	92.6	Q262	2
Andorra	100.0	100.0	Q228	3
Angola	37.3	48.1	Q916	4
Antigua and Barbuda	96.7	98.8	Q781	5
Argentina	94.8	98.4	Q414	6
Armenia	82.0	96.9	Q399	7
Australia	100.0	100.0	Q408	8
Austria	100.0	100.0	Q40	9
Azerbaijan	73.2	95.5	Q227	10
Bahamas, The	100.0	100.0	Q778	11
Bahrain	100.0	100.0	Q398	12
Bangladesh	7.2	17.7	Q902	13
Barbados	97.4	99.4	Q244	14
Belarus	93.7	98.2	Q184	15
Belgium	100.0	100.0	Q31	16
Belize	78.2	85.4	Q242	17
Benin	1.8	6.4	Q962	18
Bhutan	31.7	52.5	Q917	19
Bolivia	65.3	64.0	Q750	20
Bosnia and Herzegovina	38.1	63.4	Q225	21
Botswana	45.1	64.1	Q963	22
Brazil	86.9	95.6	Q155	23
Brunei Darussalam	100.0	100.0	Q921	24
Bulgaria	65.0	88.7	Q219	25
Burkina Faso	2.8	8.9	Q965	26
Burundi	0.6	0.8	Q967	27
Cabo Verde	56.8	71.1	Q1011	28
Cambodia	4.7	17.7	Q424	29
Cameroon	9.9	23.0	Q1009	30
Canada	100.0	100.0	Q16	31
Central African Republic	0.6	1.0	Q929	32
Chad	3.3	3.1	Q657	33
Chile	86.1	92.3	Q298	34
China	46.8	59.3	Q148	35
Colombia	79.6	91.8	Q739	36
Comoros	0.6	9.3	Q970	37
Congo, Dem. Rep.	3.6	4.0	Q974	38
Congo, Rep.	10.0	24.1	Q971	39
Costa Rica	87.8	93.5	Q800	40
Cote d'Ivoire	18.4	18.2	Q1008	41
Croatia	80.4	92.7	Q224	42
Cuba	68.3	79.4	Q241	43
Cyprus	100.0	100.0	Q229	44
Czech Republic	93.2	97.1	Q213	45
Denmark	100.0	100.0	Q35	46
Djibouti	5.3	11.5	Q977	47
Dominica	78.4	90.6	Q784	48
Dominican Republic	80.2	90.4	Q786	49
Ecuador	87.2	95.6	Q736	50
Egypt, Arab Rep.	83.3	97.6	Q79	51
El Salvador	56.5	86.0	Q792	52
Equatorial Guinea	23.0	34.4	Q983	53
Eritrea	6.1	16.3	Q986	54
Estonia	79.4	92.9	Q191	55
Eswatini	27.2	49.7	Q1050	56
Ethiopia	1.1	3.5	Q115	57
Fiji	31.1	39.6	Q712	58
Finland	100.0	100.0	Q33	59
France	100.0	100.0	Q142	60
Gabon	58.7	79.1	Q1000	61
Gambia, The	3.2	3.3	Q1005	62
Georgia	41.2	77.8	Q230	63
Germany	100.0	100.0	Q183	64
Ghana	5.9	21.7	Q117	65
Greece	88.2	94.3	Q41	66
Grenada	92.9	96.6	Q769	67
Guatemala	39.3	45.2	Q774	68
Guinea	1.2	1.2	Q1006	69
Guinea-Bissau	1.4	1.5	Q1007	70
Guyana	36.3	74.5	Q734	71
Haiti	3.2	4.3	Q790	72
Honduras	29.9	53.1	Q783	73
Hungary	100.0	100.0	Q28	74
Iceland	100.0	100.0	Q189	75
India	22.2	41.0	Q668	76
Indonesia	5.4	58.4	Q252	77
Iran, Islamic Rep.	85.7	98.5	Q794	78
Iraq	75.0	97.6	Q796	79
Ireland	100.0	100.0	Q27	80
Israel	100.0	100.0	Q801	81
Italy	100.0	100.0	Q38	82
Jamaica	73.2	90.5	Q766	83
Japan	100.0	100.0	Q17	84
Jordan	97.3	99.1	Q810	85
Kazakhstan	82.9	95.3	Q232	86
Kenya	2.0	13.4	Q114	87
Kiribati	2.3	5.5	Q710	88
Korea, Dem. Peopleâ€™s Rep.	3.1	10.8	Q423	89
Korea, Rep.	96.2	96.7	Q884	90
Kuwait	100.0	100.0	Q817	91
Kyrgyz Republic	51.7	81.3	Q813	92
Lao PDR	4.0	5.6	Q819	93
Latvia	85.9	95.3	Q211	94
Lesotho	18.1	35.6	Q1013	95
Liberia	0.6	0.7	Q1014	96
Lithuania	100.0	100.0	Q37	97
Luxembourg	100.0	100.0	Q32	98
North Macedonia	43.9	65.6	Q221	99
Madagascar	1.1	0.9	Q1019	100
Malawi	1.8	2.5	Q1020	101
Malaysia	94.5	96.3	Q833	102
Maldives	32.2	93.8	Q826	103
Mali	1.3	1.0	Q912	104
Malta	100.0	100.0	Q233	105
Marshall Islands	13.2	65.4	Q709	106
Mauritania	29.0	46.6	Q1025	107
Mauritius	87.4	93.3	Q1027	108
Mexico	80.7	85.4	Q96	109
Micronesia, Fed. Sts.	10.9	12.0	Q702	110
Moldova	68.3	92.2	Q217	111
Monaco	100.0	100.0	Q235	112
Mongolia	21.8	42.8	Q711	113
Montenegro	55.0	69.4	Q236	114
Morocco	89.7	96.8	Q1028	115
Mozambique	3.1	3.7	Q1029	116
Myanmar	4.7	18.4	Q836	117
Namibia	32.5	42.2	Q1030	118
Nepal	14.9	27.6	Q837	119
Netherlands	100.0	100.0	Q55	120
New Zealand	100.0	100.0	Q664	121
Nicaragua	34.1	52.3	Q811	122
Niger	1.0	1.9	Q1032	123
Nigeria	0.8	4.9	Q1033	124
Norway	100.0	100.0	Q20	125
Oman	84.6	95.2	Q842	126
Pakistan	22.6	43.3	Q843	127
Palau	64.4	86.9	Q695	128
Panama	78.7	89.0	Q804	129
Papua New Guinea	6.8	13.4	Q691	130
Paraguay	44.5	66.2	Q733	131
Peru	35.3	75.1	Q419	132
Philippines	36.3	43.2	Q928	133
Poland	100.0	100.0	Q36	134
Portugal	100.0	100.0	Q45	135
Qatar	92.1	98.5	Q846	136
Romania	64.5	85.9	Q218	137
Russian Federation	92.7	98.3	Q159	138
Rwanda	0.3	0.6	Q1037	139
Samoa	20.2	32.3	Q683	140
San Marino	100.0	100.0	Q238	141
Sao Tome and Principe	17.7	16.8	Q1039	142
Saudi Arabia	94.9	96.0	Q851	143
Senegal	31.8	31.7	Q1041	144
Serbia	52.0	76.4	Q403	145
Seychelles	76.8	90.4	Q1042	146
Sierra Leone	0.1	1.0	Q1044	147
Singapore	100.0	100.0	Q334	148
Slovak Republic	93.8	96.6	Q214	149
Slovenia	88.9	96.2	Q215	150
Solomon Islands	6.3	8.5	Q685	151
Somalia	0.6	2.3	Q1045	152
South Africa	56.4	84.8	Q258	153
South Sudan	0.5	0.6	Q958	154
Spain	100.0	100.0	Q29	155
Sri Lanka	15.6	26.3	Q854	156
St. Kitts and Nevis	100.0	100.0	Q763	157
St. Lucia	86.3	97.2	Q760	158
St. Vincent and the Grenadines	95.4	96.0	Q757	159
Sudan	14.2	41.3	Q1049	160
Suriname	79.9	89.6	Q730	161
Sweden	100.0	100.0	Q34	162
Switzerland	100.0	100.0	Q39	163
Syrian Arab Republic	97.2	99.0	Q858	164
Tajikistan	38.7	80.4	Q863	165
Tanzania	1.1	2.2	Q924	166
Thailand	68.0	74.4	Q869	167
Timor-Leste	2.3	6.9	Q574	168
Togo	0.3	6.7	Q945	169
Tonga	48.0	59.2	Q678	170
Trinidad and Tobago	98.7	99.3	Q754	171
Tunisia	93.3	99.1	Q948	172
Turkmenistan	96.3	99.3	Q874	173
Tuvalu	18.6	50.4	Q672	174
Uganda	1.0	0.8	Q1036	175
Ukraine	88.3	95.7	Q212	176
United Arab Emirates	96.6	98.5	Q878	177
United Kingdom	100.0	100.0	Q145	178
United States	100.0	100.0	Q30	179
Uruguay	96.1	98.0	Q77	180
Uzbekistan	79.6	92.1	Q265	181
Vanuatu	11.8	12.6	Q686	182
Venezuela, RB	96.3	96.2	Q717	183
Vietnam	14.4	66.9	Q881	184
Yemen, Rep.	51.8	64.9	Q805	185
Zambia	14.0	16.4	Q953	186
Zimbabwe	32.4	29.1	Q954	187
