Country	Tractors2000	Tractors2009	ID	id_row
Afghanistan	0.1	0.1	Q889	0
Albania	139.9	121.9	Q222	1
Algeria	124.9	139.6	Q262	2
American Samoa	68.0	107.8	Q16641	3
Andorra	4370.4	4584.4	Q228	4
Argentina	89.6	87.7	Q414	5
Armenia	291.6	291.6	Q399	6
Austria	1.8	1.2	Q40	7
Azerbaijan	148.2	148.2	Q227	8
Bahrain	75.0	75.0	Q398	9
Bangladesh	1.2	1.2	Q902	10
Belarus	118.9	86.8	Q184	11
Belgium	1.8	1127.0	Q31	12
Bhutan	11.0	11.0	Q917	13
Bolivia	19.1	2020.1	Q750	14
Botswana	76.8	120.8	Q963	15
Brazil	138.0	113.3	Q155	16
Bulgaria	98.4	172.0	Q219	17
Cabo Verde	10.9	11.7	Q1011	18
Cambodia	5.9	5.9	Q424	19
Canada	159.1	162.5	Q16	20
Chile	307.3	427.2	Q298	21
China	83.7	83.7	Q148	22
Cote d'Ivoire	30.0	32.1	Q1008	23
Croatia	27.3	49.4	Q224	24
Cuba	216.6	203.2	Q241	25
Cyprus	1.2	1.2	Q229	26
Czech Republic	298.2	262.3	Q213	27
Denmark	540.2	486.3	Q35	28
Djibouti	80.0	46.2	Q977	29
Dominican Republic	20.8	20.8	Q786	30
Ecuador	90.7	90.7	Q736	31
Egypt, Arab Rep.	307.9	390.6	Q79	32
Eritrea	8.3	8.3	Q986	33
Estonia	600.5	603.5	Q191	34
Eswatini	219.8	87.1	Q1050	35
Fiji	357.6	354.0	Q712	36
Finland	778.9	783.5	Q33	37
France	688.7	640.1	Q142	38
Georgia	216.9	216.9	Q230	39
Germany	838.3	838.3	Q183	40
Ghana	4.9	4.5	Q117	41
Greece	925.9	1.7	Q41	42
Guinea	25.1	25.1	Q1006	43
Honduras	48.7	48.7	Q783	44
Hungary	246.2	261.8	Q28	45
Iceland	699.1	921.9	Q189	46
India	129.9	129.9	Q668	47
Indonesia	2.0	2.0	Q252	48
Iran, Islamic Rep.	152.8	152.8	Q794	49
Iraq	112.4	112.4	Q796	50
Ireland	1481.2	1.4	Q27	51
Israel	695.3	695.3	Q801	52
Italy	1938.5	1.1	Q38	53
Japan	4532.1	4532.1	Q17	54
Jordan	301.7	301.7	Q810	55
Kazakhstan	17.3	17.3	Q232	56
Kenya	24.9	25.2	Q114	57
Korea, Rep.	1115.4	1.4	Q884	58
Kuwait	89.0	89.0	Q817	59
Kyrgyz Republic	188.1	188.1	Q813	60
Latvia	575.4	501.4	Q211	61
Libya	218.9	218.9	Q1016	62
Lithuania	354.4	631.6	Q37	63
Luxembourg	1155.6	1039.7	Q32	64
North Macedonia	973.0	1.8	Q221	65
Madagascar	2.7	1.9	Q1019	66
Mali	4.2	2.2	Q912	67
Malta	1215.0	1.3	Q233	68
Mauritania	7.8	9.8	Q1025	69
Mexico	119.3	101.5	Q96	70
Moldova	229.1	197.6	Q217	71
Mongolia	40.0	40.0	Q711	72
Myanmar	10.7	10.7	Q836	73
Nepal	111.7	111.7	Q837	74
Netherlands	1.9	1.5	Q55	75
New Caledonia	1.3	1.4	Q33788	76
Nigeria	5.5	6.7	Q1033	77
Northern Mariana Islands	510.0	990.0	Q16644	78
Norway	1.2	1.1	Q20	79
Oman	58.1	58.1	Q842	80
Pakistan	105.2	105.2	Q843	81
Panama	147.2	147.2	Q804	82
Paraguay	70.0	68.7	Q733	83
Philippines	116.8	116.8	Q928	84
Poland	933.8	1307.2	Q36	85
Portugal	970.2	1.2	Q45	86
Puerto Rico	501.2	501.5	Q1183	87
Qatar	63.1	63.1	Q846	88
Romania	170.6	201.2	Q218	89
Russian Federation	60.1	27.1	Q159	90
Rwanda	0.7	0.5	Q1037	91
Samoa	60.0	72.3	Q683	92
Senegal	1.8	2.2	Q1041	93
Serbia	26.2	22.0	Q403	94
Slovak Republic	153.7	154.6	Q214	95
Slovenia	1.5	5895.2	Q215	96
Somalia	9.6	12.0	Q1045	97
South Africa	52.3	47.5	Q258	98
Spain	671.4	831.2	Q29	99
St. Kitts and Nevis	207.1	55.0	Q763	100
St. Lucia	675.0	58.3	Q760	101
St. Vincent and the Grenadines	208.0	224.0	Q757	102
Suriname	161.1	215.5	Q730	103
Sweden	610.4	591.5	Q34	104
Switzerland	2681.0	1.9	Q39	105
Syrian Arab Republic	215.0	215.0	Q858	106
Tajikistan	310.2	310.2	Q863	107
Tanzania	19.0	24.7	Q924	108
Thailand	280.5	280.5	Q869	109
Togo	0.3	0.6	Q945	110
Tonga	80.0	162.0	Q678	111
Trinidad and Tobago	1.3	1.7	Q754	112
Tunisia	114.2	142.6	Q948	113
Turkey	395.3	395.3	Q43	114
Ukraine	97.9	102.7	Q212	115
United Arab Emirates	63.3	63.3	Q878	116
United States	256.8	271.2	Q30	117
Uruguay	265.6	199.7	Q77	118
Vietnam	262.5	262.5	Q881	119
Virgin Islands (U.S.)	490.0	1190.0	Q11703	120
West Bank and Gaza	737.3	737.3	Q407199	121
Yemen, Rep.	41.0	41.0	Q805	122
