Country	Registeredcarrierdeparturesworldwide	Passengerscarried	Airfreight	ID	id_row
Afghanistan	24.0	1723.0	30.0	Q889	0
Algeria	77.0	6442.0	28.0	Q262	1
Angola	14.0	1517.0	78.0	Q916	2
Antigua and Barbuda	23.0	580.0	0.0	Q781	3
Argentina	162.0	18082.0	312.0	Q414	4
Australia	665.0	75668.0	2028.0	Q408	5
Austria	130.0	12936.0	374.0	Q40	6
Azerbaijan	20.0	2280.0	44.0	Q227	7
Bahamas, The	57.0	1197.0	0.0	Q778	8
Bahrain	57.0	5877.0	421.0	Q398	9
Bangladesh	101.0	5984.0	64.0	Q902	10
Belarus	32.0	2760.0	2.0	Q184	11
Belgium	141.0	13639.0	1285.0	Q31	12
Belize	126.0	1298.0	4.0	Q242	13
Benin	0.0	1.0	0.0	Q962	14
Bhutan	5.0	276.0	1.0	Q917	15
Bolivia	57.0	4122.0	14.0	Q750	16
Botswana	7.0	253.0	0.0	Q963	17
Brazil	833.0	102110.0	1846.0	Q155	18
Brunei Darussalam	11.0	1234.0	129.0	Q921	19
Bulgaria	11.0	1023.0	1.0	Q219	20
Burkina Faso	4.0	152.0	0.0	Q965	21
Cambodia	14.0	1411.0	1.0	Q424	22
Cameroon	6.0	265.0	0.0	Q1009	23
Canada	1475.0	89380.0	3434.0	Q16	24
Chile	135.0	19517.0	1226.0	Q298	25
China	4692.0	611440.0	25256.0	Q148	26
Hong Kong SAR, China	245.0	47102.0	12677.0	Q8646	27
Macao SAR, China	24.0	3158.0	32.0	Q14773	28
Colombia	359.0	33704.0	1349.0	Q739	29
Congo, Dem. Rep.	19.0	932.0	1.0	Q974	30
Congo, Rep.	8.0	334.0	5.0	Q971	31
Costa Rica	40.0	1949.0	11.0	Q800	32
Cote d'Ivoire	15.0	779.0	6.0	Q1008	33
Croatia	27.0	2094.0	1.0	Q224	34
Cuba	9.0	561.0	18.0	Q241	35
Cyprus	5.0	401.0	0.0	Q229	36
Czech Republic	51.0	5727.0	25.0	Q213	37
Ecuador	53.0	5365.0	64.0	Q736	38
Egypt, Arab Rep.	104.0	12341.0	438.0	Q79	39
El Salvador	28.0	2545.0	11.0	Q792	40
Equatorial Guinea	20.0	466.0	0.0	Q983	41
Estonia	1.0	32.0	0.0	Q191	42
Ethiopia	111.0	11501.0	2089.0	Q115	43
Fiji	24.0	1670.0	107.0	Q712	44
Finland	126.0	13365.0	958.0	Q33	45
France	597.0	70188.0	4444.0	Q142	46
Georgia	7.0	516.0	1.0	Q230	47
Germany	923.0	109796.0	7970.0	Q183	48
Ghana	14.0	467.0	0.0	Q117	49
Greece	144.0	15126.0	22.0	Q41	50
Guatemala	3.0	146.0	0.0	Q774	51
Guyana	2.0	26.0	0.0	Q734	52
Honduras	15.0	412.0	0.0	Q783	53
Iceland	55.0	7820.0	164.0	Q189	54
India	1200.0	164036.0	2704.0	Q668	55
Indonesia	959.0	115154.0	1132.0	Q252	56
Iran, Islamic Rep.	229.0	25605.0	291.0	Q794	57
Iraq	21.0	2075.0	16.0	Q796	58
Ireland	936.0	167599.0	169.0	Q27	59
Israel	54.0	7404.0	995.0	Q801	60
Italy	257.0	27630.0	1418.0	Q38	61
Jamaica	1.0	181.0	5.0	Q766	62
Japan	1000.0	126388.0	9421.0	Q17	63
Jordan	36.0	3384.0	176.0	Q810	64
Kazakhstan	83.0	7144.0	50.0	Q232	65
Kenya	138.0	5936.0	295.0	Q114	66
Korea, Dem. Peopleâ€™s Rep.	0.0	104.0	0.0	Q423	67
Korea, Rep.	526.0	88158.0	11930.0	Q884	68
Kuwait	46.0	6465.0	392.0	Q817	69
Kyrgyz Republic	16.0	709.0	0.0	Q813	70
Lao PDR	10.0	1252.0	2.0	Q819	71
Latvia	54.0	4059.0	4.0	Q211	72
Lebanon	26.0	2982.0	57.0	Q822	73
Libya	7.0	927.0	1.0	Q1016	74
Lithuania	2.0	26.0	0.0	Q37	75
Luxembourg	52.0	2099.0	7323.0	Q32	76
Madagascar	10.0	541.0	16.0	Q1019	77
Malawi	2.0	11.0	0.0	Q1020	78
Malaysia	477.0	60482.0	1404.0	Q833	79
Maldives	27.0	1147.0	8.0	Q826	80
Malta	21.0	2577.0	5.0	Q233	81
Marshall Islands	2.0	24.0	0.0	Q709	82
Mauritius	15.0	1745.0	234.0	Q1027	83
Mexico	591.0	64570.0	1090.0	Q96	84
Moldova	14.0	1136.0	1.0	Q217	85
Mongolia	8.0	670.0	8.0	Q711	86
Montenegro	7.0	566.0	0.0	Q236	87
Morocco	80.0	8133.0	98.0	Q1028	88
Mozambique	10.0	540.0	5.0	Q1029	89
Myanmar	64.0	3408.0	5.0	Q836	90
Namibia	15.0	603.0	26.0	Q1030	91
Nepal	72.0	3297.0	5.0	Q837	92
Netherlands	326.0	43996.0	5887.0	Q55	93
New Zealand	188.0	17249.0	1349.0	Q664	94
Nigeria	77.0	8169.0	19.0	Q1033	95
Oman	77.0	10438.0	510.0	Q842	96
Pakistan	49.0	6881.0	218.0	Q843	97
Panama	119.0	12939.0	48.0	Q804	98
Papua New Guinea	42.0	965.0	31.0	Q691	99
Paraguay	4.0	561.0	2.0	Q733	100
Peru	141.0	17759.0	313.0	Q419	101
Philippines	292.0	43080.0	836.0	Q928	102
Poland	124.0	9278.0	271.0	Q36	103
Portugal	183.0	17368.0	454.0	Q45	104
Qatar	198.0	29179.0	12667.0	Q846	105
Romania	56.0	4908.0	3.0	Q218	106
Russian Federation	885.0	99327.0	6811.0	Q159	107
Samoa	7.0	138.0	0.0	Q683	108
Saudi Arabia	254.0	39142.0	1085.0	Q851	109
Senegal	1.0	21.0	0.0	Q1041	110
Serbia	28.0	2263.0	18.0	Q403	111
Seychelles	19.0	455.0	8.0	Q1042	112
Singapore	209.0	40402.0	5195.0	Q334	113
Slovenia	18.0	1095.0	1.0	Q215	114
Solomon Islands	14.0	428.0	4.0	Q685	115
South Africa	180.0	23922.0	716.0	Q258	116
Spain	641.0	80672.0	1117.0	Q29	117
Sri Lanka	34.0	5882.0	436.0	Q854	118
Sudan	3.0	270.0	6.0	Q1049	119
Suriname	3.0	272.0	33.0	Q730	120
Switzerland	220.0	28858.0	1841.0	Q39	121
Syrian Arab Republic	0.0	18.0	0.0	Q858	122
