Country	Total	Internalresources	Agriculture2015	Industry	ID	id_row
Albania	1.3	4.9	39.0	18.0	Q222	0
Algeria	7.8	69.4	59.0	5.0	Q262	1
Antigua and Barbuda	0.0	8.5	16.0	22.0	Q781	2
Argentina	37.7	12.9	74.0	11.0	Q414	3
Armenia	3.3	42.9	90.0	4.0	Q399	4
Australia	16.8	3.1	61.0	16.0	Q408	5
Austria	3.5	6.3	2.0	77.0	Q40	6
Azerbaijan	12.0	147.5	84.0	19.0	Q227	7
Bangladesh	35.9	34.2	88.0	2.0	Q902	8
Belarus	1.5	4.5	32.0	32.0	Q184	9
Belgium	6.0	50.0	1.0	88.0	Q31	10
Bhutan	0.3	0.4	94.0	1.0	Q917	11
Bolivia	2.1	0.7	92.0	2.0	Q750	12
Brazil	74.8	1.3	60.0	17.0	Q155	13
Bulgaria	5.6	27.2	15.0	69.0	Q219	14
Cambodia	2.2	1.8	94.0	2.0	Q424	15
Canada	38.8	1.4	12.0	80.0	Q16	16
Chile	35.4	4.0	83.0	13.0	Q298	17
China	594.2	21.3	64.0	22.0	Q148	18
Colombia	11.8	0.5	54.0	19.0	Q739	19
Costa Rica	2.3	2.1	57.0	11.0	Q800	20
Croatia	0.6	1.7	1.0	20.0	Q224	21
Cuba	7.0	18.3	65.0	11.0	Q241	22
Cyprus	0.2	28.4	66.0	2.0	Q229	23
Denmark	0.6	10.6	25.0	20.0	Q35	24
Dominica	0.0	10.0	5.0	0.0	Q784	25
Dominican Republic	7.1	30.4	80.0	8.0	Q786	26
Egypt, Arab Rep.	73.8	4100.0	86.0	3.0	Q79	27
Estonia	1.7	13.5	0.0	96.0	Q191	28
Ethiopia	10.6	6.4	92.0	1.0	Q115	29
France	29.8	14.9	10.0	71.0	Q142	30
Greece	9.6	16.5	88.0	3.0	Q41	31
Grenada	0.0	7.1	15.0	0.0	Q769	32
Guatemala	3.3	3.0	57.0	18.0	Q774	33
Guyana	1.4	0.6	94.0	1.0	Q734	34
Haiti	1.5	11.1	83.0	4.0	Q790	35
Hungary	5.1	84.2	6.0	79.0	Q28	36
Iceland	0.3	2.1	0.0	71.0	Q189	37
India	647.5	44.8	90.0	2.0	Q668	38
Jamaica	0.8	7.5	55.0	9.0	Q766	39
Japan	81.2	18.9	67.0	14.0	Q17	40
Jordan	1.1	124.5	52.0	3.0	Q810	41
Kazakhstan	20.0	31.0	66.0	30.0	Q232	42
Kenya	3.2	15.5	59.0	4.0	Q114	43
Kyrgyz Republic	7.7	15.8	93.0	4.0	Q813	44
Latvia	0.2	1.4	15.0	21.0	Q211	45
Libya	5.8	822.9	83.0	5.0	Q1016	46
Lithuania	0.6	4.1	10.0	66.0	Q37	47
Luxembourg	0.0	4.3	1.0	5.0	Q32	48
North Macedonia	0.6	10.2	23.0	36.0	Q221	49
Madagascar	13.6	4.0	96.0	1.0	Q1019	50
Maldives	0.0	15.7	0.0	5.0	Q826	51
Mali	5.2	8.6	98.0	0.0	Q912	52
Malta	0.0	44.4	64.0	2.0	Q233	53
Mexico	85.7	20.0	76.0	9.0	Q96	54
Moldova	1.1	65.7	3.0	83.0	Q217	55
Mongolia	0.6	1.6	44.0	43.0	Q711	56
Morocco	10.4	35.7	88.0	2.0	Q1028	57
Nepal	9.5	4.8	98.0	0.0	Q837	58
Netherlands	10.7	97.5	1.0	88.0	Q55	59
New Zealand	5.2	1.6	62.0	23.0	Q664	60
Nicaragua	1.5	1.0	77.0	5.0	Q811	61
Nigeria	12.5	5.6	44.0	16.0	Q1033	62
Norway	3.0	0.8	28.0	41.0	Q20	63
Pakistan	183.5	333.6	94.0	1.0	Q843	64
Panama	1.0	0.8	43.0	1.0	Q804	65
Paraguay	2.4	2.1	79.0	6.0	Q733	66
Peru	13.6	0.8	89.0	2.0	Q419	67
Philippines	81.6	17.0	82.0	10.0	Q928	68
Puerto Rico	1.0	14.3	2.0	76.0	Q1183	69
Romania	6.4	15.1	18.0	67.0	Q218	70
Saudi Arabia	22.6	943.3	88.0	3.0	Q851	71
Slovak Republic	0.6	4.4	4.0	49.0	Q214	72
Slovenia	1.2	6.2	0.0	85.0	Q215	73
South Africa	15.5	34.6	63.0	10.0	Q258	74
South Sudan	0.7	2.5	36.0	34.0	Q958	75
Spain	36.8	33.0	68.0	18.0	Q29	76
St. Kitts and Nevis	0.0	51.3	1.0	0.0	Q763	77
St. Lucia	0.0	14.3	71.0	0.0	Q760	78
St. Vincent and the Grenadines	0.0	7.9	0.0	0.0	Q757	79
Sudan	26.9	673.3	96.0	0.0	Q1049	80
Suriname	0.6	0.6	70.0	22.0	Q730	81
Sweden	2.7	1.6	4.0	58.0	Q34	82
Switzerland	2.0	5.0	8.0	32.0	Q39	83
Tajikistan	11.2	17.6	91.0	4.0	Q863	84
Thailand	57.3	25.5	90.0	5.0	Q869	85
Trinidad and Tobago	0.3	8.8	4.0	34.0	Q754	86
Tunisia	3.2	76.7	80.0	5.0	Q948	87
Uganda	0.6	1.6	41.0	8.0	Q1036	88
Ukraine	14.9	27.0	30.0	48.0	Q212	89
United Kingdom	8.0	5.5	13.0	14.0	Q145	90
United States	418.7	14.9	36.0	51.0	Q30	91
Venezuela, RB	22.6	2.8	74.0	4.0	Q717	92
Zimbabwe	3.6	29.1	82.0	6.0	Q954	93
