Country	Ratio	ID	id_row
Afghanistan	11.1	Q889	0
Albania	10.5	Q222	1
Algeria	10.8	Q262	2
Angola	13.3	Q916	3
Antigua and Barbuda	7.0	Q781	4
Argentina	13.3	Q414	5
Armenia	15.0	Q399	6
Australia	6.9	Q408	7
Austria	7.7	Q40	8
Bangladesh	4.7	Q902	9
Belarus	14.8	Q184	10
Belgium	7.6	Q31	11
Bhutan	13.7	Q917	12
Bolivia	6.9	Q750	13
Bosnia and Herzegovina	13.2	Q225	14
Botswana	9.4	Q963	15
Brazil	10.1	Q155	16
Brunei Darussalam	12.6	Q921	17
Bulgaria	10.8	Q219	18
Burundi	12.2	Q967	19
Cambodia	13.6	Q424	20
Cameroon	8.7	Q1009	21
Canada	5.3	Q16	22
Central African Republic	20.9	Q929	23
Chad	11.3	Q657	24
Chile	8.4	Q298	25
China	9.1	Q148	26
Hong Kong SAR, China	9.9	Q8646	27
Colombia	17.0	Q739	28
Congo, Rep.	17.9	Q971	29
Costa Rica	10.2	Q800	30
Croatia	13.9	Q224	31
Cyprus	8.2	Q229	32
Czech Republic	6.5	Q213	33
Denmark	7.0	Q35	34
Djibouti	6.5	Q977	35
Dominica	4.9	Q784	36
Dominican Republic	9.6	Q786	37
Ecuador	11.7	Q736	38
El Salvador	12.3	Q792	39
Equatorial Guinea	15.8	Q983	40
Estonia	12.1	Q191	41
Fiji	9.9	Q712	42
Finland	9.3	Q33	43
France	6.5	Q142	44
Gabon	12.0	Q1000	45
Gambia, The	14.2	Q1005	46
Georgia	12.2	Q230	47
Germany	6.5	Q183	48
Ghana	15.8	Q117	49
Greece	10.7	Q41	50
Grenada	5.6	Q769	51
Guatemala	6.9	Q774	52
Guinea	6.6	Q1006	53
Honduras	11.2	Q783	54
Iceland	17.0	Q189	55
India	7.5	Q668	56
Indonesia	15.6	Q252	57
Ireland	14.9	Q27	58
Israel	7.4	Q801	59
Italy	6.3	Q38	60
Jordan	14.7	Q810	61
Kazakhstan	11.8	Q232	62
Kenya	14.3	Q114	63
Korea, Rep.	8.0	Q884	64
Kosovo	12.2	Q1246	65
Kuwait	12.7	Q817	66
Kyrgyz Republic	18.2	Q813	67
Latvia	9.7	Q211	68
Lesotho	11.5	Q1013	69
Lithuania	9.6	Q37	70
Luxembourg	7.4	Q32	71
North Macedonia	10.8	Q221	72
Madagascar	10.6	Q1019	73
Malawi	11.5	Q1020	74
Malaysia	11.6	Q833	75
Maldives	25.1	Q826	76
Malta	8.4	Q233	77
Mauritius	11.6	Q1027	78
Mexico	11.0	Q96	79
Moldova	17.2	Q217	80
Monaco	4.6	Q235	81
Montenegro	10.1	Q236	82
Myanmar	7.2	Q836	83
Namibia	9.3	Q1030	84
Nepal	11.9	Q837	85
Netherlands	6.2	Q55	86
Nicaragua	9.0	Q811	87
Nigeria	7.3	Q1033	88
Pakistan	7.1	Q843	89
Panama	12.5	Q804	90
Papua New Guinea	14.0	Q691	91
Paraguay	8.7	Q733	92
Peru	12.5	Q419	93
Philippines	10.7	Q928	94
Poland	9.8	Q36	95
Portugal	7.0	Q45	96
Romania	9.3	Q218	97
Russian Federation	10.0	Q159	98
Rwanda	15.0	Q1037	99
Samoa	16.6	Q683	100
San Marino	6.2	Q238	101
Saudi Arabia	15.2	Q851	102
Seychelles	11.0	Q1042	103
Singapore	9.3	Q334	104
Slovak Republic	10.4	Q214	105
Slovenia	10.7	Q215	106
South Africa	8.4	Q258	107
Spain	7.6	Q29	108
Sri Lanka	8.7	Q854	109
St. Kitts and Nevis	8.0	Q763	110
St. Lucia	5.4	Q760	111
St. Vincent and the Grenadines	7.6	Q757	112
Eswatini	13.1	Q1050	113
Sweden	6.2	Q34	114
Switzerland	8.3	Q39	115
Tanzania	11.9	Q924	116
Thailand	10.8	Q869	117
Tonga	22.9	Q678	118
Trinidad and Tobago	12.1	Q754	119
Turkey	10.8	Q43	120
Uganda	13.9	Q1036	121
Ukraine	13.5	Q212	122
United Kingdom	6.8	Q145	123
United States	11.7	Q30	124
Uruguay	11.2	Q77	125
Uzbekistan	18.7	Q265	126
Vanuatu	10.3	Q686	127
Vietnam	7.7	Q881	128
West Bank and Gaza	10.2	Q407199	129
Zambia	11.2	Q953	130
