Country	1990	2014	ID	id_row
Albania	12.9	2.9	Q222	0
Algeria	45.1	38.8	Q262	1
Angola	12.2	2020.2	Q916	2
Argentina	34.5	38.0	Q414	3
Armenia	30.7	29.7	Q399	4
Australia	55.0	58.4	Q408	5
Austria	35.4	32.6	Q40	6
Azerbaijan	40.8	46.2	Q227	7
Bahrain	89.0	80.5	Q398	8
Bangladesh	39.0	52.8	Q902	9
Belarus	62.3	57.2	Q184	10
Belgium	29.8	25.8	Q31	11
Benin	11.5	2.3	Q962	12
Bolivia	29.3	24.6	Q750	13
Bosnia and Herzegovina	44.8	70.7	Q225	14
Botswana	54.1	54.5	Q963	15
Brazil	15.2	26.3	Q155	16
Brunei Darussalam	77.9	72.1	Q921	17
Bulgaria	64.7	69.0	Q219	18
Cameroon	1.5	32.6	Q1009	19
Canada	32.9	38.7	Q16	20
Chile	36.1	43.0	Q298	21
China	34.9	52.3	Q148	22
Colombia	26.8	26.9	Q739	23
Congo, Dem. Rep.	3.3	0.0	Q974	24
Congo, Rep.	0.0	17.4	Q971	25
Costa Rica	7.3	10.7	Q800	26
Cote d'Ivoire	22.2	42.0	Q1008	27
Croatia	38.8	31.8	Q224	28
Cuba	37.7	52.8	Q241	29
Curacao	38.0	65.7	Q25279	30
Cyprus	45.2	50.0	Q229	31
Czech Republic	45.1	58.6	Q213	32
Denmark	52.1	45.2	Q35	33
Dominican Republic	44.2	53.6	Q786	34
Ecuador	12.0	26.5	Q736	35
Egypt, Arab Rep.	32.6	50.3	Q79	36
El Salvador	8.1	28.1	Q792	37
Eritrea	63.6	55.4	Q986	38
Estonia	74.6	78.1	Q191	39
Ethiopia	13.4	0.1	Q115	40
Finland	36.9	50.7	Q33	41
France	18.4	13.8	Q142	42
Gabon	34.1	32.7	Q1000	43
Georgia	51.1	2020.6	Q230	44
Germany	43.8	48.5	Q183	45
Ghana	2.8	24.3	Q117	46
Gibraltar	42.9	27.8	Q1410	47
Greece	53.1	58.1	Q41	48
Guatemala	7.5	21.1	Q774	49
Haiti	25.8	2020.3	Q790	50
Honduras	2.3	40.9	Q783	51
Hong Kong SAR, China	73.4	66.2	Q8646	52
Hungary	35.7	31.1	Q28	53
Iceland	0.0	0.0	Q189	54
India	43.7	53.6	Q668	55
Indonesia	35.6	44.3	Q252	56
Iran, Islamic Rep.	24.5	34.3	Q794	57
Iraq	31.8	65.0	Q796	58
Ireland	36.1	33.7	Q27	59
Israel	60.2	68.0	Q801	60
Italy	36.8	35.6	Q38	61
Jamaica	27.9	35.4	Q766	62
Japan	42.6	53.1	Q17	63
Jordan	38.4	52.4	Q810	64
Kazakhstan	48.6	63.3	Q232	65
Kenya	7.6	13.4	Q114	66
Korea, Dem. Peopleâ€™s Rep.	13.8	16.2	Q423	67
Korea, Rep.	28.0	60.5	Q884	68
Kuwait	74.6	67.4	Q817	69
Kyrgyz Republic	17.2	25.8	Q813	70
Latvia	52.5	26.6	Q211	71
Lebanon	50.8	57.2	Q822	72
Libya	63.0	53.2	Q1016	73
Lithuania	42.4	30.9	Q37	74
Luxembourg	16.1	8.3	Q32	75
North Macedonia	65.5	59.9	Q221	76
Malaysia	38.3	54.0	Q833	77
Malta	76.6	68.4	Q233	78
Mauritius	37.9	61.4	Q1027	79
Mexico	36.7	44.1	Q96	80
Moldova	44.8	45.1	Q217	81
Mongolia	51.6	63.8	Q711	82
Morocco	40.3	40.6	Q1028	83
Mozambique	10.2	19.9	Q1029	84
Myanmar	40.7	2020.3	Q836	85
Namibia	6.2	0.3	Q1030	86
Nepal	0.0	1.9	Q837	87
Netherlands	40.9	45.8	Q55	88
New Zealand	20.8	23.7	Q664	89
Nicaragua	31.0	34.4	Q811	90
Nigeria	29.4	39.1	Q1033	91
Norway	26.6	36.5	Q20	92
Oman	56.5	38.5	Q842	93
Pakistan	28.6	33.7	Q843	94
Panama	21.5	30.9	Q804	95
Paraguay	1.6	0.0	Q733	96
Peru	20.8	34.4	Q419	97
Philippines	28.0	50.2	Q928	98
Poland	66.4	55.6	Q36	99
Portugal	43.5	41.1	Q45	100
Qatar	62.2	63.5	Q846	101
Romania	47.2	45.6	Q218	102
Russian Federation	56.9	61.1	Q159	103
Saudi Arabia	47.0	49.2	Q851	104
Senegal	40.8	37.1	Q1041	105
Serbia	65.3	69.4	Q403	106
Singapore	79.9	58.6	Q334	107
Slovak Republic	32.4	38.7	Q214	108
Slovenia	46.8	35.7	Q215	109
South Africa	59.8	67.5	Q258	110
Spain	38.5	37.4	Q29	111
Sri Lanka	4.1	40.8	Q854	112
Sudan	9.6	16.5	Q1049	113
Sweden	18.8	24.2	Q34	114
Switzerland	6.1	9.3	Q39	115
Syrian Arab Republic	29.2	44.5	Q858	116
Tajikistan	13.9	4.3	Q863	117
Tanzania	17.4	23.3	Q924	118
Thailand	38.0	46.6	Q869	119
Togo	12.1	1.2	Q945	120
Trinidad and Tobago	59.6	62.1	Q754	121
Tunisia	32.8	38.8	Q948	122
Turkey	30.7	46.7	Q43	123
Turkmenistan	29.3	35.8	Q874	124
Ukraine	51.9	50.0	Q212	125
United Arab Emirates	26.3	41.5	Q878	126
United Kingdom	45.0	41.9	Q145	127
United States	45.0	46.0	Q30	128
Uruguay	14.4	15.5	Q77	129
Uzbekistan	41.1	42.5	Q265	130
Venezuela, RB	39.0	35.5	Q717	131
Vietnam	28.1	34.9	Q881	132
Yemen, Rep.	25.4	2020.5	Q805	133
Zambia	6.3	9.7	Q953	134
Zimbabwe	43.0	59.4	Q954	135
