Country	1990	2014	ID	id_row
Albania	5.5	8.5	Q222	0
Algeria	12.9	15.2	Q262	1
Angola	16.1	2020.7	Q916	2
Argentina	17.5	14.5	Q414	3
Armenia	32.1	31.0	Q399	4
Australia	3.3	3.7	Q408	5
Austria	21.1	11.9	Q40	6
Azerbaijan	9.2	18.2	Q227	7
Bahrain	1.2	0.8	Q398	8
Bangladesh	19.4	11.5	Q902	9
Belarus	13.9	8.9	Q184	10
Belgium	23.1	23.0	Q31	11
Benin	11.5	24.2	Q962	12
Bolivia	11.1	8.3	Q750	13
Bosnia and Herzegovina	1.2	2.7	Q225	14
Botswana	3.6	2.6	Q963	15
Brazil	8.9	4.3	Q155	16
Brunei Darussalam	1.5	1.3	Q921	17
Bulgaria	4.1	2.3	Q219	18
Cameroon	26.1	6.6	Q1009	19
Canada	17.4	14.5	Q16	20
Chile	10.0	6.5	Q298	21
China	17.9	5.4	Q148	22
Colombia	8.0	7.9	Q739	23
Congo, Dem. Rep.	11.0	0.2	Q974	24
Congo, Rep.	10.9	3.4	Q971	25
Costa Rica	5.0	3.9	Q800	26
Cote d'Ivoire	14.8	8.6	Q1008	27
Croatia	11.2	12.4	Q224	28
Cuba	6.7	2.2	Q241	29
Curacao	7.9	2.7	Q25279	30
Cyprus	4.6	6.4	Q229	31
Czech Republic	15.5	8.9	Q213	32
Denmark	12.5	7.6	Q35	33
Dominican Republic	12.7	7.6	Q786	34
Ecuador	9.5	9.2	Q736	35
Egypt, Arab Rep.	12.5	8.4	Q79	36
El Salvador	8.1	11.9	Q792	37
Eritrea	6.8	10.7	Q986	38
Estonia	4.1	2.5	Q191	39
Ethiopia	5.5	11.0	Q115	40
Finland	12.1	4.5	Q33	41
France	24.8	23.4	Q142	42
Gabon	13.2	8.9	Q1000	43
Georgia	14.2	21.8	Q230	44
Germany	21.0	17.7	Q183	45
Ghana	17.3	5.9	Q117	46
Gibraltar	0.0	0.0	Q1410	47
Greece	7.4	6.7	Q41	48
Guatemala	14.6	4.8	Q774	49
Haiti	8.6	4.0	Q790	50
Honduras	15.1	4.9	Q783	51
Hong Kong SAR, China	3.8	3.4	Q8646	52
Hungary	25.8	22.6	Q28	53
Iceland	2.6	0.5	Q189	54
India	10.8	5.5	Q668	55
Indonesia	14.6	5.1	Q252	56
Iran, Islamic Rep.	23.7	21.9	Q794	57
Iraq	11.8	6.5	Q796	58
Ireland	32.2	22.0	Q27	59
Israel	4.3	1.1	Q801	60
Italy	17.2	18.1	Q38	61
Jamaica	4.0	3.6	Q766	62
Japan	11.7	10.0	Q17	63
Jordan	11.3	6.6	Q810	64
Kazakhstan	0.2	10.6	Q232	65
Kenya	10.9	8.3	Q114	66
Korea, Dem. Peopleâ€™s Rep.	0.5	0.3	Q423	67
Korea, Rep.	27.5	8.1	Q884	68
Kuwait	0.6	0.6	Q817	69
Kyrgyz Republic	0.0	17.5	Q813	70
Latvia	13.5	12.6	Q211	71
Lebanon	9.6	13.5	Q822	72
Libya	5.1	3.4	Q1016	73
Lithuania	16.8	9.3	Q37	74
Luxembourg	12.0	14.9	Q32	75
North Macedonia	5.1	2.8	Q221	76
Malaysia	4.1	1.9	Q833	77
Malta	3.9	6.4	Q233	78
Mauritius	10.3	4.5	Q1027	79
Mexico	8.1	5.3	Q96	80
Moldova	2.9	15.2	Q217	81
Mongolia	6.4	6.7	Q711	82
Morocco	8.9	12.5	Q1028	83
Mozambique	7.4	6.7	Q1029	84
Myanmar	0.3	0.0	Q836	85
Namibia	0.9	0.6	Q1030	86
Nepal	28.1	13.7	Q837	87
Netherlands	20.0	15.1	Q55	88
New Zealand	6.6	4.5	Q664	89
Nicaragua	7.1	11.0	Q811	90
Nigeria	15.0	2.6	Q1033	91
Norway	9.0	2.5	Q20	92
Oman	1.0	0.8	Q842	93
Pakistan	15.3	13.3	Q843	94
Panama	9.0	7.7	Q804	95
Paraguay	6.7	4.0	Q733	96
Peru	17.1	6.9	Q419	97
Philippines	6.5	6.9	Q928	98
Poland	13.0	15.0	Q36	99
Portugal	5.7	6.6	Q45	100
Qatar	0.7	0.4	Q846	101
Romania	5.2	11.7	Q218	102
Russian Federation	13.3	9.2	Q159	103
Saudi Arabia	1.7	0.8	Q851	104
Senegal	6.1	4.9	Q1041	105
Serbia	3.4	4.8	Q403	106
Singapore	4.3	1.3	Q334	107
Slovak Republic	28.1	15.1	Q214	108
Slovenia	14.4	7.5	Q215	109
South Africa	4.6	5.5	Q258	110
Spain	8.0	9.7	Q29	111
Sri Lanka	2.7	3.3	Q854	112
Sudan	2.6	6.5	Q1049	113
Sweden	17.7	4.0	Q34	114
Switzerland	40.9	31.0	Q39	115
Syrian Arab Republic	10.7	10.7	Q858	116
Tajikistan	0.0	0.0	Q863	117
Tanzania	20.4	2.9	Q924	118
Thailand	3.0	2.8	Q869	119
Togo	10.3	12.2	Q945	120
Trinidad and Tobago	1.8	1.7	Q754	121
Tunisia	13.4	10.2	Q948	122
Turkey	17.0	15.2	Q43	123
Turkmenistan	19.4	25.8	Q874	124
Ukraine	8.0	13.3	Q212	125
United Arab Emirates	0.6	0.5	Q878	126
United Kingdom	17.5	19.1	Q145	127
United States	11.4	11.0	Q30	128
Uruguay	16.1	8.5	Q77	129
Uzbekistan	0.0	33.5	Q265	130
Venezuela, RB	5.4	4.5	Q717	131
Vietnam	11.3	7.9	Q881	132
Yemen, Rep.	11.0	15.0	Q805	133
Zambia	8.6	3.4	Q953	134
Zimbabwe	6.0	1.7	Q954	135
