Country	1990	2014	ID	id_row
Albania	12.5	60.0	Q222	0
Algeria	30.9	35.3	Q262	1
Angola	26.0	44.0	Q916	2
Argentina	28.6	24.2	Q414	3
Armenia	14.9	27.8	Q399	4
Australia	23.9	24.7	Q408	5
Austria	24.2	36.6	Q40	6
Azerbaijan	11.6	24.5	Q227	7
Bahrain	9.4	11.5	Q398	8
Bangladesh	14.6	14.2	Q902	9
Belarus	11.5	20.5	Q184	10
Belgium	19.1	28.6	Q31	11
Benin	65.4	67.6	Q962	12
Bolivia	43.3	40.7	Q750	13
Bosnia and Herzegovina	9.1	13.7	Q225	14
Botswana	23.1	32.1	Q963	15
Brazil	44.6	44.8	Q155	16
Brunei Darussalam	16.9	20.1	Q921	17
Bulgaria	8.6	19.5	Q219	18
Cameroon	66.3	53.8	Q1009	19
Canada	29.7	31.8	Q16	20
Chile	30.9	31.1	Q298	21
China	5.2	8.6	Q148	22
Colombia	35.6	41.2	Q739	23
Congo, Dem. Rep.	19.1	96.8	Q974	24
Congo, Rep.	79.7	76.5	Q971	25
Costa Rica	61.2	68.6	Q800	26
Cote d'Ivoire	44.1	31.1	Q1008	27
Croatia	17.5	36.6	Q224	28
Cuba	14.9	4.3	Q241	29
Curacao	33.8	22.9	Q25279	30
Cyprus	29.8	30.4	Q229	31
Czech Republic	4.6	17.0	Q213	32
Denmark	20.2	32.9	Q35	33
Dominican Republic	31.2	26.3	Q786	34
Ecuador	58.7	41.7	Q736	35
Egypt, Arab Rep.	20.8	22.5	Q79	36
El Salvador	60.2	48.1	Q792	37
Eritrea	25.0	30.4	Q986	38
Estonia	6.6	12.7	Q191	39
Ethiopia	42.9	46.9	Q115	40
Finland	21.8	23.9	Q33	41
France	32.8	42.4	Q142	42
Gabon	35.2	23.8	Q1000	43
Georgia	11.1	42.2	Q230	44
Germany	16.9	21.4	Q183	45
Ghana	63.8	55.4	Q117	46
Gibraltar	57.1	72.2	Q1410	47
Greece	21.5	24.8	Q41	48
Guatemala	53.3	40.0	Q774	49
Haiti	46.2	42.4	Q790	50
Honduras	47.7	39.5	Q783	51
Hong Kong SAR, China	13.8	13.7	Q8646	52
Hungary	12.8	27.2	Q28	53
Iceland	33.2	40.2	Q189	54
India	12.2	11.5	Q668	55
Indonesia	24.0	30.8	Q252	56
Iran, Islamic Rep.	22.9	24.9	Q794	57
Iraq	41.5	20.6	Q796	58
Ireland	16.3	32.1	Q27	59
Israel	24.5	26.1	Q801	60
Italy	24.7	33.0	Q38	61
Jamaica	14.9	24.3	Q766	62
Japan	19.2	17.5	Q17	63
Jordan	29.4	29.2	Q810	64
Kazakhstan	6.1	6.1	Q232	65
Kenya	48.7	52.9	Q114	66
Korea, Dem. Peopleâ€™s Rep.	4.0	3.5	Q423	67
Korea, Rep.	18.9	16.3	Q884	68
Kuwait	10.2	15.3	Q817	69
Kyrgyz Republic	26.4	27.8	Q813	70
Latvia	16.3	42.9	Q211	71
Lebanon	33.8	24.4	Q822	72
Libya	24.0	39.3	Q1016	73
Lithuania	17.1	46.2	Q37	74
Luxembourg	24.4	66.8	Q32	75
North Macedonia	9.0	21.5	Q221	76
Malaysia	29.3	29.7	Q833	77
Malta	19.5	23.1	Q233	78
Mauritius	37.9	25.5	Q1027	79
Mexico	32.5	35.1	Q96	80
Moldova	7.9	24.7	Q217	81
Mongolia	12.0	11.1	Q711	82
Morocco	19.8	28.8	Q1028	83
Mozambique	56.5	56.8	Q1029	84
Myanmar	34.3	36.6	Q836	85
Namibia	42.5	55.4	Q1030	86
Nepal	38.2	44.0	Q837	87
Netherlands	18.0	19.9	Q55	88
New Zealand	39.8	44.9	Q664	89
Nicaragua	40.2	41.6	Q811	90
Nigeria	41.9	35.4	Q1033	91
Norway	36.5	39.8	Q20	92
Oman	16.5	20.8	Q842	93
Pakistan	24.6	28.9	Q843	94
Panama	49.6	36.4	Q804	95
Paraguay	83.9	93.1	Q733	96
Peru	37.3	40.3	Q419	97
Philippines	36.1	27.8	Q928	98
Poland	5.9	15.7	Q36	99
Portugal	25.6	36.7	Q45	100
Qatar	11.8	18.2	Q846	101
Romania	7.0	22.4	Q218	102
Russian Federation	13.8	16.2	Q159	103
Saudi Arabia	32.7	25.9	Q851	104
Senegal	34.3	38.9	Q1041	105
Serbia	7.2	15.5	Q403	106
Singapore	14.1	15.2	Q334	107
Slovak Republic	7.5	20.7	Q214	108
Slovenia	19.4	41.5	Q215	109
South Africa	12.1	12.0	Q258	110
Spain	31.2	35.3	Q29	111
Sri Lanka	67.8	47.7	Q854	112
Sudan	74.9	59.2	Q1049	113
Sweden	38.1	53.3	Q34	114
Switzerland	35.6	44.8	Q39	115
Syrian Arab Republic	26.6	24.0	Q858	116
Tajikistan	6.6	33.5	Q863	117
Tanzania	41.9	57.6	Q924	118
Thailand	33.8	24.7	Q869	119
Togo	74.1	77.3	Q945	120
Trinidad and Tobago	17.1	13.8	Q754	121
Tunisia	20.4	25.3	Q948	122
Turkey	21.9	19.8	Q43	123
Turkmenistan	22.0	17.6	Q874	124
Ukraine	8.0	11.4	Q212	125
United Arab Emirates	21.8	21.0	Q878	126
United Kingdom	21.0	28.5	Q145	127
United States	29.7	33.4	Q30	128
Uruguay	42.2	55.3	Q77	129
Uzbekistan	5.0	6.8	Q265	130
Venezuela, RB	30.5	32.3	Q717	131
Vietnam	24.0	22.3	Q881	132
Yemen, Rep.	63.7	34.6	Q805	133
Zambia	30.1	35.1	Q953	134
Zimbabwe	12.9	22.3	Q954	135
