Country	Score	ID	id_row
Sweden	75.77	Q34	0
Denmark	71.14	Q35	1
Morocco	70.63	Q1028	2
United Kingdom	69.8	Q145	3
Lithuania	66.22	Q37	4
India	66.02	Q668	5
Finland	63.25	Q33	6
Chile	62.88	Q298	7
Norway	61.14	Q20	8
Luxembourg	60.91	Q32	9
Malta	60.6	Q233	10
Latvia	60.75	Q211	11
Switzerland	60.61	Q39	12
Ukraine	60.6	Q212	13
France	57.9	Q142	14
Egypt	57.53	Q79	15
Croatia	56.97	Q224	16
Brazil	55.82	Q155	17
Germany	55.78	Q183	18
Romania	54.85	Q218	19
Portugal	54.1	Q45	20
Italy	53.92	Q38	21
Slovak Republic	52.69	Q214	22
Greece	52.59	Q41	23
Netherlands	50.89	Q55	24
China	48.16	Q148	25
Estonia	48.05	Q191	26
Mexico	47.01	Q96	27
Thailand	46.76	Q869	28
Spain	46.03	Q29	29
Belgium	45.73	Q31	30
South Africa	45.67	Q258	31
New Zealand	45.67	Q664	32
Austria	44.74	Q40	33
Indonesia	44.65	Q252	34
Belarus	44.18	Q184	35
Ireland	44.04	Q27	36
Argentina	43.77	Q414	37
Czech Republic	42.93	Q213	38
Slovenia	41.91	Q215	39
Cyprus	41.66	Q229	40
Algeria	41.45	Q262	41
Hungary	41.17	Q28	42
Turkey	40.76	Q43	43
Bulgaria	40.12	Q219	44
Poland	39.98	Q36	45
Japan	39.03	Q17	46
Russia	37.85	Q159	47
Malaysia	34.21	Q833	48
Kazakhstan	33.39	Q232	49
Canada	31.01	Q16	50
Australia	30.75	Q408	51
Iran	28.41	Q794	52
South Korea	26.75	Q884	53
Chinese Taipei	23.33	Q1867	54
Saudi Arabia	23.03	Q851	55
United States	18.6	Q30	56
