Country	Childrenwithdiarrhea	ID	id_row
Afghanistan	41.0	Q889	0
Albania	53.0	Q222	1
Algeria	42.0	Q262	2
Angola	40.0	Q916	3
Armenia	63.0	Q399	4
Bangladesh	66.0	Q902	5
Belize	45.0	Q242	6
Benin	28.0	Q962	7
Burkina Faso	44.0	Q965	8
Burundi	35.0	Q967	9
Cambodia	52.0	Q424	10
Cameroon	39.0	Q1009	11
Chad	29.0	Q657	12
Congo, Dem. Rep.	40.0	Q974	13
Congo, Rep.	42.0	Q971	14
Cote d'Ivoire	43.0	Q1008	15
Dominican Republic	52.0	Q786	16
Egypt, Arab Rep.	8.0	Q79	17
El Salvador	72.0	Q792	18
Eswatini	46.0	Q1050	19
Ethiopia	29.0	Q115	20
Gambia, The	51.0	Q1005	21
Ghana	42.0	Q117	22
Guatemala	56.0	Q774	23
Guinea	42.0	Q1006	24
Guinea-Bissau	55.0	Q1007	25
Guyana	29.0	Q734	26
Haiti	52.0	Q790	27
India	40.0	Q668	28
Indonesia	61.0	Q252	29
Iraq	37.0	Q796	30
Jordan	46.0	Q810	31
Kenya	53.0	Q114	32
Korea, Dem. Peopleâ€™s Rep.	71.0	Q423	33
Kosovo	35.0	Q1246	34
Kyrgyz Republic	67.0	Q813	35
Lao PDR	61.0	Q819	36
Lesotho	61.0	Q1013	37
Liberia	46.0	Q1014	38
Malawi	57.0	Q1020	39
Maldives	73.0	Q826	40
Mali	34.0	Q912	41
Mauritania	35.0	Q1025	42
Mexico	80.0	Q96	43
Mongolia	83.0	Q711	44
Mozambique	43.0	Q1029	45
Myanmar	56.0	Q836	46
Namibia	52.0	Q1030	47
Nepal	61.0	Q837	48
Nigeria	36.0	Q1033	49
Oman	46.0	Q842	50
Pakistan	35.0	Q843	51
Panama	53.0	Q804	52
Papua New Guinea	47.0	Q691	53
Paraguay	59.0	Q733	54
Peru	60.0	Q419	55
Philippines	45.0	Q928	56
Rwanda	43.0	Q1037	57
Samoa	59.0	Q683	58
Sao Tome and Principe	62.0	Q1039	59
Senegal	44.0	Q1041	60
Sierra Leone	51.0	Q1044	61
Solomon Islands	56.0	Q685	62
South Africa	57.0	Q258	63
Sri Lanka	63.0	Q854	64
Sudan	59.0	Q1049	65
Tajikistan	63.0	Q863	66
Tanzania	46.0	Q924	67
Thailand	71.0	Q869	68
Timor-Leste	57.0	Q574	69
Togo	33.0	Q945	70
Turkmenistan	39.0	Q874	71
Uganda	37.0	Q1036	72
Vanuatu	41.0	Q686	73
Vietnam	58.0	Q881	74
West Bank and Gaza	38.0	Q407199	75
Yemen, Rep.	40.0	Q805	76
Zambia	57.0	Q953	77
Zimbabwe	51.0	Q954	78
