Country	SurveyYear	Total	Male	Female	Workonly	Studyandwork	ID	id_row
Afghanistan	2011	9.3	13.1	5.1	50.0	50.0	Q889	0
Albania	2010	5.5	6.4	4.6	5.1	94.9	Q222	1
Algeria	2013	7.5	8.5	6.5	4.5	95.5	Q262	2
Angola	2001	30.1	30.0	30.1	26.6	73.4	Q916	3
Argentina	2012	5.0	6.4	3.5	4.8	95.2	Q414	4
Armenia	2010	9.9	12.0	7.5	0.0	100.0	Q399	5
Azerbaijan	2005	5.2	5.8	4.5	6.3	93.7	Q227	6
Bangladesh	2013	5.0	5.7	4.2	58.1	41.9	Q902	7
Belarus	2012	2.3	2.0	2.6	0.0	100.0	Q184	8
Benin	2012	24.1	24.4	23.7	32.4	67.6	Q962	9
Bolivia	2015	13.9	15.2	12.6	6.7	93.3	Q750	10
Bosnia and Herzegovina	2006	10.6	11.7	9.5	0.1	99.9	Q225	11
Brazil	2015	2.5	3.5	1.5	4.0	96.0	Q155	12
Burkina Faso	2010	50.3	55.6	44.8	56.8	43.2	Q965	13
Burundi	2010	31.9	31.3	32.4	18.3	81.7	Q967	14
Cambodia	2012	11.5	11.0	12.1	21.1	78.9	Q424	15
Cameroon	2011	62.0	63.6	60.4	15.0	85.0	Q1009	16
Central African Republic	2010	37.2	36.6	37.9	24.8	75.2	Q929	17
Chad	2015	55.9	56.7	55.1	49.3	50.7	Q657	18
Chile	2012	4.5	6.2	2.8	0.9	99.1	Q298	19
Colombia	2015	5.6	6.9	4.1	13.4	86.6	Q739	20
Congo, Dem. Rep.	2014	41.4	39.2	43.6	10.5	89.5	Q974	21
Congo, Rep.	2012	31.5	31.4	31.6	5.0	95.0	Q971	22
Costa Rica	2016	1.3	1.9	0.6	14.7	85.3	Q800	23
Cote d'Ivoire	2012	36.5	36.6	36.4	41.2	58.8	Q1008	24
Dominican Republic	2014	13.2	15.7	10.3	4.8	95.2	Q786	25
Ecuador	2015	5.6	5.9	5.2	8.2	91.8	Q736	26
Egypt, Arab Rep.	2009	2.9	4.8	0.9	55.0	45.0	Q79	27
El Salvador	2013	7.8	10.9	4.6	15.7	84.3	Q792	28
Eswatini	2010	13.3	14.5	12.1	2.4	97.6	Q1050	29
Ethiopia	2011	26.1	32.5	19.5	35.1	64.9	Q115	30
Gabon	2012	24.0	25.6	22.6	2.9	97.1	Q1000	31
Gambia, The	2015	23.8	26.2	21.2	56.6	43.4	Q1005	32
Georgia	2006	31.8	33.6	29.9	1.0	99.0	Q230	33
Ghana	2012	28.8	28.8	28.7	12.0	88.0	Q117	34
Guatemala	2015	7.2	10.0	4.2	39.0	61.0	Q774	35
Guinea	2012	38.1	40.3	35.9	49.5	50.5	Q1006	36
Guinea-Bissau	2014	63.9	65.3	62.5	24.2	75.8	Q1007	37
Haiti	2012	37.8	40.3	35.2	7.6	92.4	Q790	38
Honduras	2014	10.5	15.1	5.8	41.8	58.2	Q783	39
India	2012	1.7	1.9	1.6	82.5	17.5	Q668	40
Indonesia	2010	3.7	4.2	3.2	44.4	55.6	Q252	41
Iraq	2011	6.4	8.3	4.3	33.6	66.4	Q796	42
Jamaica	2011	6.2	6.4	6.0	0.0	100.0	Q766	43
Jordan	2016	1.2	2.0	0.4	20.0	80.0	Q810	44
Kazakhstan	2006	3.6	4.4	2.8	1.6	98.4	Q232	45
Kenya	2009	34.4	34.9	33.9	32.5	67.5	Q114	46
Kyrgyz Republic	2014	41.1	47.2	33.7	0.3	99.7	Q813	47
Lao PDR	2010	8.6	7.6	9.7	89.3	10.7	Q819	48
Lesotho	2002	2.6	4.0	1.3	74.4	25.6	Q1013	49
Liberia	2010	18.4	21.7	15.0	23.9	76.1	Q1014	50
Madagascar	2007	26.0	27.7	24.2	40.9	59.1	Q1019	51
Malawi	2015	48.9	50.8	47.0	7.3	92.7	Q1020	52
Mali	2013	29.7	32.3	27.0	54.8	45.2	Q912	53
Mauritania	2011	14.5	16.4	12.8	43.7	56.3	Q1025	54
Mexico	2013	5.6	7.4	3.8	14.5	85.5	Q96	55
Moldova	2009	29.0	34.5	23.0	0.0	100.0	Q217	56
Mongolia	2013	14.7	17.2	12.2	3.8	96.2	Q711	57
Morocco	2004	4.5	6.0	3.0	84.5	15.5	Q1028	58
Mozambique	2008	27.4	27.2	27.7	18.2	81.8	Q1029	59
Nepal	2014	42.8	41.5	44.1	8.8	91.2	Q837	60
Nicaragua	2012	47.7	56.2	39.0	15.6	84.4	Q811	61
Niger	2012	48.5	50.3	46.7	54.5	45.5	Q1032	62
Nigeria	2011	35.1	34.1	36.0	23.4	76.6	Q1033	63
North Macedonia	2011	19.8	20.3	19.2	1.4	98.6	Q221	64
Pakistan	2011	13.0	12.5	13.5	87.4	12.6	Q843	65
Panama	2014	5.6	7.0	4.1	13.1	86.9	Q804	66
Paraguay	2014	10.4	15.7	4.7	9.3	90.7	Q733	67
Peru	2015	22.6	23.1	22.0	24.1	75.9	Q419	68
Philippines	2011	9.0	10.9	7.2	13.9	86.1	Q928	69
Portugal	2001	3.6	4.6	2.6	3.6	96.4	Q45	70
Romania	2000	1.4	1.7	1.1	20.7	79.3	Q218	71
Rwanda	2014	5.9	6.0	5.7	20.8	79.2	Q1037	72
Senegal	2015	25.1	37.3	13.1	44.7	55.3	Q1041	73
Serbia	2014	17.9	23.4	12.9	0.8	99.2	Q403	74
Sierra Leone	2013	59.2	60.7	57.5	26.8	73.2	Q1044	75
Somalia	2006	43.5	45.5	41.5	53.5	46.5	Q1045	76
South Sudan	2008	45.6	45.6	45.7	76.0	24.0	Q958	77
Sri Lanka	2009	10.7	13.0	8.5	3.2	96.8	Q854	78
Sudan	2014	30.6	34.3	26.9	25.5	74.5	Q1049	79
Syrian Arab Republic	2006	6.6	8.8	4.3	34.6	65.4	Q858	80
Tajikistan	2005	8.9	8.7	9.1	9.0	91.0	Q863	81
Tanzania	2014	34.7	35.3	34.2	29.2	70.8	Q924	82
Thailand	2006	15.1	15.7	14.4	4.2	95.8	Q869	83
Timor-Leste	2007	19.9	22.2	17.7	36.6	63.4	Q574	84
Togo	2014	35.2	37.1	33.1	14.9	85.1	Q945	85
Trinidad and Tobago	2006	3.4	4.1	2.7	2.6	97.4	Q754	86
Tunisia	2012	3.4	3.9	2.7	15.4	84.6	Q948	87
Turkey	2006	2.6	3.3	1.8	38.8	61.2	Q43	88
Uganda	2012	36.7	37.1	36.3	6.6	93.4	Q1036	89
Ukraine	2012	5.0	5.1	5.0	1.3	98.7	Q212	90
Uruguay	2009	7.3	9.4	5.0	10.7	89.3	Q77	91
Uzbekistan	2006	5.1	5.3	4.9	1.0	99.0	Q265	92
Venezuela, RB	2013	3.9	5.4	2.4	31.1	68.9	Q717	93
Vietnam	2012	10.9	11.7	10.1	19.0	81.0	Q881	94
Yemen, Rep.	2010	16.1	17.1	15.0	36.0	64.0	Q805	95
Zambia	2008	34.4	35.4	33.3	18.6	81.4	Q953	96
