Country	Childrentreated	ID	id_row
Afghanistan	4.6	Q889	0
Angola	21.7	Q916	1
Benin	69.8	Q962	2
Burkina Faso	54.4	Q965	3
Burundi	39.9	Q967	4
Cameroon	54.8	Q1009	5
Chad	36.4	Q657	6
Congo, Dem. Rep.	55.8	Q974	7
Congo, Rep.	60.5	Q971	8
Cote d'Ivoire	59.7	Q1008	9
Ethiopia	45.3	Q115	10
Gambia, The	62.4	Q1005	11
Ghana	52.2	Q117	12
Guinea	26.6	Q1006	13
Guinea-Bissau	80.6	Q1007	14
Guyana	7.4	Q734	15
Haiti	18.2	Q790	16
India	4.6	Q668	17
Kenya	56.1	Q114	18
Lao PDR	49.8	Q819	19
Liberia	43.7	Q1014	20
Madagascar	73.4	Q1019	21
Malawi	67.5	Q1020	22
Mali	73.2	Q912	23
Mauritania	32.1	Q1025	24
Mozambique	72.7	Q1029	25
Myanmar	18.6	Q836	26
Namibia	5.6	Q1030	27
Niger	95.5	Q1032	28
Nigeria	52.2	Q1033	29
Pakistan	0.4	Q843	30
Papua New Guinea	51.5	Q691	31
Rwanda	68.0	Q1037	32
Sao Tome and Principe	61.1	Q1039	33
Senegal	60.7	Q1041	34
Sierra Leone	59.5	Q1044	35
Solomon Islands	69.6	Q685	36
South Sudan	45.8	Q958	37
Tanzania	54.6	Q924	38
Timor-Leste	55.4	Q574	39
Togo	69.7	Q945	40
Uganda	62.0	Q1036	41
Vanuatu	51.0	Q686	42
Zambia	51.6	Q953	43
Zimbabwe	9.0	Q954	44
