Country	SurveyYear	Selfemployed	Wage	Unpaidfamily	ID	id_row
Albania	2010	3.8	1.9	94.3	Q222	0
Argentina	2012	10.8	12.8	76.4	Q414	1
Azerbaijan	2005	4.1	3.8	92.1	Q227	2
Bangladesh	2013	11.2	47.7	41.2	Q902	3
Bolivia	2015	1.9	8.1	90.0	Q750	4
Brazil	2015	8.8	27.5	63.7	Q155	5
Burkina Faso	2010	1.9	1.3	89.8	Q965	6
Cambodia	2012	3.3	19.6	77.1	Q424	7
Cameroon	2011	2.5	2.5	68.3	Q1009	8
Colombia	2015	15.4	14.6	70.0	Q739	9
Costa Rica	2016	4.3	27.9	67.8	Q800	10
Dominican Republic	2014	32.3	26.3	41.4	Q786	11
Ecuador	2015	0.2	6.6	93.2	Q736	12
El Salvador	2013	3.0	15.5	79.9	Q792	13
Gambia, The	2015	4.5	0.9	94.6	Q1005	14
Ghana	2012	1.5	0.5	96.9	Q117	15
Guatemala	2015	2.3	23.8	74.0	Q774	16
Guinea	2012	3.6	2.4	85.2	Q1006	17
Honduras	2014	7.3	19.4	73.3	Q783	18
India	2012	5.2	40.9	53.9	Q668	19
Indonesia	2010	2.4	15.6	82.0	Q252	20
Jordan	2016	5.2	25.7	75.0	Q810	21
Kyrgyz Republic	2014	3.2	0.5	96.3	Q813	22
Lao PDR	2010	16.4	3.6	80.0	Q819	23
Liberia	2010	18.0	0.9	80.6	Q1014	24
Madagascar	2007	0.1	10.0	90.0	Q1019	25
Malawi	2015	10.5	4.5	85.0	Q1020	26
Mali	2013	13.0	2.8	83.0	Q912	27
Mexico	2013	4.0	36.4	59.6	Q96	28
Moldova	2009	0.9	1.7	97.4	Q217	29
Mongolia	2013	2.1	0.2	97.6	Q711	30
Nepal	2014	5.5	2.1	92.3	Q837	31
Nicaragua	2012	7.6	9.5	82.9	Q811	32
Niger	2012	5.7	7.5	70.8	Q1032	33
Pakistan	2011	10.5	14.4	75.1	Q843	34
Panama	2014	10.9	11.7	77.4	Q804	35
Paraguay	2014	12.1	25.9	62.0	Q733	36
Peru	2015	3.8	6.0	88.6	Q419	37
Philippines	2011	4.8	20.4	73.5	Q928	38
Rwanda	2014	12.3	31.1	56.6	Q1037	39
Senegal	2015	3.3	1.4	85.5	Q1041	40
South Sudan	2008	15.2	4.5	71.5	Q958	41
Sri Lanka	2009	2.7	4.4	92.9	Q854	42
Sudan	2014	19.2	17.7	60.6	Q1049	43
Tanzania	2014	2.2	1.6	96.2	Q924	44
Togo	2014	8.3	2.2	89.5	Q945	45
Trinidad and Tobago	2006	14.3	43.3	33.2	Q754	46
Turkey	2006	2.1	34.1	63.8	Q43	47
Uganda	2012	11.2	3.0	85.7	Q1036	48
Uruguay	2009	14.1	40.8	45.1	Q77	49
Venezuela, RB	2013	27.4	25.9	46.7	Q717	50
Vietnam	2012	8.2	7.5	84.3	Q881	51
Yemen, Rep.	2010	2.8	7.4	89.9	Q805	52
Zambia	2008	2.9	3.9	93.1	Q953	53
