Country	Completenessofbirthregistration	ID	id_row
Afghanistan	42.3	Q889	0
Albania	98.4	Q222	1
Algeria	100.0	Q262	2
Andorra	100.0	Q228	3
Angola	25.0	Q916	4
Armenia	99.3	Q399	5
Australia	100.0	Q408	6
Austria	100.0	Q40	7
Bangladesh	20.2	Q902	8
Belgium	100.0	Q31	9
Belize	96.0	Q242	10
Benin	85.6	Q962	11
Bolivia	92.0	Q750	12
Botswana	88.0	Q963	13
Brazil	96.0	Q155	14
Burundi	83.5	Q967	15
Cambodia	73.3	Q424	16
Cameroon	66.0	Q1009	17
Canada	100.0	Q16	18
Chad	12.0	Q657	19
Colombia	96.8	Q739	20
Congo, Dem. Rep.	24.6	Q974	21
Congo, Rep.	96.0	Q971	22
Costa Rica	100.0	Q800	23
Cote d'Ivoire	72.0	Q1008	24
Croatia	100.0	Q224	25
Cuba	100.0	Q241	26
Cyprus	100.0	Q229	27
Czech Republic	100.0	Q213	28
Denmark	100.0	Q35	29
Dominican Republic	88.0	Q786	30
Ecuador	82.0	Q736	31
Egypt, Arab Rep.	99.4	Q79	32
El Salvador	99.0	Q792	33
Estonia	100.0	Q191	34
Eswatini	54.0	Q1050	35
Ethiopia	2.7	Q115	36
Finland	100.0	Q33	37
France	100.0	Q142	38
Gambia, The	72.0	Q1005	39
Georgia	100.0	Q230	40
Germany	100.0	Q183	41
Ghana	70.5	Q117	42
Greece	100.0	Q41	43
Guatemala	96.0	Q774	44
Guinea	62.0	Q1006	45
Guinea-Bissau	24.0	Q1007	46
Guyana	89.0	Q734	47
Haiti	84.8	Q790	48
Hungary	100.0	Q28	49
Iceland	100.0	Q189	50
India	79.7	Q668	51
Indonesia	72.0	Q252	52
Iraq	99.0	Q796	53
Ireland	100.0	Q27	54
Israel	100.0	Q801	55
Italy	100.0	Q38	56
Jamaica	98.0	Q766	57
Japan	100.0	Q17	58
Jordan	98.0	Q810	59
Kazakhstan	100.0	Q232	60
Kenya	66.9	Q114	61
Kyrgyz Republic	98.0	Q813	62
Lao PDR	73.0	Q819	63
Latvia	100.0	Q211	64
Lesotho	43.3	Q1013	65
Liberia	24.6	Q1014	66
Liechtenstein	100.0	Q347	67
Lithuania	100.0	Q37	68
Luxembourg	100.0	Q32	69
Madagascar	83.0	Q1019	70
Malawi	67.2	Q1020	71
Maldives	98.8	Q826	72
Mali	86.7	Q912	73
Malta	100.0	Q233	74
Marshall Islands	84.0	Q709	75
Mauritania	66.0	Q1025	76
Mexico	95.0	Q96	77
Monaco	100.0	Q235	78
Mongolia	99.0	Q711	79
Montenegro	99.0	Q236	80
Morocco	96.0	Q1028	81
Mozambique	55.0	Q1029	82
Myanmar	81.3	Q836	83
Namibia	78.0	Q1030	84
Nepal	56.2	Q837	85
Netherlands	100.0	Q55	86
New Zealand	100.0	Q664	87
Nigeria	47.0	Q1033	88
Norway	100.0	Q20	89
Oman	100.0	Q842	90
Pakistan	42.2	Q843	91
Panama	96.0	Q804	92
Papua New Guinea	13.4	Q691	93
Paraguay	69.0	Q733	94
Peru	98.0	Q419	95
Philippines	91.8	Q928	96
Poland	100.0	Q36	97
Portugal	100.0	Q45	98
Qatar	100.0	Q846	99
Russian Federation	100.0	Q159	100
Rwanda	56.0	Q1037	101
Samoa	59.0	Q683	102
San Marino	100.0	Q238	103
Sao Tome and Principe	95.0	Q1039	104
Senegal	77.4	Q1041	105
Serbia	99.0	Q403	106
Sierra Leone	81.0	Q1044	107
Slovak Republic	100.0	Q214	108
Slovenia	100.0	Q215	109
Solomon Islands	88.0	Q685	110
South Africa	89.0	Q258	111
Spain	100.0	Q29	112
Sudan	67.0	Q1049	113
Sweden	100.0	Q34	114
Switzerland	100.0	Q39	115
Tajikistan	95.8	Q863	116
Tanzania	26.4	Q924	117
Thailand	100.0	Q869	118
Timor-Leste	60.4	Q574	119
Togo	78.0	Q945	120
Turkey	99.0	Q43	121
Turkmenistan	100.0	Q874	122
Uganda	32.2	Q1036	123
United Kingdom	100.0	Q145	124
United States	100.0	Q30	125
Uruguay	100.0	Q77	126
Vanuatu	43.0	Q686	127
Venezuela, RB	81.0	Q717	128
Vietnam	96.0	Q881	129
West Bank and Gaza	96.0	Q407199	130
Yemen, Rep.	30.7	Q805	131
Zambia	14.0	Q953	132
Zimbabwe	38.0	Q954	133
