Country	Modernmethods	ID	id_row
Afghanistan	19.8	Q889	0
Albania	3.7	Q222	1
Algeria	49.5	Q262	2
Angola	12.5	Q916	3
Argentina	78.2	Q414	4
Armenia	28.0	Q399	5
Australia	64.7	Q408	6
Austria	63.0	Q40	7
Bangladesh	54.1	Q902	8
Belarus	60.5	Q184	9
Belgium	65.9	Q31	10
Belize	48.5	Q242	11
Benin	12.4	Q962	12
Bolivia	45.1	Q750	13
Brazil	77.7	Q155	14
Burkina Faso	29.9	Q965	15
Burundi	22.9	Q967	16
Cambodia	38.8	Q424	17
Cameroon	21.0	Q1009	18
Chad	5.0	Q657	19
Chile	69.8	Q298	20
China	80.5	Q148	21
Colombia	75.9	Q739	22
Congo, Dem. Rep.	7.8	Q974	23
Congo, Rep.	18.5	Q971	24
Costa Rica	74.9	Q800	25
Cote d'Ivoire	19.6	Q1008	26
Cuba	72.2	Q241	27
Dominican Republic	68.0	Q786	28
Egypt, Arab Rep.	56.9	Q79	29
El Salvador	68.0	Q792	30
Eswatini	65.5	Q1050	31
Ethiopia	37.8	Q115	32
Finland	81.6	Q33	33
Gambia, The	8.1	Q1005	34
Ghana	25.0	Q117	35
Guatemala	48.9	Q774	36
Guinea	10.6	Q1006	37
Guinea-Bissau	14.4	Q1007	38
Guyana	32.5	Q734	39
Haiti	31.8	Q790	40
India	47.8	Q668	41
Indonesia	57.2	Q252	42
Iraq	36.1	Q796	43
Italy	51.8	Q38	44
Japan	34.4	Q17	45
Jordan	37.4	Q810	46
Kazakhstan	51.9	Q232	47
Kenya	58.7	Q114	48
Korea, Dem. Peopleâ€™s Rep.	76.5	Q423	49
Kyrgyz Republic	40.0	Q813	50
Lao PDR	49.0	Q819	51
Lesotho	59.8	Q1013	52
Liberia	30.0	Q1014	53
Libya	16.3	Q1016	54
Madagascar	38.6	Q1019	55
Malawi	58.1	Q1020	56
Malaysia	34.3	Q833	57
Maldives	14.9	Q826	58
Mali	16.4	Q912	59
Mauritania	15.6	Q1025	60
Mauritius	32.0	Q1027	61
Mexico	64.6	Q96	62
Mongolia	48.2	Q711	63
Montenegro	15.4	Q236	64
Morocco	58.0	Q1028	65
Mozambique	25.3	Q1029	66
Myanmar	51.3	Q836	67
Namibia	55.3	Q1030	68
Nepal	42.8	Q837	69
Netherlands	70.0	Q55	70
Niger	10.5	Q1032	71
Nigeria	12.0	Q1033	72
Oman	18.8	Q842	73
Pakistan	25.0	Q843	74
Panama	60.1	Q804	75
Papua New Guinea	30.5	Q691	76
Paraguay	66.5	Q733	77
Peru	54.5	Q419	78
Philippines	40.4	Q928	79
Portugal	67.1	Q45	80
Rwanda	47.5	Q1037	81
Samoa	24.3	Q683	82
Sao Tome and Principe	37.4	Q1039	83
Saudi Arabia	20.8	Q851	84
Senegal	26.3	Q1041	85
Serbia	18.4	Q403	86
Sierra Leone	21.8	Q1044	87
Solomon Islands	24.3	Q685	88
South Africa	54.0	Q258	89
South Sudan	5.0	Q958	90
Spain	69.9	Q29	91
Sri Lanka	51.3	Q854	92
Sudan	11.7	Q1049	93
Tajikistan	27.1	Q863	94
Tanzania	32.0	Q924	95
Thailand	75.5	Q869	96
Timor-Leste	24.1	Q574	97
Togo	17.3	Q945	98
Turkey	47.3	Q43	99
Turkmenistan	47.1	Q874	100
Uganda	36.3	Q1036	101
United States	67.7	Q30	102
Uruguay	78.3	Q77	103
Vanuatu	37.1	Q686	104
Vietnam	65.0	Q881	105
West Bank and Gaza	44.1	Q407199	106
Yemen, Rep.	29.2	Q805	107
Zambia	47.5	Q953	108
Zimbabwe	65.8	Q954	109
