Country	2000	2016	ID	id_row
Afghanistan	70.2	148.0	Q889	0
Albania	85.8	182.1	Q222	1
Algeria	53.6	154.3	Q262	2
American Samoa	74.8	118.3	Q16641	3
Angola	52.5	208.7	Q916	4
Antigua and Barbuda	108.0	111.8	Q781	5
Argentina	81.3	145.5	Q414	6
Armenia	58.0	124.9	Q399	7
Australia	96.4	107.1	Q408	8
Austria	94.4	90.8	Q40	9
Azerbaijan	71.2	122.5	Q227	10
Bahamas, The	87.2	142.7	Q778	11
Bahrain	110.2	103.6	Q398	12
Bangladesh	90.6	146.4	Q902	13
Barbados	128.7	45.7	Q244	14
Belarus	75.9	100.5	Q184	15
Belgium	102.3	88.7	Q31	16
Belize	97.5	91.9	Q242	17
Benin	91.6	157.6	Q962	18
Bermuda	105.1	114.0	Q23635	19
Bhutan	63.0	108.9	Q917	20
Bolivia	85.0	153.9	Q750	21
Bosnia and Herzegovina	65.0	118.3	Q225	22
Botswana	90.8	126.4	Q963	23
Brazil	77.6	142.7	Q155	24
Brunei Darussalam	90.9	96.9	Q921	25
Bulgaria	85.9	128.1	Q219	26
Burkina Faso	58.9	144.9	Q965	27
Burundi	85.8	105.2	Q967	28
Cabo Verde	112.5	108.7	Q1011	29
Cambodia	71.5	210.8	Q424	30
Cameroon	77.8	186.0	Q1009	31
Canada	96.1	141.1	Q16	32
Cayman Islands	98.8	104.0	Q5785	33
Central African Republic	99.9	116.3	Q929	34
Chad	79.5	176.1	Q657	35
Chile	82.0	116.0	Q298	36
China	84.8	144.2	Q148	37
Hong Kong SAR, China	114.1	101.3	Q8646	38
Macao SAR, China	84.8	117.0	Q14773	39
Colombia	88.2	114.6	Q739	40
Comoros	96.1	108.7	Q970	41
Congo, Dem. Rep.	102.5	108.8	Q974	42
Congo, Rep.	86.3	126.1	Q971	43
Costa Rica	89.5	130.3	Q800	44
Cote d'Ivoire	98.9	127.6	Q1008	45
Croatia	77.8	133.2	Q224	46
Cuba	112.1	93.1	Q241	47
Cyprus	111.8	64.3	Q229	48
Czech Republic	104.5	115.2	Q213	49
Denmark	103.5	103.8	Q35	50
Djibouti	96.3	129.3	Q977	51
Dominica	119.6	115.3	Q784	52
Dominican Republic	87.6	171.0	Q786	53
Ecuador	83.5	110.3	Q736	54
Egypt, Arab Rep.	86.8	124.6	Q79	55
El Salvador	100.9	111.3	Q792	56
Equatorial Guinea	94.8	115.5	Q983	57
Eritrea	70.6	80.3	Q986	58
Estonia	125.9	148.0	Q191	59
Eswatini	87.5	112.9	Q1050	60
Ethiopia	74.3	187.6	Q115	61
Faroe Islands	103.4	104.1	Q4628	62
Fiji	103.8	72.2	Q712	63
Finland	105.1	92.8	Q33	64
France	103.1	88.1	Q142	65
French Polynesia	86.9	95.8	Q30971	66
Gabon	98.3	126.8	Q1000	67
Gambia, The	101.9	105.3	Q1005	68
Georgia	101.0	77.5	Q230	69
Germany	106.3	98.5	Q183	70
Ghana	78.2	154.3	Q117	71
Greece	108.4	92.9	Q41	72
Grenada	144.8	133.2	Q769	73
Guam	95.4	74.1	Q16635	74
Guatemala	76.6	165.9	Q774	75
Guinea	86.6	133.9	Q1006	76
Guinea-Bissau	86.9	148.4	Q1007	77
Guyana	101.4	126.5	Q734	78
Haiti	95.7	171.7	Q790	79
Honduras	69.8	132.3	Q783	80
Hungary	76.9	90.5	Q28	81
Iceland	77.5	97.0	Q189	82
India	92.1	142.8	Q668	83
Indonesia	78.3	142.9	Q252	84
Iran, Islamic Rep.	76.2	110.5	Q794	85
Iraq	89.5	63.8	Q796	86
Ireland	101.5	100.1	Q27	87
Israel	87.4	100.0	Q801	88
Italy	98.0	90.4	Q38	89
Jamaica	100.9	106.8	Q766	90
Japan	106.8	81.8	Q17	91
Jordan	74.2	141.9	Q810	92
Kazakhstan	77.5	167.2	Q232	93
Kenya	77.0	129.0	Q114	94
Kiribati	74.1	54.2	Q710	95
Korea, Dem. Peopleâ€™s Rep.	86.2	101.8	Q423	96
Korea, Rep.	105.5	92.5	Q884	97
Kuwait	67.1	185.6	Q817	98
Kyrgyz Republic	93.5	117.5	Q813	99
Lao PDR	83.7	241.1	Q819	100
Latvia	82.5	185.2	Q211	101
Lebanon	103.3	94.4	Q822	102
Lesotho	115.8	84.9	Q1013	103
Liberia	99.9	109.4	Q1014	104
Libya	97.4	115.3	Q1016	105
Liechtenstein	94.8	109.3	Q347	106
Lithuania	118.3	199.9	Q37	107
Luxembourg	98.1	71.6	Q32	108
North Macedonia	97.8	124.4	Q221	109
Madagascar	83.0	117.0	Q1019	110
Malawi	98.6	138.4	Q1020	111
Malaysia	78.1	117.9	Q833	112
Maldives	87.2	62.9	Q826	113
Mali	75.3	193.4	Q912	114
Malta	103.9	94.2	Q233	115
Marshall Islands	19.1	104.1	Q709	116
Mauritania	107.8	172.9	Q1025	117
Mauritius	101.9	79.5	Q1027	118
Mexico	88.5	134.7	Q96	119
Micronesia, Fed. Sts.	108.7	100.2	Q702	120
Moldova	89.4	115.6	Q217	121
Mongolia	73.4	258.4	Q711	122
Morocco	64.9	110.1	Q1028	123
Mozambique	77.3	154.0	Q1029	124
Myanmar	73.2	124.3	Q836	125
