Country	deaths	ID	id_row
Afghanistan	17453.0	Q889	0
Albania	107.0	Q222	1
Algeria	5259.0	Q262	2
American Samoa	3.0	Q16641	3
Andorra		Q228	4
Angola	11338.0	Q916	5
Antigua and Barbuda	4.0	Q781	6
Argentina	2567.0	Q414	7
Armenia	99.0	Q399	8
Australia	350.0	Q408	9
Austria	89.0	Q40	10
Azerbaijan	1539.0	Q227	11
Bahamas	13.0	Q778	12
Bahrain	40.0	Q398	13
Bangladesh	27149.0	Q902	14
Barbados	10.0	Q244	15
Belarus	152.0	Q184	16
Belgium	105.0	Q31	17
Belize	42.0	Q242	18
Benin	5768.0	Q962	19
Bermuda		Q23635	20
Bhutan	118.0	Q917	21
Bolivia	1883.0	Q750	22
Bosnia and Herzegovina	70.0	Q225	23
Botswana	272.0	Q963	24
Brazil	12554.0	Q155	25
Brunei	13.0	Q921	26
Bulgaria	123.0	Q219	27
Burkina Faso	9352.0	Q965	28
Burundi	4272.0	Q967	29
Cambodia	2830.0	Q424	30
Cameroon	8592.0	Q1009	31
Canada	655.0	Q16	32
Cape Verde	78.0	Q1011	33
Central African Republic	2912.0	Q929	34
Chad	11396.0	Q657	35
Chile	545.0	Q298	36
China	39335.0	Q148	37
Colombia	3061.0	Q739	38
Comoros	160.0	Q970	39
Congo	1055.0	Q971	40
Costa Rica	191.0	Q800	41
Cote d'Ivoire	12410.0	Q1008	42
Croatia	43.0	Q224	43
Cuba	99.0	Q241	44
Cyprus	11.0	Q229	45
Czech Republic	68.0	Q213	46
Democratic Republic of Congo	33854.0	Q974	47
Denmark	89.0	Q35	48
Djibouti	196.0	Q977	49
Dominica	7.0	Q784	50
Dominican Republic	2007.0	Q786	51
Ecuador	1314.0	Q736	52
Egypt	6262.0	Q79	53
El Salvador	367.0	Q792	54
England	1230.0	Q21	55
Equatorial Guinea	289.0	Q983	56
Eritrea	1706.0	Q986	57
Estonia	8.0	Q191	58
Ethiopia	39714.0	Q115	59
Fiji	115.0	Q712	60
Finland	31.0	Q33	61
France	668.0	Q142	62
Gabon	379.0	Q1000	63
Gambia	771.0	Q1005	64
Georgia	167.0	Q230	65
Germany	956.0	Q183	66
Ghana	8783.0	Q117	67
Greece	127.0	Q41	68
Greenland	4.0	Q223	69
Grenada	6.0	Q769	70
Guam	13.0	Q16635	71
Guatemala	2167.0	Q774	72
Guinea	6227.0	Q1006	73
Guinea-Bissau	1004.0	Q1007	74
Guyana	115.0	Q734	75
Haiti	2848.0	Q790	76
Honduras	904.0	Q783	77
Hungary	125.0	Q28	78
Iceland	2.0	Q189	79
India	259862.0	Q668	80
Indonesia	25854.0	Q252	81
Iran	7313.0	Q794	82
Iraq	8553.0	Q796	83
Ireland	64.0	Q27	84
Israel	163.0	Q801	85
Italy	472.0	Q38	86
Jamaica	303.0	Q766	87
Japan	311.0	Q17	88
Jordan	1539.0	Q810	89
Kazakhstan	1391.0	Q232	90
Kenya	11932.0	Q114	91
Kiribati	32.0	Q710	92
Kuwait	153.0	Q817	93
Kyrgyzstan	1258.0	Q813	94
Laos	2409.0	Q819	95
Latvia	18.0	Q211	96
Lebanon	398.0	Q822	97
Lesotho	529.0	Q1013	98
Liberia	1472.0	Q1014	99
Libya	320.0	Q1016	100
Lithuania	24.0	Q37	101
Luxembourg	3.0	Q32	102
Macedonia	106.0	Q221	103
Madagascar	12039.0	Q1019	104
Malawi	6126.0	Q1020	105
Malaysia	793.0	Q833	106
Maldives	17.0	Q826	107
Mali	16261.0	Q912	108
Malta	9.0	Q233	109
Marshall Islands	8.0	Q709	110
Mauritania	1221.0	Q1025	111
Mauritius	59.0	Q1027	112
Mexico	7222.0	Q96	113
Micronesia (country)	10.0	Q702	114
Moldova	145.0	Q217	115
Mongolia	576.0	Q711	116
Montenegro	11.0	Q236	117
Morocco	4389.0	Q1028	118
Mozambique	10724.0	Q1029	119
Myanmar	8683.0	Q836	120
Namibia	480.0	Q1030	121
Nepal	3995.0	Q837	122
Netherlands	210.0	Q55	123
New Zealand	94.0	Q664	124
Nicaragua	565.0	Q811	125
Niger	10823.0	Q1032	126
Nigeria	119824.0	Q1033	127
North Korea	1538.0	Q423	128
Northern Ireland	52.0	Q26	129
Northern Mariana Islands		Q16644	130
Norway	34.0	Q20	131
Oman	301.0	Q842	132
Pakistan	91614.0	Q843	133
Palestine	704.0	Q219060	134
Panama	238.0	Q804	135
Papua New Guinea	2677.0	Q691	136
Paraguay	323.0	Q733	137
Peru	2156.0	Q419	138
Philippines	14396.0	Q928	139
Poland	591.0	Q36	140
Portugal	73.0	Q45	141
Puerto Rico	79.0	Q1183	142
Qatar	67.0	Q846	143
Romania	342.0	Q218	144
Russia	2702.0	Q159	145
Rwanda	3571.0	Q1037	146
Saint Lucia	11.0	Q760	147
Saint Vincent and the Grenadines	9.0	Q757	148
Samoa	18.0	Q683	149
Sao Tome and Principe	31.0	Q1039	150
Saudi Arabia	1545.0	Q851	151
Scotland	78.0	Q22	152
Senegal	4646.0	Q1041	153
Serbia	175.0	Q403	154
Seychelles	5.0	Q1042	155
Sierra Leone	4175.0	Q1044	156
Singapore	18.0	Q334	157
Slovakia	103.0	Q214	158
Slovenia	13.0	Q215	159
Solomon Islands	94.0	Q685	160
Somalia	6780.0	Q1045	161
South Africa	6404.0	Q258	162
South Korea	426.0	Q884	163
South Sudan	6473.0	Q958	164
Spain	328.0	Q29	165
Sri Lanka	819.0	Q854	166
Sudan	19437.0	Q1049	167
Suriname	94.0	Q730	168
Swaziland	220.0	Q1050	169
Sweden	84.0	Q34	170
Switzerland	103.0	Q39	171
Syria	580.0	Q858	172
Taiwan	217.0	Q865	173
Tajikistan	3266.0	Q863	174
Tanzania	20886.0	Q924	175
Thailand	1423.0	Q869	176
Timor	300.0	Q574	177
Togo	2533.0	Q945	178
Tonga	9.0	Q678	179
Trinidad and Tobago	95.0	Q754	180
Tunisia	635.0	Q948	181
Turkey	5299.0	Q43	182
Turkmenistan	780.0	Q874	183
Uganda	15221.0	Q1036	184
Ukraine	815.0	Q212	185
United Arab Emirates	231.0	Q878	186
United Kingdom	1412.0	Q145	187
United States	8706.0	Q30	188
United States Virgin Islands	4.0	Q11703	189
Uruguay	109.0	Q77	190
Uzbekistan	3214.0	Q265	191
Vanuatu	57.0	Q686	192
Venezuela	2722.0	Q717	193
Vietnam	4417.0	Q881	194
Wales	52.0	Q25	195
Yemen	14468.0	Q805	196
Zambia	5362.0	Q953	197
Zimbabwe	5289.0	Q954	198
