Country	deaths	ID	id_row
Afghanistan	2422.0	Q889	0
Albania	8.0	Q222	1
Algeria	127.0	Q262	2
American Samoa		Q16641	3
Andorra		Q228	4
Angola	2363.0	Q916	5
Antigua and Barbuda		Q781	6
Argentina	77.0	Q414	7
Armenia	8.0	Q399	8
Australia	6.0	Q408	9
Austria		Q40	10
Azerbaijan	297.0	Q227	11
Bahamas	1.0	Q778	12
Bahrain		Q398	13
Bangladesh	1685.0	Q902	14
Barbados		Q244	15
Belarus	4.0	Q184	16
Belgium	2.0	Q31	17
Belize	4.0	Q242	18
Benin	830.0	Q962	19
Bermuda		Q23635	20
Bhutan	6.0	Q917	21
Bolivia	123.0	Q750	22
Bosnia and Herzegovina	2.0	Q225	23
Botswana	45.0	Q963	24
Brazil	1128.0	Q155	25
Brunei		Q921	26
Bulgaria	9.0	Q219	27
Burkina Faso	2456.0	Q965	28
Burundi	365.0	Q967	29
Cambodia	236.0	Q424	30
Cameroon	1988.0	Q1009	31
Canada	12.0	Q16	32
Cape Verde	3.0	Q1011	33
Central African Republic	1066.0	Q929	34
Chad	4793.0	Q657	35
Chile	7.0	Q298	36
China	2674.0	Q148	37
Colombia	171.0	Q739	38
Comoros	28.0	Q970	39
Congo	185.0	Q971	40
Costa Rica	4.0	Q800	41
Cote d'Ivoire	2138.0	Q1008	42
Croatia		Q224	43
Cuba	8.0	Q241	44
Cyprus		Q229	45
Czech Republic	3.0	Q213	46
Democratic Republic of Congo	5443.0	Q974	47
Denmark	1.0	Q35	48
Djibouti	39.0	Q977	49
Dominica		Q784	50
Dominican Republic	106.0	Q786	51
Ecuador	86.0	Q736	52
Egypt	2412.0	Q79	53
El Salvador	28.0	Q792	54
England	15.0	Q21	55
Equatorial Guinea	34.0	Q983	56
Eritrea	258.0	Q986	57
Estonia		Q191	58
Ethiopia	5832.0	Q115	59
Fiji	7.0	Q712	60
Finland		Q33	61
France	10.0	Q142	62
Gabon	44.0	Q1000	63
Gambia	56.0	Q1005	64
Georgia	6.0	Q230	65
Germany	10.0	Q183	66
Ghana	767.0	Q117	67
Greece	2.0	Q41	68
Greenland		Q223	69
Grenada		Q769	70
Guam		Q16635	71
Guatemala	391.0	Q774	72
Guinea	1041.0	Q1006	73
Guinea-Bissau	121.0	Q1007	74
Guyana	7.0	Q734	75
Haiti	112.0	Q790	76
Honduras	84.0	Q783	77
Hungary	3.0	Q28	78
Iceland		Q189	79
India	33415.0	Q668	80
Indonesia	3487.0	Q252	81
Iran	138.0	Q794	82
Iraq	383.0	Q796	83
Ireland		Q27	84
Israel	4.0	Q801	85
Italy	8.0	Q38	86
Jamaica	4.0	Q766	87
Japan	17.0	Q17	88
Jordan	50.0	Q810	89
Kazakhstan	72.0	Q232	90
Kenya	2620.0	Q114	91
Kiribati	2.0	Q710	92
Kuwait	3.0	Q817	93
Kyrgyzstan	56.0	Q813	94
Laos	444.0	Q819	95
Latvia		Q211	96
Lebanon	15.0	Q822	97
Lesotho	99.0	Q1013	98
Liberia	241.0	Q1014	99
Libya	6.0	Q1016	100
Lithuania	1.0	Q37	101
Luxembourg		Q32	102
Macedonia	3.0	Q221	103
Madagascar	3088.0	Q1019	104
Malawi	528.0	Q1020	105
Malaysia	35.0	Q833	106
Maldives		Q826	107
Mali	2004.0	Q912	108
Malta		Q233	109
Marshall Islands		Q709	110
Mauritania	166.0	Q1025	111
Mauritius	2.0	Q1027	112
Mexico	687.0	Q96	113
Micronesia (country)		Q702	114
Moldova	12.0	Q217	115
Mongolia	35.0	Q711	116
Montenegro		Q236	117
Morocco	273.0	Q1028	118
Mozambique	1254.0	Q1029	119
Myanmar	1042.0	Q836	120
Namibia	80.0	Q1030	121
