Country	deaths	ID	id_row
Afghanistan	4890.0	Q889	0
Albania	429.0	Q222	1
Algeria	3004.0	Q262	2
American Samoa	3.0	Q16641	3
Andorra	9.0	Q228	4
Angola	643.0	Q916	5
Antigua and Barbuda	7.0	Q781	6
Argentina	6236.0	Q414	7
Armenia	781.0	Q399	8
Australia	3303.0	Q408	9
Austria	1501.0	Q40	10
Azerbaijan	1925.0	Q227	11
Bahamas	43.0	Q778	12
Bahrain	48.0	Q398	13
Bangladesh	19951.0	Q902	14
Barbados	41.0	Q244	15
Belarus	3030.0	Q184	16
Belgium	1686.0	Q31	17
Belize	21.0	Q242	18
Benin	132.0	Q962	19
Bermuda	8.0	Q23635	20
Bhutan	74.0	Q917	21
Bolivia	824.0	Q750	22
Bosnia and Herzegovina	421.0	Q225	23
Botswana	103.0	Q963	24
Brazil	17128.0	Q155	25
Brunei	44.0	Q921	26
Bulgaria	3397.0	Q219	27
Burkina Faso	434.0	Q965	28
Burundi	248.0	Q967	29
Cambodia	1259.0	Q424	30
Cameroon	350.0	Q1009	31
Canada	4520.0	Q16	32
Cape Verde	39.0	Q1011	33
Central African Republic	295.0	Q929	34
Chad	369.0	Q657	35
Chile	1431.0	Q298	36
China	195704.0	Q148	37
Colombia	3961.0	Q739	38
Comoros	47.0	Q970	39
Congo	359.0	Q971	40
Costa Rica	474.0	Q800	41
Cote d'Ivoire	292.0	Q1008	42
Croatia	1477.0	Q224	43
Cuba	824.0	Q241	44
Cyprus	183.0	Q229	45
Czech Republic	3263.0	Q213	46
Democratic Republic of Congo	3901.0	Q974	47
Denmark	784.0	Q35	48
Djibouti	74.0	Q977	49
Dominica	8.0	Q784	50
Dominican Republic	1378.0	Q786	51
Ecuador	1258.0	Q736	52
Egypt	5849.0	Q79	53
El Salvador	421.0	Q792	54
England	7681.0	Q21	55
Equatorial Guinea	15.0	Q983	56
Eritrea	217.0	Q986	57
Estonia	306.0	Q191	58
Ethiopia	1384.0	Q115	59
Fiji	103.0	Q712	60
Finland	1130.0	Q33	61
France	8834.0	Q142	62
Gabon	80.0	Q1000	63
Gambia	90.0	Q1005	64
Georgia	1272.0	Q230	65
Germany	19287.0	Q183	66
Ghana	86.0	Q117	67
Greece	2250.0	Q41	68
Greenland	6.0	Q223	69
Grenada	17.0	Q769	70
Guam	13.0	Q16635	71
Guatemala	576.0	Q774	72
Guinea	604.0	Q1006	73
Guinea-Bissau	101.0	Q1007	74
Guyana	95.0	Q734	75
Haiti	1009.0	Q790	76
Honduras	673.0	Q783	77
Hungary	3708.0	Q28	78
Iceland	51.0	Q189	79
India	152481.0	Q668	80
Indonesia	29475.0	Q252	81
Iran	5985.0	Q794	82
Iraq	2418.0	Q796	83
Ireland	541.0	Q27	84
Israel	501.0	Q801	85
Italy	9543.0	Q38	86
Jamaica	195.0	Q766	87
Japan	13577.0	Q17	88
Jordan	497.0	Q810	89
Kazakhstan	3295.0	Q232	90
Kenya	906.0	Q114	91
Kiribati	11.0	Q710	92
Kuwait	208.0	Q817	93
Kyrgyzstan	791.0	Q813	94
Laos	811.0	Q819	95
Latvia	779.0	Q211	96
Lebanon	788.0	Q822	97
Lesotho	45.0	Q1013	98
Liberia	281.0	Q1014	99
Libya	875.0	Q1016	100
Lithuania	1133.0	Q37	101
Luxembourg	74.0	Q32	102
Macedonia	338.0	Q221	103
Madagascar	1270.0	Q1019	104
Malawi	197.0	Q1020	105
Malaysia	4277.0	Q833	106
Maldives	31.0	Q826	107
Mali	353.0	Q912	108
Malta	86.0	Q233	109
Marshall Islands	7.0	Q709	110
Mauritania	136.0	Q1025	111
Mauritius	174.0	Q1027	112
Mexico	5.0	Q96	113
Micronesia (country)	12.0	Q702	114
Moldova	1182.0	Q217	115
Mongolia	521.0	Q711	116
Montenegro	126.0	Q236	117
Morocco	2447.0	Q1028	118
Mozambique	813.0	Q1029	119
Myanmar	4476.0	Q836	120
Namibia	123.0	Q1030	121
Nepal	2401.0	Q837	122
Netherlands	2284.0	Q55	123
New Zealand	682.0	Q664	124
Nicaragua	305.0	Q811	125
Niger	308.0	Q1032	126
Nigeria	1933.0	Q1033	127
North Korea	3279.0	Q423	128
Northern Ireland	272.0	Q26	129
Northern Mariana Islands	2.0	Q16644	130
Norway	737.0	Q20	131
Oman	204.0	Q842	132
Pakistan	27177.0	Q843	133
Palestine	308.0	Q219060	134
Panama	324.0	Q804	135
Papua New Guinea	580.0	Q691	136
Paraguay	347.0	Q733	137
Peru	1256.0	Q419	138
Philippines	15835.0	Q928	139
Poland	7551.0	Q36	140
Portugal	1585.0	Q45	141
Puerto Rico	429.0	Q1183	142
Qatar	37.0	Q846	143
Romania	4605.0	Q218	144
Russia	47504.0	Q159	145
Rwanda	44.0	Q1037	146
Saint Lucia	15.0	Q760	147
Saint Vincent and the Grenadines	16.0	Q757	148
Samoa	13.0	Q683	149
Sao Tome and Principe	7.0	Q1039	150
Saudi Arabia	1696.0	Q851	151
Scotland	944.0	Q22	152
Senegal	190.0	Q1041	153
Serbia	2824.0	Q403	154
Seychelles	11.0	Q1042	155
Sierra Leone	574.0	Q1044	156
Singapore	434.0	Q334	157
Slovakia	1912.0	Q214	158
Slovenia	347.0	Q215	159
Solomon Islands	30.0	Q685	160
Somalia	1182.0	Q1045	161
South Africa	2567.0	Q258	162
South Korea	3957.0	Q884	163
South Sudan	268.0	Q958	164
Spain	7031.0	Q29	165
Sri Lanka	1894.0	Q854	166
Sudan	3978.0	Q1049	167
Suriname	85.0	Q730	168
Swaziland	58.0	Q1050	169
Sweden	1861.0	Q34	170
Switzerland	1306.0	Q39	171
Syria	2689.0	Q858	172
Taiwan	2512.0	Q865	173
Tajikistan	1257.0	Q863	174
Tanzania	1168.0	Q924	175
Thailand	6536.0	Q869	176
Timor	95.0	Q574	177
Togo	128.0	Q945	178
Tonga	6.0	Q678	179
Trinidad and Tobago	212.0	Q754	180
Tunisia	1142.0	Q948	181
Turkey	3922.0	Q43	182
Turkmenistan	1074.0	Q874	183
Uganda	516.0	Q1036	184
Ukraine	22910.0	Q212	185
