Country	deaths	ID	id_row
Afghanistan	9074.0	Q889	0
Albania	1131.0	Q222	1
Algeria	11483.0	Q262	2
American Samoa	18.0	Q16641	3
Andorra	13.0	Q228	4
Angola	2618.0	Q916	5
Antigua and Barbuda	21.0	Q781	6
Argentina	13120.0	Q414	7
Armenia	2160.0	Q399	8
Australia	4546.0	Q408	9
Austria	3014.0	Q40	10
Azerbaijan	5461.0	Q227	11
Bahamas	84.0	Q778	12
Bahrain	139.0	Q398	13
Bangladesh	35582.0	Q902	14
Barbados	91.0	Q244	15
Belarus	10748.0	Q184	16
Belgium	2756.0	Q31	17
Belize	59.0	Q242	18
Benin	859.0	Q962	19
Bermuda	21.0	Q23635	20
Bhutan	159.0	Q917	21
Bolivia	1488.0	Q750	22
Bosnia and Herzegovina	2038.0	Q225	23
Botswana	320.0	Q963	24
Brazil	47677.0	Q155	25
Brunei	76.0	Q921	26
Bulgaria	6774.0	Q219	27
Burkina Faso	2424.0	Q965	28
Burundi	1102.0	Q967	29
Cambodia	1905.0	Q424	30
Cameroon	2276.0	Q1009	31
Canada	9711.0	Q16	32
Cape Verde	97.0	Q1011	33
Central African Republic	831.0	Q929	34
Chad	1279.0	Q657	35
Chile	3074.0	Q298	36
China	394876.0	Q148	37
Colombia	9683.0	Q739	38
Comoros	132.0	Q970	39
Congo	875.0	Q971	40
Costa Rica	926.0	Q800	41
Cote d'Ivoire	2530.0	Q1008	42
Croatia	2537.0	Q224	43
Cuba	4962.0	Q241	44
Cyprus	310.0	Q229	45
Czech Republic	6621.0	Q213	46
Democratic Republic of Congo	10486.0	Q974	47
Denmark	1346.0	Q35	48
Djibouti	157.0	Q977	49
Dominica	22.0	Q784	50
Dominican Republic	3615.0	Q786	51
Ecuador	2657.0	Q736	52
Egypt	40722.0	Q79	53
El Salvador	1686.0	Q792	54
England	13666.0	Q21	55
Equatorial Guinea	57.0	Q983	56
Eritrea	618.0	Q986	57
Estonia	847.0	Q191	58
Ethiopia	7053.0	Q115	59
Fiji	591.0	Q712	60
Finland	2577.0	Q33	61
France	13358.0	Q142	62
Gabon	254.0	Q1000	63
Gambia	347.0	Q1005	64
Georgia	3002.0	Q230	65
Germany	34237.0	Q183	66
Ghana	4199.0	Q117	67
Greece	4008.0	Q41	68
Greenland	10.0	Q223	69
Grenada	48.0	Q769	70
Guam	93.0	Q16635	71
Guatemala	2303.0	Q774	72
Guinea	1968.0	Q1006	73
Guinea-Bissau	264.0	Q1007	74
Guyana	267.0	Q734	75
Haiti	2882.0	Q790	76
Honduras	2144.0	Q783	77
Hungary	7658.0	Q28	78
Iceland	92.0	Q189	79
India	385013.0	Q668	80
Indonesia	67921.0	Q252	81
Iran	14973.0	Q794	82
