Country	deaths	ID	id_row
Afghanistan	19397.0	Q889	0
Albania	737.0	Q222	1
Algeria	58.0	Q262	2
American Samoa	8.0	Q16641	3
Andorra		Q228	4
Angola	7129.0	Q916	5
Antigua and Barbuda	1.0	Q781	6
Argentina	1240.0	Q414	7
Armenia	482.0	Q399	8
Australia	38.0	Q408	9
Austria	54.0	Q40	10
Azerbaijan	1629.0	Q227	11
Bahamas	7.0	Q778	12
Bahrain	2.0	Q398	13
Bangladesh	70345.0	Q902	14
Barbados		Q244	15
Belarus	114.0	Q184	16
Belgium	27.0	Q31	17
Belize	30.0	Q242	18
Benin	4920.0	Q962	19
Bermuda	2.0	Q23635	20
Bhutan	135.0	Q917	21
Bolivia	1557.0	Q750	22
Bosnia and Herzegovina	1278.0	Q225	23
Botswana	419.0	Q963	24
Brazil	12154.0	Q155	25
Brunei		Q921	26
Bulgaria	1541.0	Q219	27
Burkina Faso	12783.0	Q965	28
Burundi	5461.0	Q967	29
Cambodia	8429.0	Q424	30
Cameroon	6717.0	Q1009	31
Canada	18.0	Q16	32
Cape Verde	111.0	Q1011	33
Central African Republic	3645.0	Q929	34
Chad	11551.0	Q657	35
Chile	685.0	Q298	36
China	271089.0	Q148	37
Colombia	2383.0	Q739	38
Comoros	323.0	Q970	39
Congo	1283.0	Q971	40
Costa Rica	179.0	Q800	41
Cote d'Ivoire	10917.0	Q1008	42
Croatia	430.0	Q224	43
Cuba	331.0	Q241	44
Cyprus	4.0	Q229	45
Czech Republic	206.0	Q213	46
Democratic Republic of Congo	42040.0	Q974	47
Denmark	13.0	Q35	48
Djibouti	162.0	Q977	49
Dominica	6.0	Q784	50
Dominican Republic	1024.0	Q786	51
Ecuador	442.0	Q736	52
Egypt	387.0	Q79	53
El Salvador	933.0	Q792	54
England	233.0	Q21	55
Equatorial Guinea	166.0	Q983	56
Eritrea	2241.0	Q986	57
Estonia	115.0	Q191	58
Ethiopia	32771.0	Q115	59
Fiji	383.0	Q712	60
Finland	18.0	Q33	61
France	145.0	Q142	62
Gabon	101.0	Q1000	63
Gambia	1020.0	Q1005	64
Georgia	1898.0	Q230	65
Germany	599.0	Q183	66
Ghana	9781.0	Q117	67
Greece	78.0	Q41	68
Greenland		Q223	69
Grenada	7.0	Q769	70
Guam	13.0	Q16635	71
Guatemala	4559.0	Q774	72
Guinea	9236.0	Q1006	73
Guinea-Bissau	1006.0	Q1007	74
Guyana	87.0	Q734	75
Haiti	6786.0	Q790	76
Honduras	1974.0	Q783	77
Hungary	1607.0	Q28	78
Iceland		Q189	79
India	481738.0	Q668	80
Indonesia	68117.0	Q252	81
Iran	172.0	Q794	82
Iraq	46.0	Q796	83
Ireland	17.0	Q27	84
Israel	21.0	Q801	85
Italy	347.0	Q38	86
Jamaica	270.0	Q766	87
Japan	117.0	Q17	88
Jordan		Q810	89
Kazakhstan	2001.0	Q232	90
Kenya	14.0	Q114	91
Kiribati	91.0	Q710	92
Kuwait	1.0	Q817	93
Kyrgyzstan	1225.0	Q813	94
Laos	3807.0	Q819	95
Latvia	177.0	Q211	96
Lebanon		Q822	97
Lesotho	1153.0	Q1013	98
Liberia	2122.0	Q1014	99
Libya	2.0	Q1016	100
Lithuania	60.0	Q37	101
Luxembourg	1.0	Q32	102
Macedonia	411.0	Q221	103
Madagascar	16691.0	Q1019	104
Malawi	7628.0	Q1020	105
Malaysia	487.0	Q833	106
Maldives	16.0	Q826	107
Mali	9958.0	Q912	108
Malta	3.0	Q233	109
Marshall Islands	17.0	Q709	110
Mauritania	962.0	Q1025	111
Mauritius	53.0	Q1027	112
Mexico	11727.0	Q96	113
Micronesia (country)	36.0	Q702	114
Moldova	526.0	Q217	115
Mongolia	692.0	Q711	116
Montenegro	169.0	Q236	117
Morocco	681.0	Q1028	118
Mozambique	12821.0	Q1029	119
Myanmar	27891.0	Q836	120
Namibia	568.0	Q1030	121
Nepal	11191.0	Q837	122
Netherlands	31.0	Q55	123
New Zealand	10.0	Q664	124
Nicaragua	984.0	Q811	125
Niger	12319.0	Q1032	126
Nigeria	64226.0	Q1033	127
North Korea	24067.0	Q423	128
Northern Ireland	10.0	Q26	129
Northern Mariana Islands	5.0	Q16644	130
Norway	20.0	Q20	131
Oman	8.0	Q842	132
Pakistan	59080.0	Q843	133
Palestine	12.0	Q219060	134
Panama	242.0	Q804	135
Papua New Guinea	9069.0	Q691	136
Paraguay	1326.0	Q733	137
Peru	3775.0	Q419	138
Philippines	42.0	Q928	139
Poland	2400.0	Q36	140
Portugal	175.0	Q45	141
Puerto Rico	10.0	Q1183	142
Qatar		Q846	143
Romania	3590.0	Q218	144
Russia	382.0	Q159	145
Rwanda	4237.0	Q1037	146
Saint Lucia	11.0	Q760	147
Saint Vincent and the Grenadines	14.0	Q757	148
Samoa	75.0	Q683	149
Sao Tome and Principe	71.0	Q1039	150
Saudi Arabia	22.0	Q851	151
Scotland	75.0	Q22	152
Senegal	6069.0	Q1041	153
Serbia	3612.0	Q403	154
Seychelles	4.0	Q1042	155
Sierra Leone	5397.0	Q1044	156
Singapore	2.0	Q334	157
Slovakia	144.0	Q214	158
Slovenia	73.0	Q215	159
Solomon Islands	502.0	Q685	160
Somalia	11073.0	Q1045	161
South Africa	4365.0	Q258	162
South Korea	12.0	Q884	163
South Sudan	7639.0	Q958	164
Spain	522.0	Q29	165
Sri Lanka	5480.0	Q854	166
Sudan	10010.0	Q1049	167
Suriname	62.0	Q730	168
Swaziland	337.0	Q1050	169
Sweden	42.0	Q34	170
Switzerland	38.0	Q39	171
Syria	10.0	Q858	172
Taiwan	614.0	Q865	173
Tajikistan	2280.0	Q863	174
Tanzania	22226.0	Q924	175
