Country	deaths	ID	id_row
Afghanistan	1035.0	Q889	0
Albania		Q222	1
Algeria	138.0	Q262	2
American Samoa		Q16641	3
Andorra		Q228	4
Angola	723.0	Q916	5
Antigua and Barbuda		Q781	6
Argentina	72.0	Q414	7
Armenia	2.0	Q399	8
Australia	2.0	Q408	9
Austria		Q40	10
Azerbaijan	12.0	Q227	11
Bahamas		Q778	12
Bahrain	1.0	Q398	13
Bangladesh	1314.0	Q902	14
Barbados		Q244	15
Belarus	2.0	Q184	16
Belgium	1.0	Q31	17
Belize	1.0	Q242	18
Benin	367.0	Q962	19
Bermuda		Q23635	20
Bhutan	9.0	Q917	21
Bolivia	118.0	Q750	22
Bosnia and Herzegovina		Q225	23
Botswana	10.0	Q963	24
Brazil	525.0	Q155	25
Brunei		Q921	26
Bulgaria	2.0	Q219	27
Burkina Faso	667.0	Q965	28
Burundi	226.0	Q967	29
Cambodia	131.0	Q424	30
Cameroon	760.0	Q1009	31
Canada	4.0	Q16	32
Cape Verde	1.0	Q1011	33
Central African Republic	239.0	Q929	34
Chad	1089.0	Q657	35
Chile	10.0	Q298	36
China	325.0	Q148	37
Colombia	52.0	Q739	38
Comoros	8.0	Q970	39
Congo	174.0	Q971	40
Costa Rica	4.0	Q800	41
Cote d'Ivoire	948.0	Q1008	42
Croatia		Q224	43
Cuba	13.0	Q241	44
Cyprus		Q229	45
Czech Republic		Q213	46
Democratic Republic of Congo	2842.0	Q974	47
Denmark		Q35	48
Djibouti	31.0	Q977	49
Dominica		Q784	50
Dominican Republic	63.0	Q786	51
Ecuador	40.0	Q736	52
Egypt	321.0	Q79	53
El Salvador	6.0	Q792	54
England	10.0	Q21	55
Equatorial Guinea	19.0	Q983	56
Eritrea	255.0	Q986	57
Estonia		Q191	58
Ethiopia	1984.0	Q115	59
Fiji	3.0	Q712	60
Finland		Q33	61
France	7.0	Q142	62
Gabon	32.0	Q1000	63
Gambia	125.0	Q1005	64
Georgia	4.0	Q230	65
Germany	8.0	Q183	66
Ghana	363.0	Q117	67
Greece	2.0	Q41	68
Greenland		Q223	69
Grenada		Q769	70
Guam		Q16635	71
Guatemala	81.0	Q774	72
Guinea	685.0	Q1006	73
Guinea-Bissau	47.0	Q1007	74
Guyana	6.0	Q734	75
Haiti	360.0	Q790	76
Honduras	47.0	Q783	77
Hungary	1.0	Q28	78
Iceland		Q189	79
India	15245.0	Q668	80
Indonesia	1602.0	Q252	81
Iran	66.0	Q794	82
Iraq	70.0	Q796	83
Ireland		Q27	84
Israel	2.0	Q801	85
Italy	3.0	Q38	86
Jamaica	7.0	Q766	87
Japan	10.0	Q17	88
Jordan	13.0	Q810	89
