Country	deaths	ID	id_row
Afghanistan	11225.0	Q889	0
Albania	785.0	Q222	1
Algeria	7652.0	Q262	2
American Samoa	11.0	Q16641	3
Andorra	10.0	Q228	4
Angola	2704.0	Q916	5
Antigua and Barbuda	8.0	Q781	6
Argentina	7583.0	Q414	7
Armenia	1364.0	Q399	8
Australia	4798.0	Q408	9
Austria	1741.0	Q40	10
Azerbaijan	4916.0	Q227	11
Bahamas	11.0	Q778	12
Bahrain	87.0	Q398	13
Bangladesh	69563.0	Q902	14
Barbados	74.0	Q244	15
Belarus	8180.0	Q184	16
Belgium	3276.0	Q31	17
Belize	47.0	Q242	18
Benin	1634.0	Q962	19
Bermuda	2.0	Q23635	20
Bhutan	180.0	Q917	21
Bolivia	1967.0	Q750	22
Bosnia and Herzegovina	2035.0	Q225	23
Botswana	413.0	Q963	24
Brazil	31505.0	Q155	25
Brunei	75.0	Q921	26
Bulgaria	8293.0	Q219	27
Burkina Faso	3826.0	Q965	28
Burundi	1803.0	Q967	29
Cambodia	5388.0	Q424	30
Cameroon	2653.0	Q1009	31
Canada	6094.0	Q16	32
Cape Verde	96.0	Q1011	33
Central African Republic	1383.0	Q929	34
Chad	2659.0	Q657	35
Chile	3528.0	Q298	36
China	718507.0	Q148	37
Colombia	4283.0	Q739	38
Comoros	179.0	Q970	39
Congo	987.0	Q971	40
Costa Rica	427.0	Q800	41
Cote d'Ivoire	3487.0	Q1008	42
Croatia	2034.0	Q224	43
Cuba	1763.0	Q241	44
Cyprus	271.0	Q229	45
Czech Republic	5296.0	Q213	46
Democratic Republic of Congo	15054.0	Q974	47
Denmark	1024.0	Q35	48
Djibouti	238.0	Q977	49
Dominica	15.0	Q784	50
Dominican Republic	432.0	Q786	51
Ecuador	809.0	Q736	52
Egypt	20284.0	Q79	53
El Salvador	1162.0	Q792	54
England	14804.0	Q21	55
Equatorial Guinea	37.0	Q983	56
Eritrea	1087.0	Q986	57
Estonia	624.0	Q191	58
Ethiopia	12026.0	Q115	59
Fiji	539.0	Q712	60
Finland	1875.0	Q33	61
France	13606.0	Q142	62
Gabon	112.0	Q1000	63
Gambia	541.0	Q1005	64
Georgia	3929.0	Q230	65
Germany	32788.0	Q183	66
Ghana	1452.0	Q117	67
Greece	3013.0	Q41	68
Greenland	12.0	Q223	69
Grenada	31.0	Q769	70
Guam	24.0	Q16635	71
Guatemala	2316.0	Q774	72
Guinea	1876.0	Q1006	73
Guinea-Bissau	414.0	Q1007	74
Guyana	318.0	Q734	75
Haiti	3446.0	Q790	76
Honduras	1522.0	Q783	77
Hungary	6333.0	Q28	78
Iceland	50.0	Q189	79
India	398063.0	Q668	80
Indonesia	99894.0	Q252	81
Iran	8143.0	Q794	82
Iraq	7119.0	Q796	83
Ireland	673.0	Q27	84
Israel	682.0	Q801	85
Italy	12053.0	Q38	86
Jamaica	662.0	Q766	87
Japan	4184.0	Q17	88
Jordan	1274.0	Q810	89
Kazakhstan	10208.0	Q232	90
Kenya	5837.0	Q114	91
Kiribati	71.0	Q710	92
Kuwait	415.0	Q817	93
Kyrgyzstan	2737.0	Q813	94
Laos	2020.0	Q819	95
Latvia	1865.0	Q211	96
Lebanon	1154.0	Q822	97
Lesotho	898.0	Q1013	98
Liberia	765.0	Q1014	99
Libya	1772.0	Q1016	100
Lithuania	2362.0	Q37	101
Luxembourg	35.0	Q32	102
Macedonia	1020.0	Q221	103
Madagascar	6547.0	Q1019	104
Malawi	2417.0	Q1020	105
Malaysia	7618.0	Q833	106
Maldives	37.0	Q826	107
Mali	3159.0	Q912	108
Malta	143.0	Q233	109
Marshall Islands	29.0	Q709	110
Mauritania	763.0	Q1025	111
Mauritius	597.0	Q1027	112
Mexico	17183.0	Q96	113
Micronesia (country)	50.0	Q702	114
Moldova	3293.0	Q217	115
Mongolia	1783.0	Q711	116
Montenegro	166.0	Q236	117
Morocco	8269.0	Q1028	118
Mozambique	6596.0	Q1029	119
