Country	deaths	ID	id_row
Afghanistan	4978.0	Q889	0
Albania	633.0	Q222	1
Algeria	7995.0	Q262	2
American Samoa	9.0	Q16641	3
Andorra	14.0	Q228	4
Angola	1141.0	Q916	5
Antigua and Barbuda	15.0	Q781	6
Argentina	5875.0	Q414	7
Armenia	1110.0	Q399	8
Australia	5019.0	Q408	9
Austria	2535.0	Q40	10
Azerbaijan	2722.0	Q227	11
Bahamas	55.0	Q778	12
Bahrain	111.0	Q398	13
Bangladesh	19021.0	Q902	14
Barbados	76.0	Q244	15
Belarus	6084.0	Q184	16
Belgium	2715.0	Q31	17
Belize	34.0	Q242	18
Benin	426.0	Q962	19
Bermuda	18.0	Q23635	20
Bhutan	67.0	Q917	21
Bolivia	1101.0	Q750	22
Bosnia and Herzegovina	1475.0	Q225	23
Botswana	173.0	Q963	24
Brazil	32410.0	Q155	25
Brunei	42.0	Q921	26
Bulgaria	4598.0	Q219	27
Burkina Faso	1013.0	Q965	28
Burundi	334.0	Q967	29
Cambodia	1018.0	Q424	30
Cameroon	1185.0	Q1009	31
Canada	6690.0	Q16	32
Cape Verde	50.0	Q1011	33
Central African Republic	347.0	Q929	34
Chad	761.0	Q657	35
Chile	1832.0	Q298	36
China	249699.0	Q148	37
Colombia	4932.0	Q739	38
Comoros	38.0	Q970	39
Congo	404.0	Q971	40
Costa Rica	417.0	Q800	41
Cote d'Ivoire	1373.0	Q1008	42
Croatia	1775.0	Q224	43
Cuba	3741.0	Q241	44
Cyprus	227.0	Q229	45
Czech Republic	4197.0	Q213	46
Democratic Republic of Congo	4464.0	Q974	47
Denmark	1218.0	Q35	48
Djibouti	50.0	Q977	49
Dominica	15.0	Q784	50
Dominican Republic	2137.0	Q786	51
Ecuador	1379.0	Q736	52
Egypt	23025.0	Q79	53
El Salvador	697.0	Q792	54
England	12120.0	Q21	55
Equatorial Guinea	42.0	Q983	56
Eritrea	176.0	Q986	57
Estonia	483.0	Q191	58
Ethiopia	4980.0	Q115	59
Fiji	249.0	Q712	60
Finland	1882.0	Q33	61
France	12725.0	Q142	62
Gabon	130.0	Q1000	63
Gambia	148.0	Q1005	64
Georgia	1863.0	Q230	65
Germany	28607.0	Q183	66
Ghana	1706.0	Q117	67
Greece	3957.0	Q41	68
Greenland	7.0	Q223	69
Grenada	36.0	Q769	70
Guam	45.0	Q16635	71
Guatemala	718.0	Q774	72
Guinea	878.0	Q1006	73
Guinea-Bissau	111.0	Q1007	74
Guyana	155.0	Q734	75
Haiti	1704.0	Q790	76
Honduras	857.0	Q783	77
Hungary	4326.0	Q28	78
Iceland	68.0	Q189	79
India	174896.0	Q668	80
Indonesia	34356.0	Q252	81
Iran	18964.0	Q794	82
Iraq	4268.0	Q796	83
Ireland	901.0	Q27	84
Israel	1086.0	Q801	85
Italy	17596.0	Q38	86
Jamaica	544.0	Q766	87
Japan	32060.0	Q17	88
Jordan	684.0	Q810	89
Kazakhstan	5193.0	Q232	90
Kenya	1185.0	Q114	91
Kiribati	20.0	Q710	92
Kuwait	319.0	Q817	93
Kyrgyzstan	1161.0	Q813	94
Laos	560.0	Q819	95
Latvia	1381.0	Q211	96
Lebanon	1534.0	Q822	97
Lesotho	194.0	Q1013	98
Liberia	267.0	Q1014	99
Libya	1400.0	Q1016	100
Lithuania	2232.0	Q37	101
Luxembourg	106.0	Q32	102
Macedonia	671.0	Q221	103
Madagascar	1040.0	Q1019	104
Malawi	775.0	Q1020	105
Malaysia	4708.0	Q833	106
Maldives	29.0	Q826	107
Mali	1001.0	Q912	108
Malta	170.0	Q233	109
Marshall Islands	12.0	Q709	110
Mauritania	258.0	Q1025	111
Mauritius	285.0	Q1027	112
Mexico	14314.0	Q96	113
Micronesia (country)	22.0	Q702	114
Moldova	1711.0	Q217	115
Mongolia	337.0	Q711	116
Montenegro	176.0	Q236	117
Morocco	11836.0	Q1028	118
Mozambique	1064.0	Q1029	119
Myanmar	4068.0	Q836	120
Namibia	210.0	Q1030	121
Nepal	2756.0	Q837	122
Netherlands	2933.0	Q55	123
New Zealand	1119.0	Q664	124
Nicaragua	394.0	Q811	125
Niger	683.0	Q1032	126
Nigeria	6917.0	Q1033	127
North Korea	4612.0	Q423	128
Northern Ireland	434.0	Q26	129
Northern Mariana Islands	7.0	Q16644	130
Norway	1238.0	Q20	131
Oman	405.0	Q842	132
Pakistan	27757.0	Q843	133
Palestine	554.0	Q219060	134
Panama	315.0	Q804	135
Papua New Guinea	1422.0	Q691	136
Paraguay	681.0	Q733	137
Peru	2168.0	Q419	138
Philippines	8831.0	Q928	139
Poland	14377.0	Q36	140
Portugal	3254.0	Q45	141
Puerto Rico	848.0	Q1183	142
Qatar	95.0	Q846	143
Romania	10351.0	Q218	144
Russia	99134.0	Q159	145
Rwanda	294.0	Q1037	146
Saint Lucia	31.0	Q760	147
Saint Vincent and the Grenadines	30.0	Q757	148
Samoa	34.0	Q683	149
Sao Tome and Principe	12.0	Q1039	150
Saudi Arabia	3682.0	Q851	151
Scotland	1543.0	Q22	152
Senegal	933.0	Q1041	153
Serbia	5516.0	Q403	154
Seychelles	11.0	Q1042	155
Sierra Leone	531.0	Q1044	156
Singapore	517.0	Q334	157
Slovakia	2149.0	Q214	158
Slovenia	521.0	Q215	159
Solomon Islands	99.0	Q685	160
Somalia	699.0	Q1045	161
South Africa	5442.0	Q258	162
South Korea	5825.0	Q884	163
South Sudan	331.0	Q958	164
Spain	9705.0	Q29	165
Sri Lanka	2663.0	Q854	166
Sudan	7061.0	Q1049	167
Suriname	109.0	Q730	168
Swaziland	103.0	Q1050	169
Sweden	2910.0	Q34	170
Switzerland	1829.0	Q39	171
Syria	4220.0	Q858	172
Taiwan	2973.0	Q865	173
Tajikistan	1129.0	Q863	174
Tanzania	1843.0	Q924	175
Thailand	5747.0	Q869	176
Timor	106.0	Q574	177
Togo	378.0	Q945	178
Tonga	17.0	Q678	179
Trinidad and Tobago	413.0	Q754	180
Tunisia	2855.0	Q948	181
Turkey	12897.0	Q43	182
Turkmenistan	996.0	Q874	183
Uganda	909.0	Q1036	184
Ukraine	43058.0	Q212	185
United Arab Emirates	710.0	Q878	186
United Kingdom	15036.0	Q145	187
United States	72957.0	Q30	188
United States Virgin Islands	41.0	Q11703	189
Uruguay	787.0	Q77	190
Uzbekistan	7986.0	Q265	191
Vanuatu	51.0	Q686	192
Venezuela	3286.0	Q717	193
Vietnam	8518.0	Q881	194
Wales	939.0	Q25	195
Yemen	4901.0	Q805	196
Zambia	589.0	Q953	197
Zimbabwe	823.0	Q954	198
