Country	deaths	ID	id_row
Afghanistan	6872.0	Q889	0
Albania	920.0	Q222	1
Algeria	13315.0	Q262	2
American Samoa	15.0	Q16641	3
Andorra	24.0	Q228	4
Angola	3724.0	Q916	5
Antigua and Barbuda	30.0	Q781	6
Argentina	15931.0	Q414	7
Armenia	2189.0	Q399	8
Australia	4881.0	Q408	9
Austria	3507.0	Q40	10
Azerbaijan	4760.0	Q227	11
Bahamas	105.0	Q778	12
Bahrain	410.0	Q398	13
Bangladesh	56068.0	Q902	14
Barbados	171.0	Q244	15
Belarus	8185.0	Q184	16
Belgium	5059.0	Q31	17
Belize	80.0	Q242	18
Benin	1307.0	Q962	19
Bermuda	21.0	Q23635	20
Bhutan	280.0	Q917	21
Bolivia	2745.0	Q750	22
Bosnia and Herzegovina	2135.0	Q225	23
Botswana	415.0	Q963	24
Brazil	54860.0	Q155	25
Brunei	52.0	Q921	26
Bulgaria	6223.0	Q219	27
Burkina Faso	2481.0	Q965	28
Burundi	1110.0	Q967	29
Cambodia	2389.0	Q424	30
Cameroon	6690.0	Q1009	31
Canada	7937.0	Q16	32
Cape Verde	120.0	Q1011	33
Central African Republic	1106.0	Q929	34
Chad	2856.0	Q657	35
Chile	5043.0	Q298	36
China	1030000.0	Q148	37
Colombia	9712.0	Q739	38
Comoros	70.0	Q970	39
Congo	1180.0	Q971	40
Costa Rica	874.0	Q800	41
Cote d'Ivoire	2524.0	Q1008	42
Croatia	2712.0	Q224	43
Cuba	5959.0	Q241	44
Cyprus	507.0	Q229	45
Czech Republic	6342.0	Q213	46
Democratic Republic of Congo	12165.0	Q974	47
Denmark	2404.0	Q35	48
Djibouti	245.0	Q977	49
Dominica	29.0	Q784	50
Dominican Republic	2358.0	Q786	51
Ecuador	3427.0	Q736	52
Egypt	60855.0	Q79	53
El Salvador	1744.0	Q792	54
England	21008.0	Q21	55
Equatorial Guinea	171.0	Q983	56
Eritrea	928.0	Q986	57
Estonia	339.0	Q191	58
Ethiopia	8076.0	Q115	59
Fiji	286.0	Q712	60
Finland	1118.0	Q33	61
France	19174.0	Q142	62
Gabon	577.0	Q1000	63
Gambia	269.0	Q1005	64
Georgia	2357.0	Q230	65
Germany	42061.0	Q183	66
Ghana	5359.0	Q117	67
Greece	7018.0	Q41	68
Greenland	20.0	Q223	69
Grenada	74.0	Q769	70
Guam	63.0	Q16635	71
Guatemala	2654.0	Q774	72
Guinea	1340.0	Q1006	73
Guinea-Bissau	182.0	Q1007	74
Guyana	274.0	Q734	75
Haiti	1128.0	Q790	76
Honduras	976.0	Q783	77
Hungary	6311.0	Q28	78
Iceland	59.0	Q189	79
India	818803.0	Q668	80
Indonesia	56781.0	Q252	81
Iran	29395.0	Q794	82
Iraq	9452.0	Q796	83
Ireland	1107.0	Q27	84
Israel	2633.0	Q801	85
Italy	29742.0	Q38	86
Jamaica	971.0	Q766	87
Japan	50407.0	Q17	88
Jordan	1971.0	Q810	89
Kazakhstan	6090.0	Q232	90
Kenya	4999.0	Q114	91
Kiribati	12.0	Q710	92
Kuwait	836.0	Q817	93
Kyrgyzstan	1634.0	Q813	94
Laos	1255.0	Q819	95
Latvia	1285.0	Q211	96
Lebanon	2800.0	Q822	97
Lesotho	592.0	Q1013	98
