Country	deaths	ID	id_row
Afghanistan	806.0	Q889	0
Albania	58.0	Q222	1
Algeria	955.0	Q262	2
American Samoa	2.0	Q16641	3
Andorra	2.0	Q228	4
Angola	13752.0	Q916	5
Antigua and Barbuda	11.0	Q781	6
Argentina	4542.0	Q414	7
Armenia	169.0	Q399	8
Australia	552.0	Q408	9
Austria	280.0	Q40	10
Azerbaijan	284.0	Q227	11
Bahamas	115.0	Q778	12
Bahrain	13.0	Q398	13
Bangladesh	4362.0	Q902	14
Barbados	50.0	Q244	15
Belarus	663.0	Q184	16
Belgium	368.0	Q31	17
Belize	83.0	Q242	18
Benin	1924.0	Q962	19
Bermuda	8.0	Q23635	20
Bhutan	89.0	Q917	21
Bolivia	1754.0	Q750	22
Bosnia and Herzegovina	160.0	Q225	23
Botswana	4101.0	Q963	24
Brazil	23774.0	Q155	25
Brunei	22.0	Q921	26
Bulgaria	504.0	Q219	27
Burkina Faso	3279.0	Q965	28
Burundi	2815.0	Q967	29
Cambodia	1797.0	Q424	30
Cameroon	21643.0	Q1009	31
Canada	1185.0	Q16	32
Cape Verde	142.0	Q1011	33
Central African Republic	5258.0	Q929	34
Chad	4502.0	Q657	35
Chile	1469.0	Q298	36
China	73367.0	Q148	37
Colombia	4652.0	Q739	38
Comoros	67.0	Q970	39
Congo	4984.0	Q971	40
Costa Rica	337.0	Q800	41
Cote d'Ivoire	16693.0	Q1008	42
Croatia	188.0	Q224	43
Cuba	1002.0	Q241	44
Cyprus	24.0	Q229	45
Czech Republic	526.0	Q213	46
Democratic Republic of Congo	18252.0	Q974	47
Denmark	205.0	Q35	48
Djibouti	753.0	Q977	49
Dominica	11.0	Q784	50
Dominican Republic	2558.0	Q786	51
Ecuador	1946.0	Q736	52
Egypt	509.0	Q79	53
El Salvador	1047.0	Q792	54
England	1644.0	Q21	55
Equatorial Guinea	1501.0	Q983	56
Eritrea	1766.0	Q986	57
Estonia	83.0	Q191	58
Ethiopia	16718.0	Q115	59
Fiji	89.0	Q712	60
Finland	118.0	Q33	61
France	2373.0	Q142	62
Gabon	667.0	Q1000	63
Gambia	851.0	Q1005	64
Georgia	260.0	Q230	65
Germany	3051.0	Q183	66
Ghana	13679.0	Q117	67
Greece	356.0	Q41	68
Greenland	4.0	Q223	69
Grenada	15.0	Q769	70
Guam	9.0	Q16635	71
Guatemala	1473.0	Q774	72
Guinea	3389.0	Q1006	73
Guinea-Bissau	1331.0	Q1007	74
Guyana	210.0	Q734	75
Haiti	3794.0	Q790	76
Honduras	224.0	Q783	77
Hungary	507.0	Q28	78
Iceland	6.0	Q189	79
India	88619.0	Q668	80
Indonesia	14616.0	Q252	81
Iran	866.0	Q794	82
Iraq	234.0	Q796	83
Ireland	112.0	Q27	84
Israel	183.0	Q801	85
Italy	2258.0	Q38	86
Jamaica	560.0	Q766	87
Japan	4400.0	Q17	88
Jordan	63.0	Q810	89
Kazakhstan	777.0	Q232	90
Kenya	42709.0	Q114	91
Kiribati	20.0	Q710	92
Kuwait	18.0	Q817	93
Kyrgyzstan	286.0	Q813	94
Laos	696.0	Q819	95
Latvia	160.0	Q211	96
Lebanon	153.0	Q822	97
Lesotho	5820.0	Q1013	98
Liberia	1834.0	Q1014	99
Libya	180.0	Q1016	100
Lithuania	208.0	Q37	101
Luxembourg	14.0	Q32	102
Macedonia	78.0	Q221	103
Madagascar	3773.0	Q1019	104
Malawi	17022.0	Q1020	105
Malaysia	1532.0	Q833	106
Maldives	6.0	Q826	107
Mali	5037.0	Q912	108
Malta	11.0	Q233	109
Marshall Islands	6.0	Q709	110
Mauritania	217.0	Q1025	111
Mauritius	126.0	Q1027	112
Mexico	10577.0	Q96	113
Micronesia (country)	33.0	Q702	114
Moldova	280.0	Q217	115
Mongolia	149.0	Q711	116
Montenegro	26.0	Q236	117
Morocco	1413.0	Q1028	118
Mozambique	45068.0	Q1029	119
Myanmar	7233.0	Q836	120
Namibia	3494.0	Q1030	121
Nepal	2891.0	Q837	122
Netherlands	462.0	Q55	123
New Zealand	92.0	Q664	124
Nicaragua	826.0	Q811	125
Niger	2633.0	Q1032	126
Nigeria	140845.0	Q1033	127
North Korea	1864.0	Q423	128
Northern Ireland	53.0	Q26	129
Northern Mariana Islands	3.0	Q16644	130
Norway	134.0	Q20	131
Oman	141.0	Q842	132
Pakistan	5370.0	Q843	133
Palestine	36.0	Q219060	134
Panama	699.0	Q804	135
Papua New Guinea	1712.0	Q691	136
Paraguay	1031.0	Q733	137
Peru	3133.0	Q419	138
Philippines	6148.0	Q928	139
Poland	2284.0	Q36	140
Portugal	830.0	Q45	141
Puerto Rico	337.0	Q1183	142
Qatar	12.0	Q846	143
Romania	1908.0	Q218	144
Russia	14441.0	Q159	145
Rwanda	3219.0	Q1037	146
Saint Lucia	20.0	Q760	147
Saint Vincent and the Grenadines	29.0	Q757	148
Samoa	15.0	Q683	149
Sao Tome and Principe	13.0	Q1039	150
Saudi Arabia	518.0	Q851	151
Scotland	184.0	Q22	152
Senegal	2351.0	Q1041	153
Serbia	726.0	Q403	154
Seychelles	14.0	Q1042	155
Sierra Leone	2435.0	Q1044	156
Singapore	111.0	Q334	157
Slovakia	259.0	Q214	158
Slovenia	74.0	Q215	159
Solomon Islands	58.0	Q685	160
Somalia	3199.0	Q1045	161
South Africa	130387.0	Q258	162
South Korea	1290.0	Q884	163
South Sudan	3765.0	Q958	164
Spain	1752.0	Q29	165
Sri Lanka	470.0	Q854	166
Sudan	4049.0	Q1049	167
Suriname	124.0	Q730	168
Swaziland	2256.0	Q1050	169
Sweden	303.0	Q34	170
Switzerland	231.0	Q39	171
Syria	109.0	Q858	172
Taiwan	959.0	Q865	173
Tajikistan	137.0	Q863	174
Tanzania	25672.0	Q924	175
Thailand	18839.0	Q869	176
Timor	194.0	Q574	177
Togo	3825.0	Q945	178
Tonga	8.0	Q678	179
Trinidad and Tobago	271.0	Q754	180
Tunisia	282.0	Q948	181
Turkey	989.0	Q43	182
Turkmenistan	217.0	Q874	183
Uganda	19057.0	Q1036	184
Ukraine	4580.0	Q212	185
United Arab Emirates	228.0	Q878	186
United Kingdom	1985.0	Q145	187
United States	14389.0	Q30	188
United States Virgin Islands	15.0	Q11703	189
Uruguay	436.0	Q77	190
Uzbekistan	1036.0	Q265	191
Vanuatu	26.0	Q686	192
Venezuela	3964.0	Q717	193
Vietnam	10092.0	Q881	194
Wales	103.0	Q25	195
Yemen	539.0	Q805	196
Zambia	16362.0	Q953	197
Zimbabwe	15014.0	Q954	198
