Country	deaths	ID	id_row
Afghanistan	4442.0	Q889	0
Albania	6.0	Q222	1
Algeria	62.0	Q262	2
American Samoa		Q16641	3
Andorra		Q228	4
Angola	4216.0	Q916	5
Antigua and Barbuda		Q781	6
Argentina	40.0	Q414	7
Armenia		Q399	8
Australia		Q408	9
Austria		Q40	10
Azerbaijan	75.0	Q227	11
Bahamas		Q778	12
Bahrain		Q398	13
Bangladesh	124.0	Q902	14
Barbados		Q244	15
Belarus		Q184	16
Belgium	1.0	Q31	17
Belize		Q242	18
Benin	181.0	Q962	19
Bermuda		Q23635	20
Bhutan	5.0	Q917	21
Bolivia	76.0	Q750	22
Bosnia and Herzegovina		Q225	23
Botswana	49.0	Q963	24
Brazil	780.0	Q155	25
Brunei		Q921	26
Bulgaria	6.0	Q219	27
Burkina Faso	3478.0	Q965	28
Burundi	1319.0	Q967	29
Cambodia	195.0	Q424	30
Cameroon	2757.0	Q1009	31
Canada	4.0	Q16	32
Cape Verde		Q1011	33
Central African Republic	1783.0	Q929	34
Chad	7770.0	Q657	35
Chile	4.0	Q298	36
China	1690.0	Q148	37
Colombia	72.0	Q739	38
Comoros	31.0	Q970	39
Congo	361.0	Q971	40
Costa Rica	2.0	Q800	41
Cote d'Ivoire	2804.0	Q1008	42
Croatia		Q224	43
Cuba	1.0	Q241	44
Cyprus		Q229	45
Czech Republic	2.0	Q213	46
Democratic Republic of Congo	10240.0	Q974	47
Denmark		Q35	48
Djibouti	22.0	Q977	49
Dominica		Q784	50
Dominican Republic	42.0	Q786	51
Ecuador	69.0	Q736	52
Egypt	1197.0	Q79	53
El Salvador	22.0	Q792	54
England	3.0	Q21	55
Equatorial Guinea	46.0	Q983	56
Eritrea	576.0	Q986	57
Estonia		Q191	58
Ethiopia	15896.0	Q115	59
Fiji	10.0	Q712	60
Finland		Q33	61
France		Q142	62
Gabon	40.0	Q1000	63
Gambia	120.0	Q1005	64
Georgia	2.0	Q230	65
Germany	1.0	Q183	66
