Country	Debt	ID	id_row
Afghanistan	0.0	Q889	0
Albania	340.0	Q222	1
Algeria	0.0	Q262	2
Angola	3500.0	Q916	3
Argentina	26887.0	Q414	4
Armenia	0.0	Q399	5
Azerbaijan	0.0	Q227	6
Bangladesh	0.0	Q902	7
Belarus	-200.0	Q184	8
Belize	0.0	Q242	9
Benin	0.0	Q962	10
Bhutan	0.0	Q917	11
Bolivia	0.0	Q750	12
Bosnia and Herzegovina	176.0	Q225	13
Botswana	0.0	Q963	14
Brazil	1287.0	Q155	15
Bulgaria	-650.0	Q219	16
Burkina Faso	0.0	Q965	17
Burundi	0.0	Q967	18
Cabo Verde	0.0	Q1011	19
Cambodia	300.0	Q424	20
Cameroon	0.0	Q1009	21
Central African Republic	0.0	Q929	22
Chad	0.0	Q657	23
China	68614.0	Q148	24
Colombia	-1934.0	Q739	25
Comoros	0.0	Q970	26
Congo, Dem. Rep.	0.0	Q974	27
Congo, Rep.	-27.0	Q971	28
Costa Rica	-500.0	Q800	29
Cote d'Ivoire	1928.0	Q1008	30
Djibouti	0.0	Q977	31
Dominica	0.0	Q784	32
Dominican Republic	3108.0	Q786	33
Ecuador	2685.0	Q736	34
Egypt, Arab Rep.	5868.0	Q79	35
El Salvador	0.0	Q792	36
Eritrea	0.0	Q986	37
Ethiopia	0.0	Q115	38
Fiji	0.0	Q712	39
Gabon	-14.0	Q1000	40
Gambia, The	0.0	Q1005	41
Georgia	236.0	Q230	42
Ghana	1298.0	Q117	43
Grenada	-9.0	Q769	44
Guatemala	0.0	Q774	45
Guinea	0.0	Q1006	46
Guinea-Bissau	0.0	Q1007	47
Guyana	0.0	Q734	48
Haiti	0.0	Q790	49
Honduras	0.0	Q783	50
India	-8417.0	Q668	51
Indonesia	16496.0	Q252	52
Iran, Islamic Rep.	0.0	Q794	53
Jamaica	-99.0	Q766	54
Jordan	686.0	Q810	55
Kazakhstan	2797.0	Q232	56
Kenya	2000.0	Q114	57
Kosovo	0.0	Q1246	58
Kyrgyz Republic	0.0	Q813	59
Lao PDR	521.0	Q819	60
Lebanon	3504.0	Q822	61
Lesotho	0.0	Q1013	62
Liberia	0.0	Q1014	63
North Macedonia	482.0	Q221	64
Madagascar	0.0	Q1019	65
Malawi	0.0	Q1020	66
Maldives	100.0	Q826	67
Mali	0.0	Q912	68
Mauritania	0.0	Q1025	69
Mauritius	0.0	Q1027	70
Mexico	7974.0	Q96	71
Moldova	0.0	Q217	72
Mongolia	0.0	Q711	73
Montenegro	163.0	Q236	74
Morocco	0.0	Q1028	75
Mozambique	0.0	Q1029	76
Myanmar	0.0	Q836	77
Nepal	0.0	Q837	78
Nicaragua	0.0	Q811	79
Niger	0.0	Q1032	80
Nigeria	3943.0	Q1033	81
Pakistan	0.0	Q843	82
Papua New Guinea	500.0	Q691	83
Paraguay	530.0	Q733	84
Peru	-1077.0	Q419	85
Philippines	3344.0	Q928	86
Romania	4158.0	Q218	87
Russian Federation	-4659.0	Q159	88
Rwanda	0.0	Q1037	89
Samoa	0.0	Q683	90
Sao Tome and Principe	0.0	Q1039	91
Senegal	2181.0	Q1041	92
Serbia	-1000.0	Q403	93
Sierra Leone	0.0	Q1044	94
Solomon Islands	0.0	Q685	95
Somalia	0.0	Q1045	96
South Africa	-2125.0	Q258	97
Sri Lanka	1150.0	Q854	98
St. Lucia	0.0	Q760	99
St. Vincent and the Grenadines	-1.0	Q757	100
Sudan	0.0	Q1049	101
Eswatini	0.0	Q1050	102
Syrian Arab Republic	0.0	Q858	103
Tajikistan	0.0	Q863	104
Tanzania	0.0	Q924	105
Thailand	9356.0	Q869	106
Timor-Leste	0.0	Q574	107
Togo	0.0	Q945	108
Tonga	0.0	Q678	109
Tunisia	591.0	Q948	110
Turkey	1798.0	Q43	111
Turkmenistan	0.0	Q874	112
Uganda	0.0	Q1036	113
Ukraine	-275.0	Q212	114
Uzbekistan	0.0	Q265	115
Vanuatu	0.0	Q686	116
Venezuela, RB	-2478.0	Q717	117
Vietnam	-205.0	Q881	118
Yemen, Rep.	0.0	Q805	119
Zambia	0.0	Q953	120
Zimbabwe	0.0	Q954	121
