Country	Factor2018	Factor2019	ID	id_row
Afghanistan	72.3	77.6	Q889	0
Albania	108.0	109.9	Q222	1
Algeria	116.6	119.4	Q262	2
American Samoa	1.0	1.0	Q16641	3
Andorra	0.8	0.9	Q228	4
Angola	252.9	364.8	Q916	5
Antigua and Barbuda	2.7	2.7	Q781	6
Argentina	28.1	48.1	Q414	7
Armenia	483.0	480.4	Q399	8
Aruba	1.8	1.8	Q21203	9
Australia	1.3	1.4	Q408	10
Austria	0.8	0.9	Q40	11
Azerbaijan	1.7	1.7	Q227	12
Bahamas, The	1.0	1.0	Q778	13
Bahrain	0.4	0.4	Q398	14
Bangladesh	82.1	84.0	Q902	15
Barbados	2.0	2.0	Q244	16
Belarus	2.0	2.1	Q184	17
Belgium	0.8	0.9	Q31	18
Belize	2.0	2.0	Q242	19
Benin	555.4	586.0	Q962	20
Bhutan	68.4	70.4	Q917	21
Bolivia	6.9	6.9	Q750	22
Bosnia and Herzegovina	1.7	1.7	Q225	23
Botswana	10.2	10.8	Q963	24
Brazil	3.7	3.9	Q155	25
Brunei Darussalam	1.3	1.4	Q921	26
Bulgaria	1.7	1.7	Q219	27
Burkina Faso	555.4	585.9	Q965	28
Burundi	1.9	1.6	Q967	29
Cabo Verde	93.4	98.5	Q1011	30
Cambodia	4051.2	4061.1	Q424	31
Cameroon	555.4	585.9	Q1009	32
Canada	1.3	1.3	Q16	33
Cayman Islands	0.8	0.8	Q5785	34
Central African Republic	555.4	585.9	Q929	35
Chad	555.4	585.9	Q657	36
Chile	641.3	702.9	Q298	37
China	6.6	6.9	Q148	38
Hong Kong SAR, China	7.8	7.8	Q8646	39
Macao SAR, China	8.1	8.1	Q14773	40
Colombia	1.7	1.8	Q739	41
Comoros	416.6	439.5	Q970	42
Congo, Dem. Rep.	1.5	1.8	Q974	43
Congo, Rep.	555.4	585.9	Q971	44
Costa Rica	577.0	587.3	Q800	45
Cote d'Ivoire	555.4	585.9	Q1008	46
Croatia	6.3	6.6	Q224	47
Cuba	1.0	1.0	Q241	48
Curacao	1.8	1.8	Q25279	49
Cyprus	0.8	0.9	Q229	50
Czech Republic	21.7	22.9	Q213	51
Denmark	6.3	6.7	Q35	52
Djibouti	177.7	177.7	Q977	53
Dominica	2.7	2.7	Q784	54
Dominican Republic	49.5	51.3	Q786	55
Ecuador	1.0	1.0	Q736	56
