Country	Young	Old	ID	id_row
Afghanistan	77.0	5.0	Q889	0
Albania	25.0	21.0	Q222	1
Algeria	49.0	10.0	Q262	2
Angola	91.0	4.0	Q916	3
Antigua and Barbuda	32.0	13.0	Q781	4
Argentina	38.0	18.0	Q414	5
Armenia	31.0	17.0	Q399	6
Aruba	26.0	21.0	Q21203	7
Australia	30.0	25.0	Q408	8
Austria	22.0	29.0	Q40	9
Azerbaijan	33.0	9.0	Q227	10
Bahamas, The	31.0	11.0	Q778	11
Bahrain	24.0	3.0	Q398	12
Bangladesh	40.0	8.0	Q902	13
Barbados	26.0	24.0	Q244	14
Belarus	25.0	22.0	Q184	15
Belgium	27.0	30.0	Q31	16
Belize	45.0	7.0	Q242	17
Benin	77.0	6.0	Q962	18
Bhutan	37.0	9.0	Q917	19
Bolivia	49.0	12.0	Q750	20
Bosnia and Herzegovina	22.0	25.0	Q225	21
Botswana	55.0	7.0	Q963	22
Brazil	30.0	13.0	Q155	23
Brunei Darussalam	31.0	7.0	Q921	24
Bulgaria	23.0	33.0	Q219	25
Burkina Faso	84.0	5.0	Q965	26
Burundi	87.0	4.0	Q967	27
Cabo Verde	42.0	7.0	Q1011	28
Cambodia	48.0	7.0	Q424	29
Cameroon	77.0	5.0	Q1009	30
Canada	24.0	27.0	Q16	31
Central African Republic	82.0	5.0	Q929	32
Chad	92.0	5.0	Q657	33
Channel Islands	22.0	26.0	Q42314	34
Chile	28.0	17.0	Q298	35
China	25.0	16.0	Q148	36
Hong Kong SAR, China	18.0	25.0	Q8646	37
Macao SAR, China	19.0	15.0	Q14773	38
Colombia	33.0	13.0	Q739	39
Comoros	68.0	5.0	Q970	40
Congo, Dem. Rep.	90.0	6.0	Q974	41
Congo, Rep.	75.0	5.0	Q971	42
Costa Rica	31.0	14.0	Q800	43
Cote d'Ivoire	75.0	5.0	Q1008	44
Croatia	23.0	32.0	Q224	45
Cuba	23.0	23.0	Q241	46
Curacao	29.0	27.0	Q25279	47
Cyprus	24.0	20.0	Q229	48
Czech Republic	24.0	31.0	Q213	49
Denmark	26.0	31.0	Q35	50
Djibouti	44.0	7.0	Q977	51
Dominican Republic	43.0	11.0	Q786	52
Ecuador	43.0	11.0	Q736	53
Egypt, Arab Rep.	56.0	9.0	Q79	54
El Salvador	42.0	13.0	Q792	55
Equatorial Guinea	61.0	4.0	Q983	56
Estonia	26.0	31.0	Q191	57
Eswatini	65.0	7.0	Q1050	58
Ethiopia	72.0	6.0	Q115	59
Fiji	45.0	9.0	Q712	60
Finland	26.0	36.0	Q33	61
France	29.0	33.0	Q142	62
French Polynesia	33.0	13.0	Q30971	63
Gabon	63.0	6.0	Q1000	64
Gambia, The	83.0	5.0	Q1005	65
Georgia	31.0	23.0	Q230	66
Germany	21.0	33.0	Q183	67
Ghana	63.0	5.0	Q117	68
Greece	22.0	34.0	Q41	69
Grenada	36.0	15.0	Q769	70
Guam	37.0	16.0	Q16635	71
Guatemala	55.0	8.0	Q774	72
Guinea	81.0	5.0	Q1006	73
Guinea-Bissau	77.0	5.0	Q1007	74
Guyana	43.0	10.0	Q734	75
Haiti	53.0	8.0	Q790	76
Honduras	49.0	8.0	Q783	77
Hungary	22.0	30.0	Q28	78
Iceland	30.0	23.0	Q189	79
India	40.0	10.0	Q668	80
Indonesia	39.0	9.0	Q252	81
Iran, Islamic Rep.	36.0	9.0	Q794	82
Iraq	65.0	6.0	Q796	83
Ireland	33.0	22.0	Q27	84
Israel	47.0	20.0	Q801	85
Italy	21.0	36.0	Q38	86
Jamaica	35.0	13.0	Q766	87
Japan	21.0	47.0	Q17	88
Jordan	54.0	6.0	Q810	89
Kazakhstan	46.0	12.0	Q232	90
Kenya	67.0	4.0	Q114	91
Kiribati	60.0	7.0	Q710	92
Korea, Dem. Peopleâ€™s Rep.	28.0	13.0	Q423	93
Korea, Rep.	18.0	21.0	Q884	94
Kuwait	29.0	4.0	Q817	95
Kyrgyz Republic	52.0	7.0	Q813	96
Lao PDR	51.0	7.0	Q819	97
Latvia	26.0	32.0	Q211	98
Lebanon	38.0	11.0	Q822	99
Lesotho	52.0	8.0	Q1013	100
Liberia	73.0	6.0	Q1014	101
Libya	42.0	7.0	Q1016	102
Lithuania	23.0	31.0	Q37	103
Luxembourg	22.0	20.0	Q32	104
Madagascar	71.0	5.0	Q1019	105
Malawi	81.0	5.0	Q1020	106
Malaysia	34.0	10.0	Q833	107
Maldives	26.0	5.0	Q826	108
Mali	94.0	5.0	Q912	109
Malta	22.0	32.0	Q233	110
Mauritania	70.0	6.0	Q1025	111
Mauritius	24.0	17.0	Q1027	112
Mexico	39.0	11.0	Q96	113
Micronesia, Fed. Sts.	49.0	7.0	Q702	114
Moldova	22.0	17.0	Q217	115
Mongolia	47.0	6.0	Q711	116
Montenegro	27.0	23.0	Q236	117
Morocco	41.0	11.0	Q1028	118
