Country	ReferenceYear	CruderateMarriage	CruderateDivorce	ActualRatio	PercentRatio	ID	id_row
Albania	2016	7.8	1.9	4.11	24.36	Q222	0
Algeria	2013	10.1	1.6	6.31	15.84	Q262	1
Armenia	2011	6.0	1.0	6.0	16.67	Q399	2
Australia	2017	4.6	2.0	2.3	43.48	Q408	3
Austria	2016	5.1	1.8	2.83	35.29	Q40	4
Azerbaijan	2011	9.7	1.5	6.47	15.46	Q227	5
Bahamas	2007	6.1	1.0	6.1	16.39	Q778	6
Belarus	2011	9.2	4.1	2.24	44.57	Q184	7
Belgium	2016	3.9	2.1	1.86	53.85	Q31	8
Bermuda	2009	10.6	2.7	3.93	25.47	Q23635	9
Bosnia and Herzegovina	2012	4.8	0.6	8.0	12.5	Q225	10
Brazil	2009	6.6	1.4	4.71	21.21	Q155	11
Bulgaria	2015	3.8	1.5	2.53	39.47	Q219	12
Canada	2008	4.4	2.1	2.1	47.73	Q16	13
Chile	2009	3.3	0.7	4.71	21.21	Q298	14
China	2018	7.2	3.2	2.25	44.44	Q148	15
Colombia	2007	2.3	0.7	3.29	30.43	Q739	16
Costa Rica	2010	5.3	2.5	2.12	47.17	Q800	17
Croatia	2016	4.9	1.7	2.88	34.69	Q224	18
Cuba	2010	5.2	2.9	1.79	55.77	Q241	19
Cyprus	2016	7.5	2.3	3.26	30.67	Q229	20
Czech Republic	2016	4.8	2.4	2.0	50.0	Q213	21
Denmark	2016	5.4	3.0	1.8	55.56	Q35	22
Dominican Republic	2010	4.4	1.8	2.44	40.91	Q786	23
Ecuador	2006	5.6	1.1	5.09	19.64	Q736	24
Egypt	2010	11.0	1.9	5.79	17.27	Q79	25
El Salvador	2006	3.5	0.8	4.38	22.86	Q792	26
Estonia	2016	5.2	2.6	2.0	50.0	Q191	27
EU	2017	4.4	2.0	2.2	45.45	Q30	28
Finland	2016	4.5	2.5	1.8	55.56	Q33	29
France	2016	3.5	1.9	1.84	54.29	Q142	30
Georgia	2011	6.9	1.3	5.31	18.84	Q230	31
Germany	2016	5.0	2.0	2.5	40.0	Q183	32
Gibraltar	2010	6.7	3.2	2.09	47.76	Q1410	33
Grenada	2001	5.0	1.1	4.55	22.0	Q769	34
Greece	2016	4.6	1.0	4.6	21.74	Q41	35
Guatemala	2008	3.8	1.2	3.17	31.58	Q774	36
