Country	Timerequired	ID	id_row
Afghanistan	1642.0	Q889	0
Albania	525.0	Q222	1
Algeria	630.0	Q262	2
Angola	1296.0	Q916	3
Antigua and Barbuda	476.0	Q781	4
Argentina	995.0	Q414	5
Armenia	570.0	Q399	6
Australia	402.0	Q408	7
Austria	397.0	Q40	8
Azerbaijan	277.0	Q227	9
Bahamas, The	545.0	Q778	10
Bahrain	635.0	Q398	11
Bangladesh	1442.0	Q902	12
Barbados	1340.0	Q244	13
Belarus	275.0	Q184	14
Belgium	505.0	Q31	15
Belize	892.0	Q242	16
Benin	595.0	Q962	17
Bhutan	225.0	Q917	18
Bolivia	591.0	Q750	19
Bosnia and Herzegovina	595.0	Q225	20
Botswana	660.0	Q963	21
Brazil	801.0	Q155	22
Brunei Darussalam	540.0	Q921	23
Bulgaria	564.0	Q219	24
Burkina Faso	446.0	Q965	25
Burundi	832.0	Q967	26
Cabo Verde	425.0	Q1011	27
Cambodia	483.0	Q424	28
Cameroon	800.0	Q1009	29
Canada	910.0	Q16	30
Central African Republic	660.0	Q929	31
Chad	743.0	Q657	32
Chile	519.0	Q298	33
China	496.0	Q148	34
Hong Kong SAR, China	385.0	Q8646	35
Colombia	1288.0	Q739	36
Comoros	506.0	Q970	37
Congo, Dem. Rep.	610.0	Q974	38
Congo, Rep.	560.0	Q971	39
Costa Rica	852.0	Q800	40
Cote d'Ivoire	525.0	Q1008	41
Croatia	650.0	Q224	42
Cyprus	1100.0	Q229	43
Czech Republic	678.0	Q213	44
Denmark	485.0	Q35	45
Djibouti	695.0	Q977	46
Dominica	741.0	Q784	47
Dominican Republic	590.0	Q786	48
Ecuador	523.0	Q736	49
Egypt, Arab Rep.	1010.0	Q79	50
El Salvador	816.0	Q792	51
Equatorial Guinea	475.0	Q983	52
Eritrea	490.0	Q986	53
Estonia	455.0	Q191	54
Ethiopia	530.0	Q115	55
Fiji	397.0	Q712	56
Finland	485.0	Q33	57
France	447.0	Q142	58
Gabon	1160.0	Q1000	59
Gambia, The	758.0	Q1005	60
Georgia	285.0	Q230	61
Germany	499.0	Q183	62
Ghana	710.0	Q117	63
Greece	1711.0	Q41	64
Grenada	688.0	Q769	65
Guatemala	1402.0	Q774	66
Guinea	311.0	Q1006	67
Guinea-Bissau	1785.0	Q1007	68
Guyana	581.0	Q734	69
Haiti	530.0	Q790	70
Honduras	920.0	Q783	71
Hungary	605.0	Q28	72
Iceland	417.0	Q189	73
India	1445.0	Q668	74
Indonesia	403.0	Q252	75
Iran, Islamic Rep.	505.0	Q794	76
Iraq	520.0	Q796	77
Ireland	650.0	Q27	78
Israel	975.0	Q801	79
Italy	1120.0	Q38	80
Jamaica	550.0	Q766	81
Japan	360.0	Q17	82
Jordan	642.0	Q810	83
Kazakhstan	370.0	Q232	84
Kenya	465.0	Q114	85
Kiribati	660.0	Q710	86
Korea, Rep.	290.0	Q884	87
Kosovo	330.0	Q1246	88
Kuwait	566.0	Q817	89
Kyrgyz Republic	410.0	Q813	90
Lao PDR	828.0	Q819	91
Latvia	469.0	Q211	92
Lebanon	721.0	Q822	93
Lesotho	615.0	Q1013	94
Liberia	1300.0	Q1014	95
Libya	690.0	Q1016	96
Liechtenstein	640.0	Q347	97
Lithuania	370.0	Q37	98
Luxembourg	321.0	Q32	99
North Macedonia	634.0	Q221	100
Madagascar	811.0	Q1019	101
Malawi	522.0	Q1020	102
Malaysia	425.0	Q833	103
Maldives	760.0	Q826	104
Mali	620.0	Q912	105
Malta	505.0	Q233	106
Marshall Islands	616.0	Q709	107
Mauritania	370.0	Q1025	108
Mauritius	490.0	Q1027	109
Mexico	341.0	Q96	110
Micronesia, Fed. Sts.	885.0	Q702	111
Moldova	585.0	Q217	112
Mongolia	374.0	Q711	113
Montenegro	545.0	Q236	114
Morocco	510.0	Q1028	115
Mozambique	950.0	Q1029	116
Myanmar	1160.0	Q836	117
Namibia	460.0	Q1030	118
Nepal	910.0	Q837	119
Netherlands	514.0	Q55	120
New Zealand	216.0	Q664	121
Nicaragua	490.0	Q811	122
Niger	380.0	Q1032	123
Nigeria	399.0	Q1033	124
Norway	400.0	Q20	125
Oman	598.0	Q842	126
Pakistan	1071.0	Q843	127
Palau	810.0	Q695	128
Panama	790.0	Q804	129
Papua New Guinea	591.0	Q691	130
Paraguay	606.0	Q733	131
Peru	478.0	Q419	132
Philippines	962.0	Q928	133
Poland	685.0	Q36	134
Portugal	755.0	Q45	135
Puerto Rico	630.0	Q1183	136
Qatar	570.0	Q846	137
Romania	512.0	Q218	138
Russian Federation	337.0	Q159	139
Rwanda	230.0	Q1037	140
Samoa	455.0	Q683	141
San Marino	575.0	Q238	142
Sao Tome and Principe	1185.0	Q1039	143
Saudi Arabia	575.0	Q851	144
Senegal	650.0	Q1041	145
Serbia	622.0	Q403	146
Seychelles	915.0	Q1042	147
Sierra Leone	515.0	Q1044	148
Singapore	164.0	Q334	149
Slovak Republic	775.0	Q214	150
Slovenia	1160.0	Q215	151
Solomon Islands	497.0	Q685	152
Somalia	575.0	Q1045	153
South Africa	600.0	Q258	154
South Sudan	228.0	Q958	155
Spain	510.0	Q29	156
Sri Lanka	1318.0	Q854	157
St. Kitts and Nevis	578.0	Q763	158
St. Lucia	645.0	Q760	159
St. Vincent and the Grenadines	595.0	Q757	160
Sudan	810.0	Q1049	161
Suriname	1715.0	Q730	162
Eswatini	956.0	Q1050	163
Sweden	483.0	Q34	164
Switzerland	598.0	Q39	165
Syrian Arab Republic	872.0	Q858	166
Tajikistan	430.0	Q863	167
Tanzania	515.0	Q924	168
Thailand	420.0	Q869	169
Timor-Leste	1285.0	Q574	170
Togo	488.0	Q945	171
Tonga	350.0	Q678	172
Trinidad and Tobago	1340.0	Q754	173
Tunisia	565.0	Q948	174
Turkey	623.0	Q43	175
Uganda	490.0	Q1036	176
Ukraine	378.0	Q212	177
United Arab Emirates	445.0	Q878	178
United Kingdom	437.0	Q145	179
United States	444.0	Q30	180
Uruguay	725.0	Q77	181
Uzbekistan	225.0	Q265	182
Vanuatu	430.0	Q686	183
Venezuela, RB	720.0	Q717	184
Vietnam	400.0	Q881	185
West Bank and Gaza	540.0	Q407199	186
Yemen, Rep.	645.0	Q805	187
Zambia	611.0	Q953	188
Zimbabwe	410.0	Q954	189
