Country	Total	ID	id_row
Algeria	0.5	Q262	0
Angola	0.0	Q916	1
Argentina	0.6	Q414	2
Armenia	0.3	Q399	3
Australia	1.9	Q408	4
Austria	3.0	Q40	5
Azerbaijan	0.2	Q227	6
Bahrain	0.1	Q398	7
Belarus	0.5	Q184	8
Belgium	2.5	Q31	9
Bermuda	0.2	Q23635	10
Bosnia and Herzegovina	0.2	Q225	11
Botswana	0.5	Q963	12
Brazil	1.3	Q155	13
Brunei Darussalam	0.3	Q921	14
Bulgaria	1.0	Q219	15
Burkina Faso	0.7	Q965	16
Burundi	0.2	Q967	17
Cambodia	0.1	Q424	18
Canada	1.7	Q16	19
Chad	0.3	Q657	20
Chile	0.4	Q298	21
China	2.1	Q148	22
Hong Kong SAR, China	0.8	Q8646	23
Macao SAR, China	0.1	Q14773	24
Colombia	0.3	Q739	25
Congo, Dem. Rep.	0.4	Q974	26
Costa Rica	0.4	Q800	27
Cote d'Ivoire	0.1	Q1008	28
Croatia	0.8	Q224	29
Cuba	0.4	Q241	30
Cyprus	0.5	Q229	31
Czech Republic	1.9	Q213	32
Denmark	3.1	Q35	33
Ecuador	0.4	Q736	34
Egypt, Arab Rep.	0.7	Q79	35
El Salvador	0.1	Q792	36
Estonia	1.5	Q191	37
Eswatini	0.3	Q1050	38
Ethiopia	0.3	Q115	39
Finland	2.9	Q33	40
France	2.3	Q142	41
Gambia, The	0.1	Q1005	42
Georgia	0.3	Q230	43
Germany	2.9	Q183	44
Greece	1.0	Q41	45
Guatemala	0.0	Q774	46
Honduras	0.0	Q783	47
Hungary	1.4	Q28	48
Iceland	2.2	Q189	49
India	0.7	Q668	50
Indonesia	0.2	Q252	51
Iran, Islamic Rep.	0.4	Q794	52
Iraq	0.0	Q796	53
Ireland	1.2	Q27	54
Israel	4.3	Q801	55
Italy	1.3	Q38	56
Japan	3.3	Q17	57
Jordan	0.7	Q810	58
Kazakhstan	0.2	Q232	59
Korea, Rep.	4.2	Q884	60
Kuwait	0.1	Q817	61
Kyrgyz Republic	0.1	Q813	62
Latvia	0.6	Q211	63
Lesotho	0.0	Q1013	64
Lithuania	1.0	Q37	65
Luxembourg	1.3	Q32	66
Madagascar	0.4	Q1019	67
Malawi	0.0	Q1020	68
Maldives	1.3	Q826	69
Malta	0.3	Q233	70
Marshall Islands	0.7	Q709	71
Mauritius	0.0	Q1027	72
Mexico	0.4	Q96	73
Micronesia, Fed. Sts.	0.4	Q702	74
Monaco	0.3	Q235	75
Montenegro	0.2	Q236	76
Morocco	0.4	Q1028	77
Myanmar	0.3	Q836	78
Namibia	0.0	Q1030	79
Nepal	0.3	Q837	80
New Caledonia	2.0	Q33788	81
Nicaragua	1.2	Q811	82
Niger	0.1	Q1032	83
Norway	1.9	Q20	84
Oman	0.2	Q842	85
Pakistan	0.2	Q843	86
Panama	0.1	Q804	87
Papua New Guinea	0.0	Q691	88
Paraguay	0.1	Q733	89
Peru	0.1	Q419	90
Philippines	0.2	Q928	91
Poland	1.0	Q36	92
Portugal	1.2	Q45	93
Puerto Rico	0.4	Q1183	94
Qatar	0.5	Q846	95
Romania	0.5	Q218	96
Russian Federation	1.1	Q159	97
Rwanda	0.7	Q1037	98
Saudi Arabia	0.8	Q851	99
Senegal	0.6	Q1041	100
Serbia	0.8	Q403	101
Seychelles	0.2	Q1042	102
Singapore	2.2	Q334	103
Slovak Republic	1.2	Q214	104
Slovenia	2.2	Q215	105
South Africa	0.8	Q258	106
Spain	1.2	Q29	107
Sri Lanka	0.1	Q854	108
Sweden	3.3	Q34	109
Switzerland	3.4	Q39	110
Syrian Arab Republic	0.0	Q858	111
Tajikistan	0.1	Q863	112
Tanzania	0.5	Q924	113
Thailand	0.6	Q869	114
Togo	0.3	Q945	115
Trinidad and Tobago	0.1	Q754	116
Tunisia	0.6	Q948	117
Turkey	0.9	Q43	118
Uganda	0.2	Q1036	119
Ukraine	0.6	Q212	120
United Arab Emirates	0.9	Q878	121
United Kingdom	1.7	Q145	122
United States	2.7	Q30	123
Uruguay	0.4	Q77	124
Uzbekistan	0.2	Q265	125
Venezuela, RB	0.3	Q717	126
Vietnam	0.4	Q881	127
West Bank and Gaza	0.5	Q407199	128
