Country	Expenditures	ID	id_row
Algeria	0.54	Q262	0
Angola	0.03	Q916	1
Argentina	0.54	Q414	2
Armenia	0.19	Q399	3
Australia	1.87	Q408	4
Austria	3.17	Q40	5
Azerbaijan	0.18	Q227	6
Bahrain	0.1	Q398	7
Belarus	0.61	Q184	8
Belgium	2.82	Q31	9
Bermuda	0.26	Q23635	10
Bosnia and Herzegovina	0.2	Q225	11
Botswana	0.54	Q963	12
Brazil	1.26	Q155	13
Brunei Darussalam	0.28	Q921	14
Bulgaria	0.77	Q219	15
Burkina Faso	0.7	Q965	16
Burundi	0.21	Q967	17
Cambodia	0.12	Q424	18
Canada	1.57	Q16	19
Cabo Verde	0.07	Q1011	20
Chad	0.3	Q657	21
Chile	0.36	Q298	22
China	2.19	Q148	23
Hong Kong SAR, China	0.86	Q8646	24
Macao SAR, China	0.2	Q14773	25
Colombia	0.24	Q739	26
Congo, Dem. Rep.	0.41	Q974	27
Costa Rica	0.42	Q800	28
Cote d'Ivoire	0.1	Q1008	29
Croatia	0.97	Q224	30
Cuba	0.43	Q241	31
Cyprus	0.56	Q229	32
Czech Republic	1.93	Q213	33
Denmark	3.06	Q35	34
Ecuador	0.44	Q736	35
Egypt, Arab Rep.	0.72	Q79	36
El Salvador	0.18	Q792	37
Estonia	1.43	Q191	38
Ethiopia	0.27	Q115	39
Finland	2.77	Q33	40
France	2.2	Q142	41
Gambia, The	0.07	Q1005	42
Georgia	0.3	Q230	43
Germany	3.09	Q183	44
Ghana	0.38	Q117	45
Greece	1.18	Q41	46
Guatemala	0.03	Q774	47
Honduras	0.04	Q783	48
Hungary	1.55	Q28	49
Iceland	2.03	Q189	50
India	0.65	Q668	51
Indonesia	0.23	Q252	52
Iran, Islamic Rep.	0.83	Q794	53
Iraq	0.04	Q796	54
Ireland	1.15	Q27	55
Israel	4.95	Q801	56
Italy	1.4	Q38	57
Japan	3.26	Q17	58
Jordan	0.71	Q810	59
Kazakhstan	0.12	Q232	60
Kenya	0.79	Q114	61
Korea, Rep.	4.81	Q884	62
Kuwait	0.06	Q817	63
Kyrgyz Republic	0.11	Q813	64
Latvia	0.63	Q211	65
Lesotho	0.05	Q1013	66
Lithuania	0.94	Q37	67
Luxembourg	1.24	Q32	68
North Macedonia	0.36	Q221	69
Madagascar	0.01	Q1019	70
Malaysia	1.44	Q833	71
Mali	0.29	Q912	72
Malta	0.57	Q233	73
Mauritania	0.01	Q1025	74
Mauritius	0.35	Q1027	75
Mexico	0.31	Q96	76
Moldova	0.25	Q217	77
Mongolia	0.1	Q711	78
Montenegro	0.37	Q236	79
Morocco	0.71	Q1028	80
Mozambique	0.34	Q1029	81
Myanmar	0.03	Q836	82
Namibia	0.34	Q1030	83
Nepal	0.3	Q837	84
Netherlands	2.16	Q55	85
New Zealand	1.37	Q664	86
Nicaragua	0.11	Q811	87
Norway	2.07	Q20	88
Oman	0.22	Q842	89
Pakistan	0.24	Q843	90
Panama	0.15	Q804	91
Papua New Guinea	0.03	Q691	92
Paraguay	0.15	Q733	93
Peru	0.13	Q419	94
Philippines	0.16	Q928	95
Poland	1.21	Q36	96
Portugal	1.37	Q45	97
Puerto Rico	0.43	Q1183	98
Qatar	0.51	Q846	99
Romania	0.51	Q218	100
Russian Federation	0.99	Q159	101
Rwanda	0.67	Q1037	102
Saudi Arabia	0.82	Q851	103
Senegal	0.58	Q1041	104
Serbia	0.92	Q403	105
Seychelles	0.22	Q1042	106
Singapore	1.94	Q334	107
Slovak Republic	0.83	Q214	108
Slovenia	1.94	Q215	109
South Africa	0.83	Q258	110
Spain	1.24	Q29	111
Sri Lanka	0.11	Q854	112
Eswatini	0.27	Q1050	113
Sweden	3.34	Q34	114
Switzerland	3.37	Q39	115
Syrian Arab Republic	0.02	Q858	116
Tajikistan	0.1	Q863	117
Tanzania	0.51	Q924	118
Thailand	1.0	Q869	119
Togo	0.27	Q945	120
Trinidad and Tobago	0.09	Q754	121
Tunisia	0.6	Q948	122
Turkey	0.96	Q43	123
Uganda	0.17	Q1036	124
Ukraine	0.47	Q212	125
United Arab Emirates	1.3	Q878	126
United Kingdom	1.72	Q145	127
United States	2.84	Q30	128
Uruguay	0.48	Q77	129
Uzbekistan	0.13	Q265	130
Venezuela, RB	0.34	Q717	131
Vietnam	0.53	Q881	132
West Bank and Gaza	0.49	Q407199	133
