Country	Exports2010	Exports2019	ID	id_row
Afghanistan	16.0	8.0	Q889	0
Albania	28.0	32.0	Q222	1
Algeria	38.0	23.0	Q262	2
American Samoa	63.0	69.0	Q16641	3
Angola	62.0	41.0	Q916	4
Argentina	19.0	17.0	Q414	5
Armenia	20.0	39.0	Q399	6
Aruba	61.0	73.0	Q21203	7
Australia	20.0	24.0	Q408	8
Austria	51.0	56.0	Q40	9
Azerbaijan	54.0	49.0	Q227	10
Bahamas, The	35.0	36.0	Q778	11
Bahrain	70.0	80.0	Q398	12
Bangladesh	16.0	15.0	Q902	13
Barbados	46.0	42.0	Q244	14
Belarus	51.0	66.0	Q184	15
Belgium	76.0	82.0	Q31	16
Belize	59.0	58.0	Q242	17
Benin	23.0	30.0	Q962	18
Bhutan	43.0	31.0	Q917	19
Bolivia	41.0	25.0	Q750	20
Bosnia and Herzegovina	30.0	40.0	Q225	21
Botswana	44.0	34.0	Q963	22
Brazil	11.0	14.0	Q155	23
Brunei Darussalam	67.0	58.0	Q921	24
Bulgaria	50.0	64.0	Q219	25
Burkina Faso	21.0	28.0	Q965	26
Burundi	10.0	9.0	Q967	27
Cabo Verde	33.0	51.0	Q1011	28
Cambodia	54.0	61.0	Q424	29
Cameroon	22.0	17.0	Q1009	30
Canada	29.0	32.0	Q16	31
Central African Republic	12.0	19.0	Q929	32
Chad	37.0	37.0	Q657	33
Chile	38.0	28.0	Q298	34
China	27.0	18.0	Q148	35
Hong Kong SAR, China	205.0	177.0	Q8646	36
Macao SAR, China	88.0	84.0	Q14773	37
Colombia	16.0	16.0	Q739	38
Comoros	10.0	13.0	Q970	39
Congo, Dem. Rep.	41.0	32.0	Q974	40
Congo, Rep.	85.0	77.0	Q971	41
Costa Rica	33.0	34.0	Q800	42
Cote d'Ivoire	51.0	24.0	Q1008	43
Croatia	36.0	51.0	Q224	44
Cuba	23.0	15.0	Q241	45
Cyprus	50.0	71.0	Q229	46
Czech Republic	66.0	75.0	Q213	47
Denmark	51.0	56.0	Q35	48
Dominica	36.0	52.0	Q784	49
Dominican Republic	23.0	24.0	Q786	50
Ecuador	28.0	23.0	Q736	51
Egypt, Arab Rep.	21.0	19.0	Q79	52
El Salvador	27.0	30.0	Q792	53
Equatorial Guinea	86.0	55.0	Q983	54
Estonia	74.0	73.0	Q191	55
Eswatini	46.0	41.0	Q1050	56
Ethiopia	17.0	8.0	Q115	57
Finland	38.0	40.0	Q33	58
France	27.0	32.0	Q142	59
Gabon	58.0	51.0	Q1000	60
Gambia, The	15.0	21.0	Q1005	61
Georgia	33.0	54.0	Q230	62
Germany	43.0	47.0	Q183	63
Ghana	29.0	36.0	Q117	64
Greece	22.0	37.0	Q41	65
Greenland	34.0	41.0	Q223	66
Grenada	24.0	55.0	Q769	67
Guam	17.0	20.0	Q16635	68
Guatemala	26.0	18.0	Q774	69
Guinea	30.0	42.0	Q1006	70
Guinea-Bissau	15.0	23.0	Q1007	71
Guyana	39.0	33.0	Q734	72
Haiti	15.0	17.0	Q790	73
Honduras	46.0	40.0	Q783	74
Hungary	82.0	83.0	Q28	75
Iceland	52.0	45.0	Q189	76
India	22.0	19.0	Q668	77
Indonesia	24.0	18.0	Q252	78
Iran, Islamic Rep.	24.0	25.0	Q794	79
Iraq	39.0	37.0	Q796	80
Ireland	103.0	127.0	Q27	81
Israel	35.0	29.0	Q801	82
Italy	25.0	32.0	Q38	83
Jamaica	31.0	38.0	Q766	84
Japan	15.0	19.0	Q17	85
Jordan	48.0	37.0	Q810	86
Kazakhstan	44.0	37.0	Q232	87
Kenya	21.0	12.0	Q114	88
Kiribati	12.0	10.0	Q710	89
Korea, Rep.	47.0	40.0	Q884	90
Kosovo	20.0	28.0	Q1246	91
Kuwait	67.0	57.0	Q817	92
Kyrgyz Republic	52.0	37.0	Q813	93
Latvia	54.0	60.0	Q211	94
Lebanon	35.0	22.0	Q822	95
Lesotho	41.0	44.0	Q1013	96
Liberia	19.0	29.0	Q1014	97
Libya	66.0	65.0	Q1016	98
Lithuania	64.0	78.0	Q37	99
Luxembourg	175.0	209.0	Q32	100
Madagascar	22.0	26.0	Q1019	101
Malawi	23.0	31.0	Q1020	102
Malaysia	87.0	65.0	Q833	103
Maldives	78.0	66.0	Q826	104
Mali	23.0	23.0	Q912	105
Malta	153.0	141.0	Q233	106
Marshall Islands	37.0	40.0	Q709	107
Mauritania	46.0	42.0	Q1025	108
Mauritius	51.0	39.0	Q1027	109
Mexico	30.0	39.0	Q96	110
Micronesia, Fed. Sts.	24.0	35.0	Q702	111
Moldova	28.0	31.0	Q217	112
Mongolia	47.0	61.0	Q711	113
Montenegro	37.0	44.0	Q236	114
Morocco	32.0	39.0	Q1028	115
Mozambique	28.0	38.0	Q1029	116
Myanmar	20.0	30.0	Q836	117
Namibia	48.0	36.0	Q1030	118
Nepal	10.0	9.0	Q837	119
Netherlands	70.0	83.0	Q55	120
New Zealand	30.0	28.0	Q664	121
Nicaragua	40.0	45.0	Q811	122
Niger	16.0	12.0	Q1032	123
Nigeria	26.0	15.0	Q1033	124
North Macedonia	40.0	62.0	Q221	125
Northern Mariana Islands	42.0	54.0	Q16644	126
Norway	40.0	37.0	Q20	127
Oman	67.0	58.0	Q842	128
Pakistan	14.0	10.0	Q843	129
Palau	50.0	47.0	Q695	130
Panama	70.0	43.0	Q804	131
Paraguay	40.0	35.0	Q733	132
Peru	28.0	24.0	Q419	133
Philippines	33.0	28.0	Q928	134
Poland	40.0	56.0	Q36	135
Portugal	30.0	44.0	Q45	136
Puerto Rico	63.0	60.0	Q1183	137
Qatar	62.0	50.0	Q846	138
Romania	32.0	40.0	Q218	139
Russian Federation	29.0	28.0	Q159	140
Rwanda	11.0	19.0	Q1037	141
Samoa	28.0	38.0	Q683	142
Saudi Arabia	50.0	36.0	Q851	143
Senegal	20.0	23.0	Q1041	144
Serbia	32.0	52.0	Q403	145
Seychelles	94.0	69.0	Q1042	146
Sierra Leone	17.0	17.0	Q1044	147
Singapore	198.0	174.0	Q334	148
Sint Maarten (Dutch part)	110.0	92.0	Q26273	149
Slovak Republic	77.0	93.0	Q214	150
Slovenia	64.0	84.0	Q215	151
South Africa	29.0	30.0	Q258	152
Spain	26.0	35.0	Q29	153
Sri Lanka	20.0	23.0	Q854	154
St. Kitts and Nevis	28.0	64.0	Q763	155
