Country	Exports2007	Exports2017	ID	id_row
American Samoa	45.5	46.5	Q16641	0
Cambodia	95.2	82.5	Q424	1
China	79.2	69.9	Q148	2
Fiji	82.9	72.9	Q712	3
Indonesia	68.8	51.2	Q252	4
Kiribati	91.7	16.0	Q710	5
Korea, Dem. Peopleâ€™s Rep.	5.3	1.1	Q423	6
Lao PDR	28.6	13.2	Q819	7
Malaysia	70.8	59.0	Q833	8
Marshall Islands	98.0	79.0	Q709	9
Micronesia, Fed. Sts.	89.4	21.1	Q702	10
Mongolia	23.7	13.5	Q711	11
Myanmar	37.9	29.4	Q836	12
Palau	87.8	90.8	Q695	13
Papua New Guinea	86.5	74.8	Q691	14
Philippines	76.7	76.3	Q928	15
Samoa	94.1	58.6	Q683	16
Solomon Islands	26.8	21.4	Q685	17
Thailand	64.4	53.9	Q869	18
Timor-Leste	74.9	61.4	Q574	19
Tonga	89.6	86.7	Q678	20
Tuvalu	17.4	46.2	Q672	21
Vanuatu	72.8	38.5	Q686	22
Vietnam	73.2	65.4	Q881	23
Albania	88.8	77.1	Q222	24
Armenia	59.7	35.9	Q399	25
Azerbaijan	43.3	66.9	Q227	26
Belarus	45.8	28.8	Q184	27
Bosnia and Herzegovina	76.5	72.5	Q225	28
Bulgaria	64.6	60.9	Q219	29
Georgia	38.1	25.3	Q230	30
Kazakhstan	60.8	61.6	Q232	31
Kosovo	34.4	30.3	Q1246	32
Kyrgyz Republic	12.0	43.7	Q813	33
Lithuania	72.2	69.9	Q37	34
North Macedonia	64.8	74.6	Q221	35
Moldova	36.6	41.8	Q217	36
Montenegro	71.0	44.6	Q236	37
Romania	76.8	78.5	Q218	38
Russian Federation	66.3	58.2	Q159	39
Serbia	56.6	63.8	Q403	40
Tajikistan	44.8	14.1	Q863	41
Turkey	65.7	63.7	Q43	42
Turkmenistan	10.5	3.3	Q874	43
Ukraine	34.2	46.0	Q212	44
Uzbekistan	9.1	4.7	Q265	45
Antigua and Barbuda	48.9	71.4	Q781	46
Argentina	41.9	39.7	Q414	47
Belize	79.0	85.9	Q242	48
Bolivia	37.9	42.1	Q750	49
Brazil	57.8	45.1	Q155	50
Chile	59.1	48.7	Q298	51
Colombia	61.9	64.0	Q739	52
Costa Rica	67.4	72.6	Q800	53
Cuba	32.5	43.2	Q241	54
Dominica	54.6	75.6	Q784	55
Dominican Republic	78.9	71.6	Q786	56
Ecuador	67.1	64.3	Q736	57
El Salvador	60.4	53.3	Q792	58
Grenada	63.5	57.1	Q769	59
Guatemala	56.7	54.4	Q774	60
Guyana	82.5	81.4	Q734	61
Haiti	85.8	91.0	Q790	62
Honduras	67.9	72.8	Q783	63
Jamaica	87.0	82.9	Q766	64
Mexico	92.9	92.0	Q96	65
Nicaragua	55.2	62.0	Q811	66
Panama	74.7	57.8	Q804	67
Paraguay	21.8	30.7	Q733	68
Peru	72.5	54.6	Q419	69
St. Kitts and Nevis	81.9	79.4	Q763	70
St. Lucia	82.2	78.1	Q760	71
St. Vincent and the Grenadines	59.1	31.4	Q757	72
Suriname	93.3	86.8	Q730	73
Uruguay	41.3	23.3	Q77	74
Venezuela, RB	66.6	47.4	Q717	75
Algeria	85.8	74.5	Q262	76
Djibouti	23.5	32.0	Q977	77
Egypt, Arab Rep.	47.4	67.7	Q79	78
Iran, Islamic Rep.	53.5	38.9	Q794	79
Iraq	74.9	52.0	Q796	80
Jordan	49.8	58.3	Q810	81
Lebanon	54.9	41.2	Q822	82
Libya	85.5	78.5	Q1016	83
Morocco	81.1	73.4	Q1028	84
Syrian Arab Republic	56.5	25.3	Q858	85
Tunisia	85.4	79.6	Q948	86
West Bank and Gaza	94.0	91.3	Q407199	87
Yemen, Rep.	34.8	32.6	Q805	88
Afghanistan	15.9	4.1	Q889	89
Bangladesh	77.8	71.5	Q902	90
Bhutan	12.6	3.5	Q917	91
India	64.9	63.6	Q668	92
Maldives	40.1	44.4	Q826	93
Nepal	24.1	29.4	Q837	94
Pakistan	72.5	64.1	Q843	95
Sri Lanka	70.4	72.0	Q854	96
Angola	28.9	21.0	Q916	97
Benin	13.1	13.5	Q962	98
Botswana	79.8	64.7	Q963	99
Burkina Faso	66.6	74.9	Q965	100
Burundi	57.5	54.3	Q967	101
Cabo Verde	84.0	95.0	Q1011	102
Cameroon	71.9	57.8	Q1009	103
Central African Republic	81.5	66.8	Q929	104
Chad	95.2	66.6	Q657	105
Comoros	74.2	66.4	Q970	106
Congo, Dem. Rep.	20.3	20.3	Q974	107
Congo, Rep.	33.0	33.5	Q971	108
Cote d'Ivoire	57.2	56.3	Q1008	109
Eritrea	48.3	30.3	Q986	110
Ethiopia	68.8	50.6	Q115	111
Gabon	79.0	52.1	Q1000	112
Gambia, The	60.4	14.3	Q1005	113
Ghana	43.7	42.6	Q117	114
Guinea	71.5	18.8	Q1006	115
Guinea-Bissau	16.3	1.3	Q1007	116
Kenya	43.2	41.3	Q114	117
Lesotho	24.1	65.5	Q1013	118
Liberia	95.2	95.2	Q1014	119
Madagascar	76.8	78.6	Q1019	120
Malawi	49.0	52.0	Q1020	121
Mali	11.5	26.6	Q912	122
Mauritania	66.2	49.3	Q1025	123
Mauritius	86.6	72.3	Q1027	124
Mozambique	69.3	35.1	Q1029	125
Namibia	55.2	43.5	Q1030	126
Niger	79.0	49.2	Q1032	127
Nigeria	68.3	43.2	Q1033	128
Rwanda	60.1	68.8	Q1037	129
Sao Tome and Principe	49.2	92.0	Q1039	130
Senegal	33.3	37.5	Q1041	131
Seychelles	97.7	90.8	Q1042	132
Sierra Leone	59.7	38.7	Q1044	133
Somalia	37.1	74.1	Q1045	134
South Africa	70.7	46.1	Q258	135
Sudan	97.6	75.1	Q1049	136
Eswatini	65.4	4.9	Q1050	137
Tanzania	53.2	24.8	Q924	138
Togo	7.3	16.6	Q945	139
Uganda	49.7	39.8	Q1036	140
Zambia	57.5	59.8	Q953	141
Zimbabwe	25.8	9.9	Q954	142
