Country	Currentpoints	ID	id_row
USA	781.6	Q30	0
Spain	722.9	Q29	1
Australia	666.5	Q408	2
Argentina	663.7	Q414	3
Serbia	661.3	Q403	4
France	656.5	Q142	5
Greece	647.4	Q41	6
Lithuania	635.2	Q37	7
Czech Republic	591.5	Q213	8
Brazil	589.4	Q155	9
Russia	585.4	Q159	10
Italy	577.9	Q38	11
Poland	567.6	Q36	12
Croatia	522.4	Q224	13
Turkey	513.2	Q43	14
Puerto Rico	498.0	Q1183	15
Slovenia	496.4	Q215	16
Germany	495.7	Q183	17
Dominican Republic	482.5	Q786	18
Venezuela	476.8	Q717	19
Canada	453.9	Q16	20
Iran	428.7	Q794	21
Nigeria	425.9	Q1033	22
New Zealand	421.2	Q664	23
Mexico	411.4	Q96	24
Montenegro	391.4	Q236	25
Latvia	382.2	Q211	26
China	364.6	Q148	27
Ukraine	353.0	Q212	28
Korea	341.5	Q884	29
Philippines	334.3	Q928	30
Angola	325.3	Q916	31
Tunisia	321.5	Q948	32
Finland	319.4	Q33	33
Senegal	310.3	Q1041	34
Georgia	299.1	Q230	35
Belgium	281.9	Q31	36
Jordan	273.8	Q810	37
Hungary	262.2	Q28	38
Japan	260.6	Q17	39
Israel	245.7	Q801	40
Great Britain	242.7	Q145	41
Uruguay	233.1	Q77	42
Netherlands	231.2	Q55	43
Bosnia and Herzegovina	226.7	Q225	44
Iceland	218.2	Q189	45
Panama	215.3	Q804	46
Cote d'Ivoire	213.5	Q1008	47
Estonia	209.9	Q191	48
Bulgaria	204.6	Q219	49
US Virgin Islands	200.2	Q11703	50
Belarus	195.8	Q184	51
North Macedonia	187.6	Q221	52
Romania	179.4	Q218	53
Sweden	176.4	Q34	54
Austria	172.6	Q40	55
Lebanon	166.9	Q822	56
Bahamas	165.1	Q778	57
Denmark	164.5	Q35	58
Egypt	163.8	Q79	59
Portugal	153.0	Q45	60
Switzerland	151.5	Q39	61
Cuba	150.5	Q241	62
Cameroon	142.4	Q1009	63
Chinese Taipei	140.7	Q1867	64
Slovakia	134.0	Q214	65
Morocco	131.3	Q1028	66
Colombia	128.8	Q739	67
Kosovo	128.5	Q1246	68
Chile	127.5	Q298	69
Paraguay	124.1	Q733	70
Qatar	121.6	Q846	71
India	117.1	Q668	72
Mali	113.2	Q912	73
Kazakhstan	111.5	Q232	74
Cyprus	111.2	Q229	75
Luxembourg	110.9	Q32	76
Andorra	110.9	Q228	77
Iraq	109.9	Q796	78
Malta	109.0	Q233	79
Antigua & Barbuda	108.1	Q781	80
Armenia	107.9	Q399	81
Central African Rep.	107.9	Q929	82
Guam	104.5	Q16635	83
Norway	104.2	Q20	84
Barbados	104.2	Q244	85
Jamaica	103.8	Q766	86
Tahiti	100.1	Q42000	87
Congo DR	99.5	Q974	88
Palestine	99.3	Q219060	89
Rwanda	99.2	Q1037	90
Indonesia	98.9	Q252	91
Mozambique	97.8	Q1029	92
Madagascar	97.6	Q1019	93
Syria	94.6	Q858	94
Saudi Arabia	94.0	Q851	95
Cape Verde	93.3	Q1011	96
Guyana	91.4	Q734	97
Thailand	90.8	Q869	98
Algeria	90.8	Q262	99
Uganda	90.1	Q1036	100
Ireland	90.0	Q27	101
Azerbaijan	90.0	Q227	102
Chad	89.6	Q657	103
Costa Rica	89.3	Q800	104
Albania	88.8	Q222	105
South Sudan	86.4	Q958	106
Honduras	85.7	Q783	107
St.Vincent and the Grenadines	84.9	Q757	108
Singapore	83.6	Q334	109
Bermuda	82.5	Q23635	110
Bahrain	80.8	Q398	111
Suriname	80.5	Q730	112
Hong Kong	79.8	Q8646	113
Congo	79.6	Q971	114
Nicaragua	75.5	Q811	115
Bolivia	75.0	Q750	116
Grenada	73.8	Q769	117
Belize	73.8	Q242	118
San Marino	73.6	Q238	119
Malaysia	72.8	Q833	120
Kenya	72.7	Q114	121
Samoa	71.8	Q683	122
Sri Lanka	69.9	Q854	123
South Africa	68.2	Q258	124
Burundi	67.9	Q967	125
Guinea	67.9	Q1006	126
Ecuador	67.0	Q736	127
British Virgin Islands	66.8	Q25305	128
UAE	66.5	Q878	129
Cayman Islands	66.1	Q5785	130
Moldova	64.5	Q217	131
Togo	64.0	Q945	132
Equatorial Guinea	62.4	Q983	133
El Salvador	62.2	Q792	134
Gabon	60.7	Q1000	135
Montserrat	59.1	Q13353	136
Burkina Faso	58.3	Q965	137
Zimbabwe	55.7	Q954	138
Zambia	54.9	Q953	139
Tonga	53.3	Q678	140
Maldives	52.6	Q826	141
Seychelles	52.4	Q1042	142
Somalia	52.2	Q1045	143
Vietnam	52.1	Q881	144
Kuwait	51.1	Q817	145
Bangladesh	50.2	Q902	146
Benin	49.5	Q962	147
Bhutan	48.6	Q917	148
Botswana	47.6	Q963	149
American Samoa	46.9	Q16641	150
Peru	44.9	Q419	151
Gibraltar	44.1	Q1410	152
Guatemala	43.6	Q774	153
Macau	41.9	Q14773	154
Brunei Darussalam	41.8	Q921	155
Nepal	40.8	Q837	156
St. Lucia	40.5	Q760	157
Mauritania	40.1	Q1025	158
Tanzania	38.8	Q924	159
Oman	35.9	Q842	160
Fiji	30.4	Q712	161
Cambodia	29.1	Q424	162
Myanmar	27.0	Q836	163
Haiti	23.3	Q790	164
Cook Islands	23.2	Q26988	165
Eritrea	20.1	Q986	166
Libya	16.2	Q1016	167
