Country	SurveyYear	Finance	ID	id_row
Afghanistan	2014	3.9	Q889	0
Albania	2019	30.4	Q222	1
Algeria	2007	28.6	Q262	2
Angola	2010	13.4	Q916	3
Antigua and Barbuda	2010	46.3	Q781	4
Argentina	2017	29.6	Q414	5
Armenia	2013	43.0	Q399	6
Azerbaijan	2013	16.9	Q227	7
Bahamas, The	2010	28.5	Q778	8
Bangladesh	2013	29.9	Q902	9
Barbados	2010	38.7	Q244	10
Belarus	2018	31.1	Q184	11
Belize	2010	57.0	Q242	12
Benin	2016	26.0	Q962	13
Bhutan	2015	42.0	Q917	14
Bolivia	2017	38.0	Q750	15
Bosnia and Herzegovina	2019	40.4	Q225	16
Botswana	2010	32.1	Q963	17
Brazil	2009	52.3	Q155	18
Bulgaria	2019	43.8	Q219	19
Burkina Faso	2009	33.1	Q965	20
Burundi	2014	57.9	Q967	21
Cambodia	2016	18.2	Q424	22
Cameroon	2016	20.2	Q1009	23
Cabo Verde	2009	49.8	Q1011	24
Central African Republic	2011	25.3	Q929	25
Chad	2018	9.8	Q657	26
Chile	2010	55.1	Q298	27
China	2012	22.1	Q148	28
Colombia	2017	52.7	Q739	29
Congo, Dem. Rep.	2013	8.7	Q974	30
Congo, Rep.	2009	9.7	Q971	31
Costa Rica	2010	30.1	Q800	32
Cote d'Ivoire	2016	15.3	Q1008	33
Croatia	2019	31.2	Q224	34
Cyprus	2019	42.2	Q229	35
Czech Republic	2019	29.4	Q213	36
Djibouti	2013	25.2	Q977	37
Dominica	2010	37.9	Q784	38
Dominican Republic	2016	45.8	Q786	39
Ecuador	2017	40.2	Q736	40
Egypt, Arab Rep.	2016	2.4	Q79	41
El Salvador	2016	35.2	Q792	42
Eritrea	2009	5.7	Q986	43
Estonia	2019	26.2	Q191	44
Ethiopia	2015	16.4	Q115	45
Fiji	2009	50.7	Q712	46
Gabon	2009	8.5	Q1000	47
Gambia, The	2018	13.7	Q1005	48
Georgia	2019	31.5	Q230	49
Germany	2005	42.2	Q183	50
Ghana	2013	25.3	Q117	51
Greece	2018	16.8	Q41	52
Grenada	2010	50.3	Q769	53
Guatemala	2017	30.0	Q774	54
Guinea	2016	11.4	Q1006	55
Guinea-Bissau	2006	1.1	Q1007	56
Guyana	2010	59.3	Q734	57
Honduras	2016	38.1	Q783	58
Hungary	2019	31.5	Q28	59
India	2014	36.4	Q668	60
Indonesia	2015	32.0	Q252	61
Iraq	2011	4.6	Q796	62
Ireland	2005	46.1	Q27	63
Israel	2013	34.3	Q801	64
Italy	2019	27.8	Q38	65
Jamaica	2010	53.1	Q766	66
Jordan	2019	20.0	Q810	67
Kazakhstan	2019	13.2	Q232	68
Kenya	2018	36.2	Q114	69
Korea, Rep.	2005	41.2	Q884	70
Kosovo	2019	53.1	Q1246	71
Kyrgyz Republic	2019	18.8	Q813	72
Lao PDR	2018	23.1	Q819	73
Latvia	2019	26.5	Q211	74
Lebanon	2019	44.5	Q822	75
Lesotho	2016	34.9	Q1013	76
Liberia	2017	20.1	Q1014	77
Lithuania	2019	20.9	Q37	78
North Macedonia	2019	38.6	Q221	79
Madagascar	2013	19.1	Q1019	80
Malawi	2014	29.2	Q1020	81
Malaysia	2015	42.6	Q833	82
Mali	2016	51.7	Q912	83
Malta	2019	61.8	Q233	84
Mauritania	2014	29.4	Q1025	85
Mauritius	2009	39.5	Q1027	86
Mexico	2010	26.9	Q96	87
Micronesia, Fed. Sts.	2009	19.4	Q702	88
Moldova	2019	23.4	Q217	89
Mongolia	2019	37.5	Q711	90
Montenegro	2019	26.0	Q236	91
Morocco	2019	45.0	Q1028	92
Mozambique	2018	9.0	Q1029	93
Myanmar	2016	11.2	Q836	94
Namibia	2014	11.8	Q1030	95
Nepal	2013	13.7	Q837	96
Nicaragua	2016	30.4	Q811	97
Niger	2017	28.9	Q1032	98
Nigeria	2014	16.9	Q1033	99
Pakistan	2013	8.6	Q843	100
Panama	2010	9.0	Q804	101
Papua New Guinea	2015	22.9	Q691	102
Paraguay	2017	41.9	Q733	103
Peru	2017	66.5	Q419	104
Philippines	2015	12.4	Q928	105
Poland	2019	43.9	Q36	106
Portugal	2019	27.2	Q45	107
Romania	2013	41.3	Q218	108
Russian Federation	2019	33.4	Q159	109
Rwanda	2019	42.6	Q1037	110
Samoa	2009	68.7	Q683	111
Senegal	2014	19.6	Q1041	112
Serbia	2019	51.0	Q403	113
Sierra Leone	2017	8.6	Q1044	114
Slovak Republic	2019	24.2	Q214	115
Slovenia	2019	41.6	Q215	116
Solomon Islands	2015	35.5	Q685	117
South Africa	2007	21.1	Q258	118
South Sudan	2014	6.0	Q958	119
Spain	2005	35.8	Q29	120
Sri Lanka	2011	40.6	Q854	121
St. Kitts and Nevis	2010	52.0	Q763	122
St. Lucia	2010	49.2	Q760	123
St. Vincent and the Grenadines	2010	52.7	Q757	124
Sudan	2014	2.6	Q1049	125
Suriname	2018	44.5	Q730	126
Eswatini	2016	32.0	Q1050	127
Sweden	2014	26.6	Q34	128
Syrian Arab Republic	2009	16.0	Q858	129
Tajikistan	2019	12.8	Q863	130
Tanzania	2013	14.7	Q924	131
Thailand	2016	28.9	Q869	132
Timor-Leste	2015	19.1	Q574	133
Togo	2016	40.3	Q945	134
Tonga	2009	3.0	Q678	135
Trinidad and Tobago	2010	63.8	Q754	136
Tunisia	2013	44.7	Q948	137
Turkey	2019	34.0	Q43	138
Uganda	2013	21.4	Q1036	139
Ukraine	2019	21.5	Q212	140
Uruguay	2017	39.8	Q77	141
Uzbekistan	2019	23.7	Q265	142
Vanuatu	2009	33.2	Q686	143
Venezuela, RB	2010	27.1	Q717	144
Vietnam	2015	32.3	Q881	145
West Bank and Gaza	2019	12.7	Q407199	146
Yemen, Rep.	2013	4.6	Q805	147
Zambia	2019	13.1	Q953	148
Zimbabwe	2016	12.0	Q954	149
