Country	NetInflows	NetInflows	ID	id_row
Afghanistan	119.0	0.6	Q889	0
Albania	1204.0	8.0	Q222	1
Algeria	1506.0	0.9	Q262	2
Angola	-6456.0	-6.4	Q916	3
Antigua and Barbuda	135.0	8.4	Q781	4
Argentina	11873.0	2.3	Q414	5
Armenia	254.0	2.0	Q399	6
Australia	62173.0	4.3	Q408	7
Austria	4220.0	0.9	Q40	8
Azerbaijan	1403.0	3.0	Q227	9
Bahamas, The	491.0	4.0	Q778	10
Bahrain	111.0	0.3	Q398	11
Bangladesh	2940.0	1.1	Q902	12
Barbados	195.0	3.8	Q244	13
Belarus	1427.0	2.4	Q184	14
Belgium	-54789.0	-10.1	Q31	15
Belize	120.0	6.4	Q242	16
Benin	141.0	1.0	Q962	17
Bhutan	3.0	0.1	Q917	18
Bolivia	302.0	0.8	Q750	19
Bosnia and Herzegovina	489.0	2.4	Q225	20
Botswana	229.0	1.2	Q963	21
Brazil	78163.0	4.1	Q155	22
Brunei Darussalam	516.0	3.8	Q921	23
Bulgaria	1223.0	1.8	Q219	24
Burkina Faso	268.0	1.7	Q965	25
Burundi	1.0	0.0	Q967	26
Cabo Verde	108.0	5.5	Q1011	27
Cambodia	3213.0	13.1	Q424	28
Cameroon	765.0	2.0	Q1009	29
Canada	46543.0	2.7	Q16	30
Cayman Islands	57384.0	1046.1	Q5785	31
Central African Republic	18.0	0.8	Q929	32
Chad	662.0	5.9	Q657	33
Chile	6082.0	2.0	Q298	34
China	235365.0	1.7	Q148	35
Hong Kong SAR, China	97036.0	26.8	Q8646	36
Macao SAR, China	2326.0	4.2	Q14773	37
Colombia	11535.0	3.5	Q739	38
Comoros	7.0	0.6	Q970	39
Congo, Dem. Rep.	1285.0	2.7	Q974	40
Congo, Rep.	4313.0	37.0	Q971	41
Costa Rica	2764.0	4.6	Q800	42
Cote d'Ivoire	620.0	1.1	Q1008	43
Croatia	1213.0	2.0	Q224	44
Curacao	127.0	4.1	Q25279	45
Cyprus	5207.0	20.9	Q229	46
Czech Republic	8325.0	3.4	Q213	47
Denmark	1166.0	0.3	Q35	48
