Country	Strengthoflegalrightsindex	Depthofcreditinformationindex	ID	id_row
Afghanistan	10.0	0.0	Q889	0
Albania	8.0	6.0	Q222	1
Algeria	2.0	0.0	Q262	2
Angola	1.0	0.0	Q916	3
Antigua and Barbuda	5.0	0.0	Q781	4
Argentina	2.0	8.0	Q414	5
Armenia	6.0	8.0	Q399	6
Australia	11.0	8.0	Q408	7
Austria	4.0	7.0	Q40	8
Azerbaijan	12.0	8.0	Q227	9
Bahamas, The	6.0	0.0	Q778	10
Bahrain	3.0	8.0	Q398	11
Bangladesh	5.0	4.0	Q902	12
Barbados	6.0	0.0	Q244	13
Belarus	3.0	7.0	Q184	14
Belgium	8.0	5.0	Q31	15
Belize	4.0	0.0	Q242	16
Benin	6.0	0.0	Q962	17
Bhutan	4.0	7.0	Q917	18
Bolivia	0.0	7.0	Q750	19
Bosnia and Herzegovina	7.0	6.0	Q225	20
Botswana	5.0	7.0	Q963	21
Brazil	2.0	8.0	Q155	22
Brunei Darussalam	12.0	8.0	Q921	23
Bulgaria	8.0	5.0	Q219	24
Burkina Faso	6.0	0.0	Q965	25
Burundi	2.0	1.0	Q967	26
Cambodia	10.0	6.0	Q424	27
Cameroon	6.0	6.0	Q1009	28
Canada	9.0	8.0	Q16	29
Cabo Verde	1.0	6.0	Q1011	30
Central African Republic	6.0	1.0	Q929	31
Chad	6.0	0.0	Q657	32
Chile	4.0	7.0	Q298	33
China	4.0	8.0	Q148	34
Hong Kong SAR, China	8.0	7.0	Q8646	35
Colombia	11.0	7.0	Q739	36
Comoros	6.0	2.0	Q970	37
Congo, Dem. Rep.	6.0	0.0	Q974	38
Congo, Rep.	6.0	2.0	Q971	39
Costa Rica	10.0	7.0	Q800	40
Cote d'Ivoire	6.0	8.0	Q1008	41
Croatia	5.0	5.0	Q224	42
Cyprus	7.0	5.0	Q229	43
Czech Republic	7.0	7.0	Q213	44
Denmark	8.0	6.0	Q35	45
Djibouti	8.0	0.0	Q977	46
Dominica	6.0	0.0	Q784	47
Dominican Republic	1.0	8.0	Q786	48
Ecuador	1.0	8.0	Q736	49
Egypt, Arab Rep.	5.0	8.0	Q79	50
El Salvador	9.0	7.0	Q792	51
Equatorial Guinea	6.0	2.0	Q983	52
Eritrea	0.0	0.0	Q986	53
Estonia	7.0	7.0	Q191	54
Ethiopia	3.0	0.0	Q115	55
Fiji	5.0	0.0	Q712	56
Finland	6.0	6.0	Q33	57
France	4.0	6.0	Q142	58
Gabon	6.0	2.0	Q1000	59
Gambia, The	6.0	0.0	Q1005	60
Georgia	9.0	8.0	Q230	61
Germany	6.0	8.0	Q183	62
Ghana	6.0	6.0	Q117	63
Greece	2.0	7.0	Q41	64
Grenada	6.0	0.0	Q769	65
Guatemala	9.0	8.0	Q774	66
Guinea	6.0	0.0	Q1006	67
Guinea-Bissau	6.0	0.0	Q1007	68
Guyana	3.0	8.0	Q734	69
Haiti	2.0	5.0	Q790	70
Honduras	8.0	8.0	Q783	71
Hungary	9.0	6.0	Q28	72
Iceland	4.0	7.0	Q189	73
India	9.0	7.0	Q668	74
Indonesia	6.0	8.0	Q252	75
Iran, Islamic Rep.	2.0	8.0	Q794	76
Iraq	0.0	0.0	Q796	77
Ireland	7.0	7.0	Q27	78
Israel	6.0	8.0	Q801	79
Italy	2.0	7.0	Q38	80
Jamaica	9.0	8.0	Q766	81
Japan	5.0	6.0	Q17	82
Jordan	11.0	8.0	Q810	83
