Country	Expenditure2010	Expenditure2018	ID	id_row
Afghanistan	75.0	55.0	Q889	0
Albania	9.0	9.0	Q222	1
Angola	26.0	25.0	Q916	2
Armenia	13.0	14.0	Q399	3
Australia	10.0	10.0	Q408	4
Austria	7.0	6.0	Q40	5
Azerbaijan	10.0	11.0	Q227	6
Bahamas, The	19.0	20.0	Q778	7
Bangladesh	13.0	14.0	Q902	8
Barbados	14.0	13.0	Q244	9
Belarus	10.0	14.0	Q184	10
Belgium	2.0	3.0	Q31	11
Belize	24.0	21.0	Q242	12
Bhutan	37.0	23.0	Q917	13
Bosnia and Herzegovina	24.0	18.0	Q225	14
Botswana	28.0	26.0	Q963	15
Brazil	3.0	3.0	Q155	16
Bulgaria	11.0	9.0	Q219	17
Burkina Faso	17.0	21.0	Q965	18
Cabo Verde	15.0	15.0	Q1011	19
Cambodia	31.0	20.0	Q424	20
Cameroon	29.0	34.0	Q1009	21
Canada	7.0	8.0	Q16	22
Central African Republic	58.0	24.0	Q929	23
Chile	8.0	9.0	Q298	24
Macao SAR, China	15.0	15.0	Q14773	25
Colombia	11.0	13.0	Q739	26
Congo, Rep.	41.0	15.0	Q971	27
Costa Rica	10.0	10.0	Q800	28
Cote d'Ivoire	20.0	13.0	Q1008	29
Croatia	10.0	12.0	Q224	30
Cyprus	10.0	8.0	Q229	31
Czech Republic	10.0	9.0	Q213	32
Denmark	8.0	8.0	Q35	33
Dominican Republic	19.0	17.0	Q786	34
Egypt, Arab Rep.	8.0	4.0	Q79	35
El Salvador	17.0	16.0	Q792	36
Equatorial Guinea	41.0	38.0	Q983	37
Estonia	10.0	10.0	Q191	38
Ethiopia	21.0	19.0	Q115	39
Fiji	14.0	18.0	Q712	40
Finland	8.0	8.0	Q33	41
France	5.0	5.0	Q142	42
Gabon	23.0	11.0	Q1000	43
Georgia	16.0	13.0	Q230	44
Germany	4.0	5.0	Q183	45
Ghana	15.0	9.0	Q117	46
Greece	9.0	7.0	Q41	47
Guatemala	15.0	12.0	Q774	48
Honduras	14.0	18.0	Q783	49
Hungary	10.0	14.0	Q28	50
Iceland	15.0	16.0	Q189	51
India	9.0	8.0	Q668	52
Indonesia	10.0	13.0	Q252	53
Ireland	7.0	12.0	Q27	54
Israel	20.0	20.0	Q801	55
Italy	3.0	3.0	Q38	56
Japan	5.0	5.0	Q17	57
Jordan	9.0	8.0	Q810	58
Kazakhstan	22.0	18.0	Q232	59
Kiribati	36.0	34.0	Q710	60
Korea, Rep.	11.0	12.0	Q884	61
Kuwait	15.0	17.0	Q817	62
Latvia	12.0	10.0	Q211	63
Lebanon	4.0	4.0	Q822	64
Lesotho	22.0	23.0	Q1013	65
Lithuania	9.0	7.0	Q37	66
Luxembourg	7.0	6.0	Q32	67
Madagascar	12.0	8.0	Q1019	68
Malawi	33.0	33.0	Q1020	69
Malaysia	16.0	15.0	Q833	70
Mali	32.0	27.0	Q912	71
Malta	14.0	18.0	Q233	72
Marshall Islands	29.0	29.0	Q709	73
Mauritius	12.0	13.0	Q1027	74
Mexico	7.0	7.0	Q96	75
Micronesia, Fed. Sts.	45.0	53.0	Q702	76
Moldova	20.0	18.0	Q217	77
Mongolia	20.0	14.0	Q711	78
Morocco	9.0	11.0	Q1028	79
Mozambique	29.0	16.0	Q1029	80
Myanmar	39.0	46.0	Q836	81
Namibia	17.0	11.0	Q1030	82
Nepal	10.0	11.0	Q837	83
Netherlands	6.0	6.0	Q55	84
New Zealand	12.0	12.0	Q664	85
Nicaragua	13.0	15.0	Q811	86
North Macedonia	11.0	6.0	Q221	87
Norway	9.0	9.0	Q20	88
Palau	21.0	23.0	Q695	89
Paraguay	13.0	13.0	Q733	90
Peru	21.0	20.0	Q419	91
Philippines	14.0	20.0	Q928	92
Poland	7.0	7.0	Q36	93
Portugal	9.0	9.0	Q45	94
Romania	9.0	9.0	Q218	95
Russian Federation	13.0	8.0	Q159	96
Samoa	45.0	43.0	Q683	97
San Marino	24.0	21.0	Q238	98
Saudi Arabia	19.0	19.0	Q851	99
Seychelles	40.0	40.0	Q1042	100
Singapore	36.0	34.0	Q334	101
Slovak Republic	10.0	9.0	Q214	102
Slovenia	11.0	12.0	Q215	103
Solomon Islands	52.0	53.0	Q685	104
South Africa	13.0	11.0	Q258	105
Spain	4.0	4.0	Q29	106
Sri Lanka	8.0	8.0	Q854	107
St. Kitts and Nevis	22.0	23.0	Q763	108
St. Lucia	21.0	20.0	Q760	109
St. Vincent and the Grenadines	14.0	14.0	Q757	110
Sudan	10.0	14.0	Q1049	111
Sweden	6.0	5.0	Q34	112
Switzerland	6.0	7.0	Q39	113
Tanzania	15.0	12.0	Q924	114
Thailand	32.0	26.0	Q869	115
Timor-Leste	49.0	44.0	Q574	116
Togo	25.0	32.0	Q945	117
Tonga	39.0	39.0	Q678	118
Trinidad and Tobago	18.0	22.0	Q754	119
Turkey	12.0	10.0	Q43	120
Ukraine	11.0	13.0	Q212	121
United Arab Emirates	31.0	37.0	Q878	122
United Kingdom	13.0	14.0	Q145	123
United States	10.0	8.0	Q30	124
Uruguay	13.0	11.0	Q77	125
Vanuatu	31.0	30.0	Q686	126
West Bank and Gaza	15.0	20.0	Q407199	127
Zambia	24.0	16.0	Q953	128
Zimbabwe	15.0	9.0	Q954	129
