Country	Expenditure2010	Expenditure2018	ID	id_row
Afghanistan	0.0	0.0	Q889	0
Albania	14.0	10.0	Q222	1
Angola	6.0	16.0	Q916	2
Armenia	4.0	10.0	Q399	3
Australia	2.0	4.0	Q408	4
Austria	6.0	4.0	Q40	5
Azerbaijan	0.0	4.0	Q227	6
Bahamas, The	13.0	14.0	Q778	7
Bangladesh	20.0	20.0	Q902	8
Barbados	16.0	23.0	Q244	9
Belarus	2.0	6.0	Q184	10
Belgium	7.0	5.0	Q31	11
Belize	15.0	10.0	Q242	12
Bhutan	11.0	6.0	Q917	13
Bosnia and Herzegovina	1.0	2.0	Q225	14
Botswana	2.0	2.0	Q963	15
Brazil	23.0	24.0	Q155	16
Bulgaria	2.0	2.0	Q219	17
Burkina Faso	4.0	6.0	Q965	18
Cabo Verde	6.0	9.0	Q1011	19
Cambodia	2.0	2.0	Q424	20
Cameroon	3.0	7.0	Q1009	21
Canada	9.0	6.0	Q16	22
Central African Republic	5.0	2.0	Q929	23
Chile	2.0	4.0	Q298	24
Colombia	11.0	10.0	Q739	25
Congo, Rep.	8.0	12.0	Q971	26
Costa Rica	8.0	12.0	Q800	27
Cote d'Ivoire	11.0	9.0	Q1008	28
Croatia	6.0	6.0	Q224	29
Cyprus	5.0	6.0	Q229	30
Czech Republic	4.0	2.0	Q213	31
Denmark	4.0	3.0	Q35	32
Dominican Republic	13.0	16.0	Q786	33
Egypt, Arab Rep.	18.0	24.0	Q79	34
El Salvador	11.0	11.0	Q792	35
Equatorial Guinea	4.0	6.0	Q983	36
Estonia	0.0	0.0	Q191	37
Ethiopia	3.0	5.0	Q115	38
Fiji	16.0	10.0	Q712	39
Finland	3.0	2.0	Q33	40
France	5.0	4.0	Q142	41
Gabon	6.0	18.0	Q1000	42
Georgia	4.0	5.0	Q230	43
Germany	5.0	2.0	Q183	44
Ghana	16.0	29.0	Q117	45
Greece	12.0	7.0	Q41	46
Guatemala	11.0	12.0	Q774	47
Honduras	4.0	8.0	Q783	48
Hungary	9.0	6.0	Q28	49
Iceland	13.0	8.0	Q189	50
India	18.0	21.0	Q668	51
Indonesia	9.0	12.0	Q252	52
Ireland	5.0	7.0	Q27	53
Israel	11.0	6.0	Q801	54
Italy	10.0	8.0	Q38	55
Jamaica	39.0	24.0	Q766	56
Japan	10.0	9.0	Q17	57
Jordan	8.0	12.0	Q810	58
Kazakhstan	2.0	6.0	Q232	59
Kiribati	3.0	0.0	Q710	60
Korea, Rep.	6.0	4.0	Q884	61
Latvia	4.0	3.0	Q211	62
Lebanon	39.0	34.0	Q822	63
Lesotho	1.0	3.0	Q1013	64
Lithuania	5.0	3.0	Q37	65
Luxembourg	1.0	1.0	Q32	66
Madagascar	9.0	8.0	Q1019	67
Malawi	11.0	18.0	Q1020	68
Malaysia	10.0	13.0	Q833	69
Mali	3.0	7.0	Q912	70
Malta	8.0	4.0	Q233	71
Marshall Islands	1.0	0.0	Q709	72
Mauritius	11.0	7.0	Q1027	73
Mexico	11.0	13.0	Q96	74
Micronesia, Fed. Sts.	1.0	1.0	Q702	75
Moldova	2.0	3.0	Q217	76
Mongolia	2.0	14.0	Q711	77
Morocco	8.0	10.0	Q1028	78
Mozambique	4.0	15.0	Q1029	79
Myanmar	13.0	10.0	Q836	80
Namibia	4.0	10.0	Q1030	81
Nepal	5.0	2.0	Q837	82
Netherlands	4.0	2.0	Q55	83
New Zealand	4.0	4.0	Q664	84
Nicaragua	7.0	7.0	Q811	85
North Macedonia	2.0	4.0	Q221	86
Norway	2.0	1.0	Q20	87
Palau	1.0	0.0	Q695	88
Paraguay	2.0	4.0	Q733	89
Peru	7.0	6.0	Q419	90
Philippines	23.0	13.0	Q928	91
Poland	6.0	4.0	Q36	92
Portugal	7.0	9.0	Q45	93
Romania	4.0	4.0	Q218	94
Russian Federation	2.0	3.0	Q159	95
Samoa	3.0	3.0	Q683	96
San Marino	1.0	1.0	Q238	97
Saudi Arabia	2.0	2.0	Q851	98
Seychelles	19.0	9.0	Q1042	99
Singapore	0.0	0.0	Q334	100
Slovak Republic	3.0	3.0	Q214	101
Slovenia	4.0	5.0	Q215	102
Solomon Islands	1.0	0.0	Q685	103
South Africa	8.0	11.0	Q258	104
Spain	8.0	11.0	Q29	105
Sri Lanka	33.0	36.0	Q854	106
St. Kitts and Nevis	25.0	6.0	Q763	107
St. Lucia	13.0	16.0	Q760	108
St. Vincent and the Grenadines	11.0	9.0	Q757	109
Sudan	7.0	5.0	Q1049	110
Sweden	3.0	1.0	Q34	111
Switzerland	3.0	1.0	Q39	112
Tanzania	5.0	11.0	Q924	113
Thailand	7.0	5.0	Q869	114
Timor-Leste	0.0	0.0	Q574	115
Togo	6.0	13.0	Q945	116
Tonga	3.0	3.0	Q678	117
Trinidad and Tobago	8.0	7.0	Q754	118
Turkey	11.0	8.0	Q43	119
Ukraine	4.0	10.0	Q212	120
United Kingdom	7.0	7.0	Q145	121
United States	10.0	12.0	Q30	122
Uruguay	8.0	8.0	Q77	123
Uzbekistan	0.0	0.0	Q265	124
Vanuatu	2.0	4.0	Q686	125
West Bank and Gaza	1.0	2.0	Q407199	126
Zambia	11.0	34.0	Q953	127
Zimbabwe	2.0	10.0	Q954	128
