Country	averageannual19902000	averageannual20002019	ID	id_row
Algeria	20.3	2.4	Q262	0
Argentina	2.2	2.5	Q414	1
Armenia	-1.7	1.4	Q399	2
Australia	3.0	3.0	Q408	3
Austria	2.6	0.9	Q40	4
Bahamas, The	5.1	0.9	Q778	5
Bangladesh	4.2	8.0	Q902	6
Belarus	-1.9	-1.0	Q184	7
Belgium	1.5	0.6	Q31	8
Belize	3.6	3.9	Q242	9
Benin	2.5	4.1	Q962	10
Bolivia	3.6	5.9	Q750	11
Botswana	5.6	6.5	Q963	12
Brazil	1.0	0.4	Q155	13
Brunei Darussalam	2.1	0.7	Q921	14
Bulgaria	-7.2	2.0	Q219	15
Burkina Faso	2.9	6.6	Q965	16
Cambodia	7.2	5.3	Q424	17
Cameroon	-0.5	3.4	Q1009	18
Canada	0.1	1.3	Q16	19
Chile	3.6	4.2	Q298	20
Hong Kong SAR, China	4.1	3.3	Q8646	21
Macao SAR, China	4.6	4.3	Q14773	22
Colombia	9.8	5.0	Q739	23
Comoros	1.6	3.3	Q970	24
Congo, Dem. Rep.	-20.4	-4.2	Q974	25
Congo, Rep.	-5.5	3.4	Q971	26
Costa Rica	2.2	2.3	Q800	27
Croatia	1.3	0.7	Q224	28
Cuba	0.0	0.1	Q241	29
Cyprus	2.6	-0.8	Q229	30
Czech Republic	-0.1	1.4	Q213	31
Denmark	2.4	0.8	Q35	32
Dominican Republic	8.1	3.9	Q786	33
Ecuador	0.2	4.7	Q736	34
Egypt, Arab Rep.	5.0	4.5	Q79	35
El Salvador	4.1	1.1	Q792	36
Estonia	2.2	2.1	Q191	37
Eswatini	7.1	4.9	Q1050	38
Finland	1.0	0.7	Q33	39
France	1.4	1.3	Q142	40
Gabon	3.7	-1.7	Q1000	41
Germany	2.3	2.2	Q183	42
Greece	1.6	-2.1	Q41	43
Guatemala	5.1	2.7	Q774	44
Hungary	-1.5	1.9	Q28	45
Iceland	2.7	1.6	Q189	46
India	6.5	6.6	Q668	47
Indonesia	0.1	3.4	Q252	48
Iran, Islamic Rep.	1.9	1.6	Q794	49
Ireland	4.4	2.0	Q27	50
Israel	1.6	3.6	Q801	51
Italy	-0.2	-0.5	Q38	52
Japan	2.9	1.2	Q17	53
Jordan	6.9	-0.8	Q810	54
Kazakhstan	-7.1	3.8	Q232	55
Kenya	6.9	5.7	Q114	56
Korea, Rep.	4.3	4.4	Q884	57
Kyrgyz Republic	-7.4	0.8	Q813	58
Latvia	2.7	2.5	Q211	59
Lebanon	14.2	8.9	Q822	60
Lesotho	17.5	4.0	Q1013	61
Lithuania	1.3	0.3	Q37	62
Luxembourg	3.8	2.8	Q32	63
Madagascar	0.0	2.2	Q1019	64
Malaysia	4.8	4.6	Q833	65
Mali	5.3	4.2	Q912	66
Mauritania	-0.9	4.4	Q1025	67
Mauritius	3.7	2.9	Q1027	68
Mexico	2.1	1.9	Q96	69
Moldova	-13.1	-0.5	Q217	70
Morocco	-0.1	2.7	Q1028	71
Mozambique	3.5	11.7	Q1029	72
Namibia	3.3	3.6	Q1030	73
Netherlands	2.2	0.5	Q55	74
New Zealand	1.7	2.3	Q664	75
Nicaragua	-1.5	4.3	Q811	76
Niger	1.0	6.5	Q1032	77
Nigeria	1.8	-6.0	Q1033	78
North Macedonia	-0.4	0.7	Q221	79
Norway	2.9	1.9	Q20	80
Pakistan	0.7	6.1	Q843	81
Panama	1.5	4.8	Q804	82
Paraguay	3.2	4.0	Q733	83
Peru	5.2	6.0	Q419	84
Philippines	2.6	7.9	Q928	85
Poland	3.4	2.4	Q36	86
Portugal	2.9	-0.5	Q45	87
Puerto Rico	2.7	-1.4	Q1183	88
Romania	1.2	2.1	Q218	89
Russian Federation	-2.9	0.1	Q159	90
Rwanda	0.0	11.0	Q1037	91
Senegal	0.9	4.2	Q1041	92
Serbia	6.9	0.5	Q403	93
Sierra Leone	-1.1	3.7	Q1044	94
Singapore	8.8	4.3	Q334	95
Slovak Republic	0.1	2.0	Q214	96
Slovenia	2.9	0.6	Q215	97
South Africa	0.3	1.6	Q258	98
Spain	2.6	0.1	Q29	99
Sri Lanka	7.6	2.3	Q854	100
Sudan	5.5	3.4	Q1049	101
Sweden	0.7	1.5	Q34	102
Switzerland	0.9	1.5	Q39	103
Tanzania	-8.8	6.4	Q924	104
Thailand	6.0	2.5	Q869	105
Togo	0.0	10.2	Q945	106
Turkey	4.6	5.7	Q43	107
Uganda	6.4	4.3	Q1036	108
Ukraine	-4.1	0.9	Q212	109
United Kingdom	1.4	1.1	Q145	110
United States	1.0	0.0	Q30	111
Uruguay	2.6	2.5	Q77	112
Vietnam	3.2	7.0	Q881	113
West Bank and Gaza	12.5	2.6	Q407199	114
