Country	Totaldebt2010	Totaldebt2018	ID	id_row
Albania	69.6	80.7	Q222	0
Australia	0.0	0.1	Q408	1
Bahamas, The	33.7	51.4	Q778	2
Barbados	95.7	141.7	Q244	3
Belarus	18.9	40.0	Q184	4
Bhutan	56.2	110.7	Q917	5
Bosnia and Herzegovina	45.8	52.9	Q225	6
Botswana	21.6	15.2	Q963	7
Brazil	61.3	73.4	Q155	8
Colombia	72.5	57.4	Q739	9
El Salvador	57.5	52.1	Q792	10
Georgia	35.0	42.1	Q230	11
Guatemala	24.4	23.0	Q774	12
Hungary	80.8	96.2	Q28	13
Iceland	102.4	73.5	Q189	14
Indonesia	26.2	31.4	Q252	15
Ireland	82.6	84.8	Q27	16
Jamaica	136.2	122.7	Q766	17
Japan	162.3	196.6	Q17	18
Jordan	60.5	75.4	Q810	19
Kazakhstan	9.5	16.8	Q232	20
Korea, Rep.	32.4	38.1	Q884	21
Malawi	28.0	48.7	Q1020	22
Malaysia	49.6	51.9	Q833	23
Marshall Islands	64.9	48.9	Q709	24
Micronesia, Fed. Sts.	24.2	25.4	Q702	25
Moldova	21.9	31.9	Q217	26
New Zealand	34.9	42.3	Q664	27
Palau	33.2	67.5	Q695	28
Peru	23.7	23.2	Q419	29
Russian Federation	9.1	14.2	Q159	30
San Marino	55.0	57.3	Q238	31
Seychelles	75.4	63.3	Q1042	32
Singapore	101.4	109.2	Q334	33
Solomon Islands	15.9	7.0	Q685	34
Spain	54.0	104.6	Q29	35
Sri Lanka	71.6	77.7	Q854	36
Switzerland	21.6	19.7	Q39	37
Thailand	26.9	35.3	Q869	38
Tonga	49.0	51.8	Q678	39
Turkey	47.4	31.9	Q43	40
Ukraine	30.0	71.8	Q212	41
United Kingdom	81.7	115.0	Q145	42
United States	85.5	99.0	Q30	43
Uruguay	44.2	50.7	Q77	44
Zambia	18.0	49.4	Q953	45
