Country	Goveernment2010	Goveernment2018	ID	id_row
Afghanistan	50.9	36.7	Q889	0
Albania	23.0	23.3	Q222	1
Angola	25.6	16.7	Q916	2
Armenia	23.0	22.1	Q399	3
Australia	26.8	26.1	Q408	4
Austria	46.4	43.7	Q40	5
Azerbaijan	20.9	21.4	Q227	6
Bahamas, The	13.8	17.9	Q778	7
Bangladesh	9.3	9.4	Q902	8
Barbados	34.4	33.8	Q244	9
Belarus	30.2	28.2	Q184	10
Belgium	43.6	39.8	Q31	11
Belize	25.0	27.6	Q242	12
Bhutan	22.2	20.4	Q917	13
Bosnia and Herzegovina	39.2	35.0	Q225	14
Botswana	33.1	23.6	Q963	15
Brazil	30.8	36.0	Q155	16
Bulgaria	31.9	32.7	Q219	17
Burkina Faso	10.6	17.0	Q965	18
Cabo Verde	25.6	28.4	Q1011	19
Cambodia	10.6	15.0	Q424	20
Cameroon	13.2	11.7	Q1009	21
Canada	19.1	17.6	Q16	22
Central African Republic	16.3	10.1	Q929	23
Chile	20.1	22.4	Q298	24
Macao SAR, China	14.8	15.1	Q14773	25
Colombia	25.4	27.5	Q739	26
Congo, Rep.	11.8	21.4	Q971	27
Costa Rica	25.9	29.8	Q800	28
Cote d'Ivoire	14.9	14.9	Q1008	29
Croatia	41.3	38.9	Q224	30
Cyprus	39.1	39.8	Q229	31
Czech Republic	35.2	32.6	Q213	32
Denmark	42.3	37.2	Q35	33
Dominican Republic	14.2	15.7	Q786	34
Egypt, Arab Rep.	28.9	30.2	Q79	35
El Salvador	24.1	24.6	Q792	36
Equatorial Guinea	5.6	10.2	Q983	37
Estonia	37.6	35.4	Q191	38
Ethiopia	12.5	10.8	Q115	39
Fiji	23.7	28.3	Q712	40
Finland	38.4	37.3	Q33	41
France	49.3	47.0	Q142	42
Gabon	16.3	13.7	Q1000	43
Georgia	25.1	21.4	Q230	44
Germany	31.4	28.1	Q183	45
Ghana	20.2	18.1	Q117	46
Greece	50.5	46.6	Q41	47
Guatemala	12.7	12.5	Q774	48
Honduras	22.7	22.0	Q783	49
Hungary	43.9	40.4	Q28	50
Iceland	36.8	29.5	Q189	51
India	16.5	14.9	Q668	52
Indonesia	14.0	14.8	Q252	53
Ireland	62.2	23.3	Q27	54
Israel	38.0	37.0	Q801	55
Italy	42.8	42.5	Q38	56
Jamaica	28.9	26.6	Q766	57
Japan	17.4	16.3	Q17	58
Jordan	26.6	27.0	Q810	59
Kazakhstan	16.5	14.7	Q232	60
Kiribati	63.9	76.7	Q710	61
Korea, Rep.	17.6	25.0	Q884	62
Kuwait	42.2	52.0	Q817	63
Latvia	55.5	42.6	Q211	64
Lebanon	25.8	29.3	Q822	65
Lesotho	41.9	39.0	Q1013	66
Lithuania	39.6	32.3	Q37	67
Luxembourg	39.9	38.4	Q32	68
Madagascar	7.7	9.8	Q1019	69
Malawi	18.5	21.3	Q1020	70
Malaysia	18.2	15.9	Q833	71
Mali	12.8	12.3	Q912	72
Malta	40.6	35.1	Q233	73
Marshall Islands	52.0	57.9	Q709	74
Mauritius	22.0	23.3	Q1027	75
Mexico	21.4	20.4	Q96	76
Micronesia, Fed. Sts.	16.8	21.5	Q702	77
Moldova	29.1	27.3	Q217	78
Mongolia	22.9	22.6	Q711	79
Morocco	27.1	24.7	Q1028	80
Mozambique	20.2	20.1	Q1029	81
Myanmar	10.6	13.9	Q836	82
Namibia	28.5	33.6	Q1030	83
Nepal	15.6	19.4	Q837	84
Netherlands	41.6	37.6	Q55	85
New Zealand	34.2	30.3	Q664	86
Nicaragua	15.0	16.8	Q811	87
North Macedonia	30.1	28.0	Q221	88
Norway	34.9	37.7	Q20	89
Palau	52.1	41.4	Q695	90
Paraguay	11.8	15.1	Q733	91
Peru	17.8	19.8	Q419	92
Philippines	13.8	14.2	Q928	93
Poland	36.6	33.5	Q36	94
Portugal	44.0	39.2	Q45	95
Romania	35.4	33.1	Q218	96
Russian Federation	27.4	28.7	Q159	97
Samoa	29.3	27.8	Q683	98
San Marino	37.3	44.8	Q238	99
Saudi Arabia	24.4	30.2	Q851	100
Seychelles	28.6	32.0	Q1042	101
Singapore	12.4	14.8	Q334	102
Slovak Republic	39.9	39.3	Q214	103
Slovenia	43.3	37.9	Q215	104
Solomon Islands	28.5	31.9	Q685	105
South Africa	31.8	35.9	Q258	106
Spain	20.0	19.1	Q29	107
Sri Lanka	16.8	16.3	Q854	108
St. Kitts and Nevis	25.8	24.3	Q763	109
St. Lucia	18.0	17.6	Q760	110
St. Vincent and the Grenadines	25.7	26.4	Q757	111
Sudan	15.0	10.5	Q1049	112
Sweden	33.0	31.7	Q34	113
Switzerland	16.9	17.0	Q39	114
Tanzania	13.2	14.3	Q924	115
Thailand	17.4	18.4	Q869	116
Timor-Leste	83.6	56.5	Q574	117
Togo	14.2	17.9	Q945	118
Tonga	26.2	31.4	Q678	119
Trinidad and Tobago	30.7	35.0	Q754	120
Turkey	33.6	33.9	Q43	121
Ukraine	41.1	33.4	Q212	122
United Arab Emirates	4.1	4.0	Q878	123
United Kingdom	43.0	37.0	Q145	124
United States	26.2	22.3	Q30	125
Uruguay	29.4	35.0	Q77	126
Uzbekistan	15.2	17.1	Q265	127
Vanuatu	22.2	25.9	Q686	128
West Bank and Gaza	9.4	8.3	Q407199	129
Zambia	14.7	19.6	Q953	130
Zimbabwe	16.1	31.4	Q954	131
