Country	Goveernment2010	Goveernment2018	ID	id_row
Afghanistan	11.1	12.2	Q889	0
Albania	23.9	25.5	Q222	1
Angola	35.0	16.4	Q916	2
Argentina	21.2	17.9	Q414	3
Armenia	22.6	22.5	Q399	4
Australia	23.4	25.7	Q408	5
Austria	43.5	43.7	Q40	6
Azerbaijan	46.8	39.4	Q227	7
Bahamas, The	12.8	16.4	Q778	8
Bangladesh	9.7	10.2	Q902	9
Barbados	26.6	29.6	Q244	10
Belarus	30.3	30.8	Q184	11
Belgium	40.4	39.2	Q31	12
Belize	27.7	29.4	Q242	13
Bhutan	22.0	22.2	Q917	14
Bosnia and Herzegovina	38.4	38.9	Q225	15
Botswana	36.3	26.7	Q963	16
Brazil	29.0	29.1	Q155	17
Bulgaria	30.6	34.4	Q219	18
Burkina Faso	13.6	16.5	Q965	19
Cabo Verde	26.4	28.8	Q1011	20
Cambodia	11.5	19.9	Q424	21
Cameroon	16.4	15.7	Q1009	22
Canada	16.9	18.3	Q16	23
Central African Republic	9.2	8.8	Q929	24
Chile	21.4	22.0	Q298	25
China	11.2	15.9	Q148	26
Macao SAR, China	36.7	31.7	Q14773	27
Colombia	21.6	21.5	Q739	28
Congo, Rep.	37.8	29.8	Q971	29
Costa Rica	23.1	25.1	Q800	30
Cote d'Ivoire	15.8	12.1	Q1008	31
Croatia	35.7	39.9	Q224	32
Cyprus	36.2	37.9	Q229	33
Czech Republic	30.4	32.5	Q213	34
Denmark	39.9	38.1	Q35	35
Dominican Republic	13.8	15.2	Q786	36
Egypt, Arab Rep.	24.8	21.0	Q79	37
El Salvador	22.0	24.9	Q792	38
Equatorial Guinea	26.6	19.5	Q983	39
Estonia	35.6	34.7	Q191	40
Ethiopia	10.8	9.0	Q115	41
Fiji	24.0	26.4	Q712	42
Finland	35.3	36.7	Q33	43
France	42.9	44.2	Q142	44
Gabon	29.8	16.8	Q1000	45
Georgia	22.7	23.0	Q230	46
Germany	28.0	29.1	Q183	47
Ghana	16.7	15.5	Q117	48
Greece	39.7	46.0	Q41	49
Guatemala	11.1	11.3	Q774	50
Honduras	20.6	23.4	Q783	51
Hungary	38.4	39.0	Q28	52
Iceland	27.7	31.2	Q189	53
India	13.2	12.9	Q668	54
Indonesia	14.5	13.0	Q252	55
Ireland	30.9	24.2	Q27	56
Israel	32.0	31.8	Q801	57
Italy	38.7	39.4	Q38	58
Jamaica	27.4	31.1	Q766	59
Japan	9.9	13.1	Q17	60
Jordan	22.4	24.1	Q810	61
Kazakhstan	21.4	16.0	Q232	62
Kiribati	54.7	99.6	Q710	63
Korea, Rep.	20.1	27.5	Q884	64
Kuwait	64.3	38.6	Q817	65
Latvia	38.2	41.7	Q211	66
Lebanon	20.1	19.2	Q822	67
Lesotho	40.7	36.7	Q1013	68
Lithuania	30.3	31.9	Q37	69
Luxembourg	41.0	41.6	Q32	70
Madagascar	9.8	11.4	Q1019	71
Malawi	17.0	18.5	Q1020	72
Malaysia	19.4	16.1	Q833	73
Mali	15.2	12.4	Q912	74
Malta	38.2	38.2	Q233	75
Marshall Islands	20.3	32.2	Q709	76
Mauritius	22.1	22.6	Q1027	77
Mexico	18.0	18.9	Q96	78
Micronesia, Fed. Sts.	12.2	44.7	Q702	79
Moldova	26.3	27.7	Q217	80
Mongolia	29.0	28.7	Q711	81
Morocco	26.6	25.8	Q1028	82
Mozambique	16.4	23.5	Q1029	83
Myanmar	19.7	13.1	Q836	84
Namibia	28.3	34.1	Q1030	85
Nepal	14.9	22.9	Q837	86
Netherlands	37.7	39.1	Q55	87
New Zealand	32.4	32.6	Q664	88
Nicaragua	14.7	16.9	Q811	89
North Macedonia	28.9	26.9	Q221	90
Norway	47.1	47.4	Q20	91
Palau	20.4	27.3	Q695	92
Paraguay	14.7	17.3	Q733	93
Peru	20.3	19.0	Q419	94
Philippines	12.8	15.5	Q928	95
Poland	31.9	34.5	Q36	96
Portugal	34.4	38.1	Q45	97
Romania	30.7	30.1	Q218	98
Russian Federation	26.1	27.3	Q159	99
Samoa	27.3	33.1	Q683	100
San Marino	37.4	41.6	Q238	101
Saudi Arabia	37.4	30.7	Q851	102
Seychelles	32.8	37.7	Q1042	103
Singapore	16.8	18.4	Q334	104
Slovak Republic	33.1	38.4	Q214	105
Slovenia	38.8	39.2	Q215	106
Solomon Islands	31.3	33.8	Q685	107
South Africa	28.1	31.6	Q258	108
Spain	14.8	16.3	Q29	109
Sri Lanka	12.7	13.4	Q854	110
St. Kitts and Nevis	24.7	27.9	Q763	111
St. Lucia	19.3	19.4	Q760	112
St. Vincent and the Grenadines	26.3	27.2	Q757	113
Sudan	12.2	9.5	Q1049	114
Sweden	33.5	33.6	Q34	115
Switzerland	17.3	18.0	Q39	116
Tanzania	10.4	13.7	Q924	117
Thailand	19.0	19.5	Q869	118
Timor-Leste	274.5	68.1	Q574	119
Togo	17.5	20.3	Q945	120
Tonga	19.9	25.6	Q678	121
Trinidad and Tobago	32.9	30.5	Q754	122
Turkey	31.7	30.8	Q43	123
Ukraine	34.4	32.1	Q212	124
United Arab Emirates	3.4	3.4	Q878	125
United Kingdom	34.4	35.3	Q145	126
United States	16.5	17.2	Q30	127
Uruguay	29.9	34.4	Q77	128
Uzbekistan	24.4	22.3	Q265	129
Vanuatu	17.9	30.6	Q686	130
West Bank and Gaza	6.5	6.9	Q407199	131
Zambia	14.4	18.9	Q953	132
Zimbabwe	19.4	23.2	Q954	133
