Country	GCF2010	GCF2019	ID	id_row
Afghanistan	18.0	18.0	Q889	0
Albania	30.0	25.0	Q222	1
Algeria	41.0	44.0	Q262	2
Angola	28.0	18.0	Q916	3
Argentina	18.0	18.0	Q414	4
Armenia	39.0	17.0	Q399	5
Aruba	29.0	21.0	Q21203	6
Australia	27.0	23.0	Q408	7
Austria	23.0	25.0	Q40	8
Azerbaijan	18.0	20.0	Q227	9
Bahamas, The	28.0	25.0	Q778	10
Bahrain	27.0	36.0	Q398	11
Bangladesh	26.0	32.0	Q902	12
Barbados	16.0	16.0	Q244	13
Belarus	41.0	29.0	Q184	14
Belgium	23.0	25.0	Q31	15
Belize	16.0	19.0	Q242	16
Benin	16.0	26.0	Q962	17
Bhutan	63.0	47.0	Q917	18
Bolivia	17.0	20.0	Q750	19
Bosnia and Herzegovina	16.0	21.0	Q225	20
Botswana	41.0	33.0	Q963	21
Brazil	22.0	15.0	Q155	22
Brunei Darussalam	24.0	39.0	Q921	23
Bulgaria	23.0	19.0	Q219	24
Burkina Faso	22.0	26.0	Q965	25
Burundi	17.0	12.0	Q967	26
Cabo Verde	48.0	35.0	Q1011	27
Cambodia	17.0	24.0	Q424	28
Cameroon	23.0	24.0	Q1009	29
Canada	24.0	23.0	Q16	30
Central African Republic	17.0	23.0	Q929	31
Chad	34.0	21.0	Q657	32
Chile	23.0	23.0	Q298	33
China	47.0	44.0	Q148	34
Hong Kong SAR, China	24.0	19.0	Q8646	35
Macao SAR, China	13.0	14.0	Q14773	36
Colombia	22.0	22.0	Q739	37
Comoros	18.0	15.0	Q970	38
Congo, Dem. Rep.	29.0	25.0	Q974	39
Congo, Rep.	21.0	19.0	Q971	40
Costa Rica	20.0	18.0	Q800	41
Cote d'Ivoire	13.0	21.0	Q1008	42
Croatia	21.0	23.0	Q224	43
Cuba	10.0	12.0	Q241	44
Cyprus	24.0	19.0	Q229	45
Czech Republic	27.0	26.0	Q213	46
Denmark	18.0	23.0	Q35	47
Dominican Republic	26.0	27.0	Q786	48
Ecuador	28.0	25.0	Q736	49
Egypt, Arab Rep.	20.0	17.0	Q79	50
El Salvador	17.0	19.0	Q792	51
Equatorial Guinea	38.0	13.0	Q983	52
Estonia	22.0	28.0	Q191	53
Eswatini	14.0	13.0	Q1050	54
