Country	averageannual19902000	averageannual20002019	ID	id_row
Algeria	17.4	7.4	Q262	0
Argentina	7.4	-0.9	Q414	1
Armenia	0.1	-1.4	Q399	2
Australia	5.2	0.5	Q408	3
Austria	2.5	2.5	Q40	4
Bahamas, The	9.8	0.8	Q778	5
Bangladesh	8.6	8.8	Q902	6
Belarus	-7.5	-3.1	Q184	7
Belgium	2.5	2.7	Q31	8
Belize	4.2	6.5	Q242	9
Benin	5.0	14.3	Q962	10
Bolivia	8.5	7.8	Q750	11
Botswana	4.6	1.9	Q963	12
Brazil	3.8	-3.4	Q155	13
Brunei Darussalam	1.2	2.6	Q921	14
Bulgaria	33.1	1.3	Q219	15
Burkina Faso	3.1	8.2	Q965	16
Cambodia	10.3	9.8	Q424	17
Cameroon	1.0	6.0	Q1009	18
Canada	4.3	0.5	Q16	19
Chile	9.7	1.0	Q298	20
China	7.7	6.7	Q148	21
Hong Kong SAR, China	4.8	0.9	Q8646	22
Macao SAR, China	-3.2	4.1	Q14773	23
Colombia	3.9	3.7	Q739	24
Comoros	1.6	9.9	Q970	25
Congo, Dem. Rep.	1.7	8.6	Q974	26
Congo, Rep.	2.2	-9.1	Q971	27
Costa Rica	7.1	3.3	Q800	28
Croatia	6.2	3.8	Q224	29
Cuba	-7.8	5.5	Q241	30
Cyprus	-3.9	0.5	Q229	31
Czech Republic	5.2	2.7	Q213	32
Denmark	5.3	4.5	Q35	33
Dominican Republic	14.2	6.5	Q786	34
Ecuador	-0.6	0.6	Q736	35
Egypt, Arab Rep.	6.7	4.7	Q79	36
El Salvador	6.3	3.0	Q792	37
Estonia	12.4	6.0	Q191	38
Eswatini	-4.4	4.8	Q1050	39
Finland	3.6	1.6	Q33	40
France	1.8	2.2	Q142	41
Gabon	3.0	1.9	Q1000	42
Germany	1.1	2.1	Q183	43
Greece	3.5	-4.1	Q41	44
Guatemala	7.2	1.9	Q774	45
Haiti	7.3	4.3	Q790	46
Honduras	7.5	4.0	Q783	47
Hungary	9.3	4.4	Q28	48
Iceland	6.1	10.1	Q189	49
India	7.3	4.6	Q668	50
Indonesia	-1.4	5.5	Q252	51
Iran, Islamic Rep.	-0.4	-3.0	Q794	52
Ireland	9.7	18.2	Q27	53
Israel	6.6	5.1	Q801	54
Italy	1.8	-0.6	Q38	55
Japan	-0.3	2.4	Q17	56
Jordan	0.4	3.7	Q810	57
Kazakhstan	-18.3	5.9	Q232	58
Kenya	6.1	4.4	Q114	59
Korea, Rep.	4.8	3.4	Q884	60
Kyrgyz Republic	-3.8	9.6	Q813	61
Latvia	17.1	3.4	Q211	62
Lebanon	10.5	1.2	Q822	63
Lesotho	10.6	4.4	Q1013	64
Lithuania	11.6	3.7	Q37	65
Luxembourg	5.9	3.0	Q32	66
Madagascar	3.5	1.7	Q1019	67
Malaysia	5.3	4.8	Q833	68
Mali	2.8	2.4	Q912	69
Mauritania	7.1	0.5	Q1025	70
Mauritius	4.5	0.9	Q1027	71
Mexico	3.2	1.2	Q96	72
Moldova	-2.8	5.6	Q217	73
Morocco	4.2	3.2	Q1028	74
Mozambique	16.4	9.4	Q1029	75
Namibia	7.6	-0.7	Q1030	76
Netherlands	4.1	3.2	Q55	77
New Zealand	5.9	5.5	Q664	78
Nicaragua	10.8	1.2	Q811	79
Niger	5.6	4.6	Q1032	80
Nigeria	-1.0	2.5	Q1033	81
North Macedonia	1.7	5.8	Q221	82
Norway	5.6	2.1	Q20	83
Pakistan	1.8	5.3	Q843	84
Panama	10.6	8.3	Q804	85
Paraguay	1.1	3.0	Q733	86
Peru	7.4	1.4	Q419	87
Philippines	2.1	11.4	Q928	88
Poland	11.2	3.7	Q36	89
Portugal	5.7	0.9	Q45	90
Puerto Rico	7.5	-2.1	Q1183	91
Romania	1.9	2.4	Q218	92
Russian Federation	-18.2	-1.1	Q159	93
Rwanda	2.8	10.6	Q1037	94
Senegal	3.5	14.4	Q1041	95
Serbia	-10.3	5.3	Q403	96
Singapore	6.9	3.7	Q334	97
Slovak Republic	8.3	3.1	Q214	98
Slovenia	10.0	1.4	Q215	99
South Africa	4.6	0.8	Q258	100
Spain	3.2	1.9	Q29	101
Sri Lanka	6.1	5.4	Q854	102
Sudan	19.0	-0.6	Q1049	103
Sweden	1.4	3.7	Q34	104
Switzerland	0.9	-0.1	Q39	105
Tanzania	-1.0	10.1	Q924	106
Thailand	-4.2	2.1	Q869	107
Togo	-0.1	8.5	Q945	108
Turkey	4.9	4.5	Q43	109
Uganda	8.4	5.5	Q1036	110
Ukraine	-18.5	-1.8	Q212	111
United Kingdom	4.7	3.1	Q145	112
United States	6.4	4.0	Q30	113
Uruguay	5.5	-0.8	Q77	114
Vietnam	19.8	7.0	Q881	115
West Bank and Gaza	7.8	4.1	Q407199	116
