Country	HDI2018data2019report	AverageannualHDIgrowth20102018	ID	id_row
Norway	954.0	0.16	Q20	0
Switzerland	946.0	0.18	Q39	1
Ireland	942.0	0.71	Q27	2
Germany	939.0	0.25	Q183	3
Hong Kong	939.0	0.51	Q8646	4
Australia	938.0	0.17	Q408	5
Iceland	938.0	0.64	Q189	6
Sweden	937.0	0.42	Q34	7
Singapore	935.0	0.35	Q334	8
Netherlands	933.0	0.31	Q55	9
Denmark	930.0	0.27	Q35	10
Finland	925.0	0.3	Q33	11
Canada	922.0	0.38	Q16	12
New Zealand	921.0	0.3	Q664	13
United Kingdom	920.0	0.21	Q145	14
United States	920.0	0.12	Q30	15
Belgium	919.0	0.22	Q31	16
Liechtenstein	917.0	0.17	Q347	17
Japan	915.0	0.42	Q17	18
Austria	914.0	0.26	Q40	19
Luxembourg	909.0	0.22	Q32	20
Israel	906.0	0.27	Q801	21
South Korea	906.0	0.33	Q884	22
Slovenia	902.0	0.29	Q215	23
Spain	893.0	0.4	Q29	24
Czech Republic	891.0	0.41	Q213	25
France	891.0	0.27	Q142	26
Malta	885.0	0.55	Q233	27
Italy	883.0	0.17	Q38	28
Estonia	882.0	0.54	Q191	29
Cyprus	873.0	0.34	Q229	30
Greece	872.0	0.22	Q41	31
Poland	872.0	0.54	Q36	32
Lithuania	869.0	0.67	Q37	33
United Arab Emirates	866.0	0.68	Q878	34
Andorra	857.0	0.43	Q228	35
Saudi Arabia	857.0	0.71	Q851	36
Slovakia	857.0	0.42	Q214	37
Latvia	854.0	0.56	Q211	38
Portugal	850.0	0.42	Q45	39
Qatar	848.0	0.22	Q846	40
Chile	847.0	0.71	Q298	41
Brunei	845.0	0.19	Q921	42
Hungary	845.0	0.28	Q28	43
Bahrain	838.0	0.64	Q398	44
Croatia	837.0	0.41	Q224	45
Oman	834.0	0.63	Q842	46
Argentina	830.0	0.18	Q414	47
Russia	824.0	0.69	Q159	48
Belarus	817.0	0.39	Q184	49
Kazakhstan	817.0	0.84	Q232	50
Bulgaria	816.0	0.58	Q219	51
Montenegro	816.0	0.36	Q236	52
Romania	816.0	0.29	Q218	53
Palau	814.0	0.6	Q695	54
Barbados	813.0	0.22	Q244	55
Kuwait	808.0	0.22	Q817	56
Uruguay	808.0	0.54	Q77	57
Turkey	806.0	1.03	Q43	58
Bahamas	805.0	0.16	Q778	59
