Country	Exports	ID	id_row
Albania	0.0	Q222	0
Algeria	0.6	Q262	1
Andorra	28.5	Q228	2
Angola	5.3	Q916	3
Antigua and Barbuda	0.6	Q781	4
Argentina	5.3	Q414	5
Armenia	7.1	Q399	6
Aruba	8.3	Q21203	7
Australia	16.7	Q408	8
Austria	11.6	Q40	9
Azerbaijan	4.0	Q227	10
Bahrain	0.4	Q398	11
Bangladesh	0.3	Q902	12
Belarus	4.0	Q184	13
Belgium	10.4	Q31	14
Belize	0.1	Q242	15
Benin	2.8	Q962	16
Bermuda	17.1	Q23635	17
Bolivia	4.9	Q750	18
Bosnia and Herzegovina	5.2	Q225	19
Botswana	0.7	Q963	20
Brazil	13.0	Q155	21
Brunei Darussalam	0.0	Q921	22
Bulgaria	10.3	Q219	23
Burkina Faso	6.0	Q965	24
Burundi	17.0	Q967	25
Cambodia	1.4	Q424	26
Cameroon	4.9	Q1009	27
Canada	15.8	Q16	28
Cabo Verde	0.0	Q1011	29
Central African Republic	27.9	Q929	30
Chile	6.4	Q298	31
China	31.4	Q148	32
Hong Kong SAR, China	64.6	Q8646	33
Colombia	7.3	Q739	34
Comoros	0.2	Q970	35
Congo, Rep.	2.2	Q971	36
Costa Rica	18.5	Q800	37
Cote d'Ivoire	6.8	Q1008	38
Croatia	8.9	Q224	39
Cyprus	19.9	Q229	40
Czech Republic	19.6	Q213	41
Denmark	13.09	Q35	42
Dominican Republic	8.6	Q786	43
Ecuador	5.3	Q736	44
Egypt, Arab Rep.	0.9	Q79	45
El Salvador	6.1	Q792	46
Estonia	16.8	Q191	47
Ethiopia	51.8	Q115	48
Fiji	2.9	Q712	49
Finland	8.9	Q33	50
France	25.9	Q142	51
French Polynesia	11.8	Q30971	52
Gambia, The	0.2	Q1005	53
Georgia	3.3	Q230	54
Germany	15.08	Q183	55
Ghana	8.3	Q117	56
Greece	12.8	Q41	57
Greenland	1.7	Q223	58
Guatemala	4.9	Q774	59
Guinea	1.0	Q1006	60
Guyana	0.1	Q734	61
Honduras	3.1	Q783	62
Hungary	16.9	Q28	63
Iceland	23.05	Q189	64
India	9.0	Q668	65
Indonesia	8.0	Q252	66
Iran, Islamic Rep.	1.3	Q794	67
Ireland	24.7	Q27	68
Israel	22.8	Q801	69
Italy	7.5	Q38	70
Jamaica	2.1	Q766	71
Japan	17.3	Q17	72
Jordan	2.9	Q810	73
Kazakhstan	22.0	Q232	74
Kenya	3.6	Q114	75
Kiribati	2.8	Q710	76
Korea, Rep.	36.3	Q884	77
Kuwait	4.1	Q817	78
Kyrgyz Republic	8.1	Q813	79
Lao PDR	37.1	Q819	80
Latvia	20.3	Q211	81
Lebanon	2.4	Q822	82
Lesotho	0.2	Q1013	83
Lithuania	12.1	Q37	84
Luxembourg	7.0	Q32	85
North Macedonia	4.0	Q221	86
Madagascar	0.3	Q1019	87
Malawi	11.5	Q1020	88
Malaysia	52.8	Q833	89
Maldives	0.1	Q826	90
Mali	1.2	Q912	91
Malta	32.2	Q233	92
Mauritania	0.0	Q1025	93
Mauritius	2.6	Q1027	94
Mexico	21.1	Q96	95
Moldova	2.5	Q217	96
Mongolia	5.0	Q711	97
Montenegro	3.2	Q236	98
Morocco	4.0	Q1028	99
Mozambique	5.6	Q1029	100
Myanmar	4.3	Q836	101
Namibia	0.2	Q1030	102
Nepal	1.2	Q837	103
Netherlands	22.7	Q55	104
New Caledonia	5.3	Q33788	105
New Zealand	9.7	Q664	106
Nicaragua	0.7	Q811	107
Niger	3.0	Q1032	108
Nigeria	1.9	Q1033	109
Norway	21.02	Q20	110
Oman	1.3	Q842	111
Pakistan	2.2	Q843	112
Palau	51.7	Q695	113
Panama	9.2	Q804	114
Paraguay	9.7	Q733	115
Peru	4.6	Q419	116
Philippines	61.1	Q928	117
Poland	10.6	Q36	118
Portugal	5.3	Q45	119
Qatar	0.0	Q846	120
Romania	10.1	Q218	121
Russian Federation	11.0	Q159	122
Rwanda	12.5	Q1037	123
Samoa	3.1	Q683	124
Sao Tome and Principe	46.0	Q1039	125
Saudi Arabia	0.6	Q851	126
Senegal	2.8	Q1041	127
Seychelles	5.3	Q1042	128
Sierra Leone	0.1	Q1044	129
Singapore	51.7	Q334	130
Slovak Republic	10.6	Q214	131
Slovenia	6.8	Q215	132
Solomon Islands	1.4	Q685	133
South Africa	5.3	Q258	134
Spain	7.2	Q29	135
Sri Lanka	1.0	Q854	136
St. Kitts and Nevis	34.6	Q763	137
St. Lucia	4.6	Q760	138
St. Vincent and the Grenadines	0.0	Q757	139
Suriname	7.9	Q730	140
Eswatini	0.9	Q1050	141
Sweden	14.4	Q34	142
Switzerland	13.4	Q39	143
Tanzania	6.9	Q924	144
Thailand	23.3	Q869	145
Togo	0.2	Q945	146
Trinidad and Tobago	0.1	Q754	147
Tunisia	7.4	Q948	148
Turkey	2.3	Q43	149
Uganda	3.5	Q1036	150
Ukraine	5.4	Q212	151
United Arab Emirates	10.8	Q878	152
United Kingdom	22.6	Q145	153
United States	18.9	Q30	154
Uruguay	7.2	Q77	155
Uzbekistan	0.5	Q265	156
Vietnam	40.2	Q881	157
West Bank and Gaza	0.7	Q407199	158
Yemen, Rep.	8.0	Q805	159
Zambia	2.0	Q953	160
Zimbabwe	2.1	Q954	161
