Country	Consumption2010	Consumption2019	ID	id_row
Afghanistan	100.1	78.8	Q889	0
Albania	78.1	80.3	Q222	1
Algeria	34.3	44.0	Q262	2
American Samoa	69.8	74.2	Q16641	3
Angola	35.8	56.4	Q916	4
Argentina	64.2	64.4	Q414	5
Armenia	86.3	84.5	Q399	6
Aruba	60.5	60.8	Q21203	7
Australia	56.2	55.6	Q408	8
Austria	53.5	51.6	Q40	9
Azerbaijan	39.4	56.7	Q227	10
Bahamas, The	61.7	69.0	Q778	11
Bahrain	41.2	39.6	Q398	12
Bangladesh	74.1	69.0	Q902	13
Barbados	77.8	78.4	Q244	14
Belarus	55.6	55.1	Q184	15
Belgium	51.4	51.4	Q31	16
Belize	70.4	68.5	Q242	17
Benin	78.5	68.4	Q962	18
Bhutan	45.3	60.5	Q917	19
Bolivia	62.3	68.4	Q750	20
Bosnia and Herzegovina	84.8	76.2	Q225	21
Botswana	49.1	51.2	Q963	22
Brazil	60.2	64.9	Q155	23
Brunei Darussalam	14.7	20.5	Q921	24
Bulgaria	63.6	59.5	Q219	25
Burkina Faso	71.6	64.3	Q965	26
Burundi	81.0	77.5	Q967	27
Cabo Verde	63.0	61.6	Q1011	28
Cambodia	81.3	69.4	Q424	29
Cameroon	70.2	72.0	Q1009	30
Canada	57.1	57.8	Q16	31
Central African Republic	82.3	86.3	Q929	32
Chad	65.5	76.1	Q657	33
Chile	58.3	63.0	Q298	34
China	34.3	38.5	Q148	35
Hong Kong SAR, China	61.4	68.5	Q8646	36
Macao SAR, China	23.4	25.4	Q14773	37
Colombia	65.9	68.5	Q739	38
Comoros	91.0	91.3	Q970	39
Congo, Dem. Rep.	72.4	70.8	Q974	40
Congo, Rep.	38.6	31.0	Q971	41
Costa Rica	65.4	63.3	Q800	42
Cote d'Ivoire	67.1	67.9	Q1008	43
Croatia	60.1	58.1	Q224	44
Cuba	50.3	56.0	Q241	45
Cyprus	65.8	64.9	Q229	46
Czech Republic	49.0	47.4	Q213	47
Denmark	47.6	46.5	Q35	48
Dominican Republic	74.3	69.6	Q786	49
Ecuador	63.3	60.5	Q736	50
Egypt, Arab Rep.	74.6	85.4	Q79	51
El Salvador	87.3	83.0	Q792	52
Equatorial Guinea	23.4	57.9	Q983	53
Estonia	52.1	48.7	Q191	54
Eswatini	74.6	66.5	Q1050	55
Ethiopia	72.4	68.5	Q115	56
Finland	52.6	52.6	Q33	57
France	55.4	53.7	Q142	58
Gabon	30.6	38.6	Q1000	59
Gambia, The	93.3	90.9	Q1005	60
Georgia	81.2	69.3	Q230	61
Germany	55.1	52.3	Q183	62
Ghana	93.6	69.0	Q117	63
Greece	69.4	68.0	Q41	64
Greenland	43.2	36.2	Q223	65
Guam	57.5	58.4	Q16635	66
Guatemala	86.1	84.9	Q774	67
Guinea	80.0	68.5	Q1006	68
Guinea-Bissau	100.3	100.4	Q1007	69
