Country	averageannual19902000	averageannual20002019	ID	id_row
Algeria	19.3	3.8	Q262	0
Argentina	2.8	0.7	Q414	1
Armenia	5.5	2.6	Q399	2
Australia	3.4	2.5	Q408	3
Austria	1.9	0.8	Q40	4
Bahamas, The	3.6	1.7	Q778	5
Bangladesh	2.5	5.5	Q902	6
Belarus	-0.5	3.8	Q184	7
Belgium	1.9	1.4	Q31	8
Belize	9.2	1.7	Q242	9
Benin	4.1	3.5	Q962	10
Bolivia	3.6	4.8	Q750	11
Botswana	5.1	4.0	Q963	12
Brazil	3.8	0.8	Q155	13
Brunei Darussalam	3.0	3.0	Q921	14
Bulgaria	-3.8	2.8	Q219	15
Burkina Faso	5.7	4.2	Q965	16
Cambodia	6.0	5.6	Q424	17
Cameroon	4.4	4.7	Q1009	18
Canada	2.8	2.4	Q16	19
Chile	7.6	3.6	Q298	20
China	8.5	9.4	Q148	21
Hong Kong SAR, China	3.8	4.1	Q8646	22
Macao SAR, China	3.6	4.1	Q14773	23
Colombia	2.4	3.5	Q739	24
Comoros	1.6	2.8	Q970	25
Congo, Dem. Rep.	-1.0	6.0	Q974	26
Congo, Rep.	5.3	-4.8	Q971	27
Costa Rica	4.2	3.9	Q800	28
Croatia	2.5	0.7	Q224	29
Cuba	-1.0	4.2	Q241	30
Cyprus	7.0	0.9	Q229	31
Czech Republic	2.5	2.3	Q213	32
Denmark	2.2	1.5	Q35	33
Dominican Republic	4.9	4.7	Q786	34
Ecuador	2.3	1.8	Q736	35
Egypt, Arab Rep.	3.9	4.1	Q79	36
El Salvador	3.5	2.2	Q792	37
Estonia	6.3	3.9	Q191	38
Eswatini	7.4	1.3	Q1050	39
Finland	2.0	1.1	Q33	40
France	1.8	1.0	Q142	41
Gabon	-0.3	3.8	Q1000	42
Germany	1.6	1.4	Q183	43
Greece	2.6	-1.4	Q41	44
Guatemala	4.2	4.0	Q774	45
Hungary	0.8	2.8	Q28	46
Iceland	3.4	4.2	Q189	47
India	5.0	7.0	Q668	48
Indonesia	5.9	5.2	Q252	49
Iran, Islamic Rep.	2.6	0.2	Q794	50
Ireland	5.5	2.3	Q27	51
Israel	6.8	4.1	Q801	52
Italy	1.6	0.1	Q38	53
Japan	1.5	0.5	Q17	54
Jordan	4.6	2.4	Q810	55
Kazakhstan	-7.9	4.7	Q232	56
Kenya	3.6	5.9	Q114	57
Korea, Rep.	5.8	2.3	Q884	58
Kyrgyz Republic	-7.3	4.1	Q813	59
Latvia	3.3	3.0	Q211	60
Lebanon	8.1	1.7	Q822	61
Lesotho	14.4	-0.2	Q1013	62
Lithuania	5.5	3.8	Q37	63
Luxembourg	3.5	2.7	Q32	64
Madagascar	2.4	2.5	Q1019	65
Malaysia	5.3	6.9	Q833	66
Mali	2.6	5.2	Q912	67
Mauritania	3.2	3.6	Q1025	68
Mauritius	5.1	2.9	Q1027	69
Mexico	3.3	2.6	Q96	70
Moldova	6.7	3.5	Q217	71
Morocco	3.5	3.4	Q1028	72
Mozambique	4.1	5.1	Q1029	73
Namibia	3.9	6.0	Q1030	74
Netherlands	3.3	0.9	Q55	75
New Zealand	3.3	3.8	Q664	76
Nicaragua	4.9	3.0	Q811	77
Niger	2.0	5.8	Q1032	78
Nigeria	1.3	2.3	Q1033	79
North Macedonia	2.8	2.4	Q221	80
Norway	3.5	2.3	Q20	81
Pakistan	4.9	5.2	Q843	82
Panama	4.0	5.6	Q804	83
Paraguay	2.1	4.1	Q733	84
Peru	3.6	4.5	Q419	85
Philippines	3.9	6.2	Q928	86
Poland	5.8	2.9	Q36	87
Portugal	2.9	0.8	Q45	88
Puerto Rico	4.8	-0.7	Q1183	89
Romania	1.8	5.3	Q218	90
Rwanda	2.6	5.1	Q1037	91
Senegal	2.6	4.3	Q1041	92
Serbia	0.4	0.5	Q403	93
Sierra Leone	-2.4	6.4	Q1044	94
Singapore	6.3	3.7	Q334	95
Slovak Republic	3.9	2.1	Q214	96
Slovenia	3.9	1.1	Q215	97
South Africa	2.9	1.9	Q258	98
Spain	2.2	0.8	Q29	99
Sri Lanka	5.3	5.4	Q854	100
Sudan	3.7	0.9	Q1049	101
Sweden	1.5	2.3	Q34	102
Switzerland	1.2	1.6	Q39	103
Tanzania	5.1	3.6	Q924	104
Thailand	3.9	2.9	Q869	105
Togo	5.0	3.7	Q945	106
Turkey	3.8	4.6	Q43	107
Uganda	6.6	4.4	Q1036	108
Ukraine	-6.9	0.8	Q212	109
United Kingdom	3.4	2.3	Q145	110
United States	3.8	2.5	Q30	111
Uruguay	4.9	2.7	Q77	112
Vietnam	5.4	6.8	Q881	113
West Bank and Gaza	5.5	3.3	Q407199	114
