Country	Institution	ID	id_row
Afghanistan	0.0	Q889	0
Albania	-0.9	Q222	1
Algeria	0.0	Q262	2
Angola	1012.5	Q916	3
Argentina	28623.2	Q414	4
Armenia	-32.9	Q399	5
Azerbaijan	0.0	Q227	6
Bangladesh	-51.8	Q902	7
Belarus	0.0	Q184	8
Belize	0.0	Q242	9
Benin	23.9	Q962	10
Bhutan	0.0	Q917	11
Bolivia	0.0	Q750	12
Bosnia and Herzegovina	-113.7	Q225	13
Botswana	0.0	Q963	14
Brazil	0.0	Q155	15
Bulgaria	0.0	Q219	16
Burkina Faso	-8.6	Q965	17
Burundi	0.0	Q967	18
Cabo Verde	0.0	Q1011	19
Cambodia	0.0	Q424	20
Cameroon	128.2	Q1009	21
Central African Republic	50.1	Q929	22
Chad	0.0	Q657	23
China	0.0	Q148	24
Colombia	0.0	Q739	25
Comoros	-3.2	Q970	26
Congo, Dem. Rep.	-93.8	Q974	27
Congo, Rep.	-2.4	Q971	28
Costa Rica	0.0	Q800	29
Cote d'Ivoire	118.9	Q1008	30
Djibouti	-6.3	Q977	31
Dominica	0.0	Q784	32
Dominican Republic	0.0	Q786	33
Ecuador	0.0	Q736	34
Egypt, Arab Rep.	2028.8	Q79	35
El Salvador	0.0	Q792	36
Eritrea	0.0	Q986	37
Ethiopia	-53.0	Q115	38
Fiji	0.0	Q712	39
Gabon	202.3	Q1000	40
Gambia, The	-7.8	Q1005	41
Georgia	28.3	Q230	42
Ghana	78.4	Q117	43
Grenada	-4.9	Q769	44
Guatemala	0.0	Q774	45
Guinea	48.7	Q1006	46
Guinea-Bissau	0.0	Q1007	47
Guyana	0.0	Q734	48
Haiti	-9.6	Q790	49
Honduras	0.0	Q783	50
India	0.0	Q668	51
Indonesia	0.0	Q252	52
Iran, Islamic Rep.	0.0	Q794	53
Jamaica	-52.5	Q766	54
Jordan	-492.9	Q810	55
Kazakhstan	0.0	Q232	56
Kenya	0.0	Q114	57
Kosovo	-5.0	Q1246	58
Kyrgyz Republic	-29.3	Q813	59
Lao PDR	0.0	Q819	60
Lebanon	0.0	Q822	61
Lesotho	-11.9	Q1013	62
Liberia	0.0	Q1014	63
North Macedonia	0.0	Q221	64
Madagascar	0.0	Q1019	65
Malawi	0.0	Q1020	66
Maldives	-0.6	Q826	67
Mali	116.5	Q912	68
Mauritania	0.0	Q1025	69
Mauritius	0.0	Q1027	70
Mexico	0.0	Q96	71
Moldova	-54.5	Q217	72
Mongolia	103.9	Q711	73
Montenegro	0.0	Q236	74
Morocco	0.0	Q1028	75
Mozambique	0.0	Q1029	76
Myanmar	0.0	Q836	77
Nepal	-8.1	Q837	78
Nicaragua	-18.7	Q811	79
Niger	0.0	Q1032	80
Nigeria	0.0	Q1033	81
Pakistan	-212.4	Q843	82
Papua New Guinea	0.0	Q691	83
Paraguay	0.0	Q733	84
Peru	0.0	Q419	85
Philippines	0.0	Q928	86
Romania	0.0	Q218	87
Russian Federation	0.0	Q159	88
Rwanda	0.0	Q1037	89
Samoa	-2.5	Q683	90
Sao Tome and Principe	0.4	Q1039	91
Senegal	0.0	Q1041	92
Serbia	0.0	Q403	93
Sierra Leone	0.0	Q1044	94
Solomon Islands	0.0	Q685	95
Somalia	0.0	Q1045	96
South Africa	0.0	Q258	97
Sri Lanka	251.7	Q854	98
St. Lucia	-3.0	Q760	99
St. Vincent and the Grenadines	-3.5	Q757	100
Sudan	0.0	Q1049	101
Eswatini	0.0	Q1050	102
Syrian Arab Republic	0.0	Q858	103
Tajikistan	-29.6	Q863	104
Tanzania	-85.4	Q924	105
Thailand	0.0	Q869	106
Timor-Leste	0.0	Q574	107
Togo	46.1	Q945	108
Tonga	0.0	Q678	109
Tunisia	228.1	Q948	110
Turkey	0.0	Q43	111
Turkmenistan	0.0	Q874	112
Uganda	0.0	Q1036	113
Ukraine	-688.7	Q212	114
Uzbekistan	0.0	Q265	115
Vanuatu	-3.0	Q686	116
Venezuela, RB	0.0	Q717	117
Vietnam	0.0	Q881	118
Yemen, Rep.	-27.1	Q805	119
Zambia	-61.3	Q953	120
Zimbabwe	0.0	Q954	121
