Country	averageannual19902000	averageannual20002019	ID	id_row
Algeria	18.6	2.4	Q262	0
Argentina	15.6	1.1	Q414	1
Armenia	-2.1	2.2	Q399	2
Australia	7.8	2.7	Q408	3
Austria	4.8	3.2	Q40	4
Bahamas, The	8.5	0.9	Q778	5
Bangladesh	10.3	4.8	Q902	6
Belarus	-8.7	2.1	Q184	7
Belgium	5.2	3.5	Q31	8
Belize	7.2	3.8	Q242	9
Benin	4.2	9.3	Q962	10
Bolivia	6.0	3.9	Q750	11
Botswana	4.9	3.5	Q963	12
Brazil	12.0	-1.1	Q155	13
Brunei Darussalam	1.9	1.5	Q921	14
Bulgaria	-0.2	5.5	Q219	15
Burkina Faso	2.0	6.4	Q965	16
Cambodia	14.8	9.3	Q424	17
Cameroon	11.0	3.7	Q1009	18
Canada	7.3	2.2	Q16	19
Chile	11.7	1.7	Q298	20
Hong Kong SAR, China	8.4	2.6	Q8646	21
Macao SAR, China	1.7	5.7	Q14773	22
Colombia	9.1	4.6	Q739	23
Comoros	1.6	6.4	Q970	24
Congo, Dem. Rep.	-2.5	5.7	Q974	25
Congo, Rep.	11.8	-7.0	Q971	26
Costa Rica	7.7	4.7	Q800	27
Croatia	4.6	5.2	Q224	28
Cuba	-0.9	0.0	Q241	29
Cyprus	4.2	4.3	Q229	30
Czech Republic	11.7	4.9	Q213	31
Denmark	5.8	3.5	Q35	32
Dominican Republic	9.1	4.1	Q786	33
Ecuador	2.9	1.0	Q736	34
Egypt, Arab Rep.	3.5	7.6	Q79	35
El Salvador	10.3	2.1	Q792	36
Estonia	9.2	4.9	Q191	37
Eswatini	6.2	2.0	Q1050	38
Finland	6.6	2.6	Q33	39
France	5.9	3.7	Q142	40
Gabon	0.1	-0.5	Q1000	41
Germany	5.9	4.0	Q183	42
Greece	8.2	0.8	Q41	43
Guatemala	9.2	3.4	Q774	44
Haiti	16.7	1.0	Q790	45
Honduras	3.8	3.2	Q783	46
Hungary	15.0	5.4	Q28	47
Iceland	5.5	7.3	Q189	48
India	14.5	2.9	Q668	49
Indonesia	5.6	2.4	Q252	50
Iran, Islamic Rep.	-6.2	-10.2	Q794	51
Ireland	14.6	11.1	Q27	52
Israel	8.7	4.0	Q801	53
Italy	4.6	1.9	Q38	54
Japan	3.9	3.3	Q17	55
Jordan	1.4	0.6	Q810	56
Kazakhstan	-11.2	3.8	Q232	57
Kenya	9.4	3.5	Q114	58
Korea, Rep.	9.6	3.6	Q884	59
Kyrgyz Republic	-9.8	2.1	Q813	60
Latvia	7.8	4.7	Q211	61
Lebanon	11.8	3.1	Q822	62
Lesotho	14.9	1.0	Q1013	63
Lithuania	8.8	6.1	Q37	64
Luxembourg	8.3	4.9	Q32	65
Madagascar	4.1	6.5	Q1019	66
Malaysia	10.3	3.0	Q833	67
Mali	3.8	3.9	Q912	68
Mauritania	0.4	0.1	Q1025	69
Mauritius	5.1	3.0	Q1027	70
Mexico	10.4	4.6	Q96	71
Moldova	-0.1	4.6	Q217	72
Morocco	3.7	5.2	Q1028	73
Mozambique	4.6	9.4	Q1029	74
Namibia	5.4	4.2	Q1030	75
Netherlands	7.4	4.3	Q55	76
New Zealand	5.9	5.3	Q664	77
Nicaragua	10.7	3.0	Q811	78
Niger	5.1	2.6	Q1032	79
Nigeria	2.8	-5.7	Q1033	80
North Macedonia	7.5	8.7	Q221	81
Norway	5.8	2.8	Q20	82
Pakistan	2.5	6.3	Q843	83
Panama	2.8	1.4	Q804	84
Paraguay	2.2	2.6	Q733	85
Peru	9.0	3.5	Q419	86
Philippines	8.5	11.3	Q928	87
Poland	15.6	6.1	Q36	88
Portugal	7.6	4.5	Q45	89
Romania	5.5	9.0	Q218	90
Russian Federation	-6.2	-1.2	Q159	91
Rwanda	9.6	11.4	Q1037	92
Senegal	2.0	8.1	Q1041	93
Serbia	5.4	6.5	Q403	94
Sierra Leone	-0.2	8.1	Q1044	95
Singapore	11.4	3.9	Q334	96
Slovak Republic	4.9	5.1	Q214	97
Slovenia	5.4	4.5	Q215	98
South Africa	7.1	2.2	Q258	99
Spain	9.0	2.7	Q29	100
Sri Lanka	8.6	5.9	Q854	101
Sudan	10.9	-4.8	Q1049	102
Sweden	6.3	4.0	Q34	103
Switzerland	4.1	2.0	Q39	104
Tanzania	4.8	1.4	Q924	105
Thailand	5.6	1.8	Q869	106
Togo	1.1	4.2	Q945	107
Turkey	10.8	2.9	Q43	108
Uganda	10.2	3.4	Q1036	109
Ukraine	-6.6	-2.3	Q212	110
United Kingdom	6.2	3.6	Q145	111
United States	9.8	3.8	Q30	112
Uruguay	9.8	0.1	Q77	113
Uzbekistan	-7.4	7.8	Q265	114
Vietnam	19.5	14.0	Q881	115
West Bank and Gaza	7.5	3.6	Q407199	116
Zimbabwe	3.1	5.3	Q954	117
