Country	Imports2007	Imports2017	ID	id_row
American Samoa	79.1	74.9	Q16641	0
Cambodia	50.4	32.7	Q424	1
China	66.8	65.1	Q148	2
Fiji	87.0	72.0	Q712	3
Indonesia	62.6	51.7	Q252	4
Kiribati	85.0	60.0	Q710	5
Korea, Dem. Peopleâ€™s Rep.	8.2	0.6	Q423	6
Lao PDR	14.0	8.7	Q819	7
Malaysia	68.0	54.7	Q833	8
Marshall Islands	95.3	73.4	Q709	9
Micronesia, Fed. Sts.	88.8	56.1	Q702	10
Mongolia	29.4	31.4	Q711	11
Myanmar	35.8	35.0	Q836	12
Palau	80.3	78.4	Q695	13
Papua New Guinea	80.8	60.3	Q691	14
Philippines	77.4	56.6	Q928	15
Samoa	81.1	77.5	Q683	16
Solomon Islands	73.6	56.2	Q685	17
Thailand	66.1	56.9	Q869	18
Timor-Leste	25.3	36.2	Q574	19
Tonga	81.3	80.9	Q678	20
Tuvalu	80.2	82.3	Q672	21
Vanuatu	81.2	43.3	Q686	22
Vietnam	60.8	50.1	Q881	23
Albania	68.4	64.9	Q222	24
Armenia	43.0	34.2	Q399	25
Azerbaijan	44.1	36.7	Q227	26
Belarus	25.8	23.0	Q184	27
Bosnia and Herzegovina	70.5	64.9	Q225	28
Bulgaria	60.3	60.4	Q219	29
Georgia	36.8	35.0	Q230	30
Kazakhstan	38.6	29.1	Q232	31
Kosovo	53.4	43.2	Q1246	32
Kyrgyz Republic	14.6	12.6	Q813	33
Lithuania	72.8	75.6	Q37	34
North Macedonia	51.9	61.9	Q221	35
Moldova	37.5	37.9	Q217	36
Montenegro	58.9	49.9	Q236	37
Romania	75.5	76.9	Q218	38
Russian Federation	62.4	53.9	Q159	39
Serbia	58.8	62.3	Q403	40
Tajikistan	18.0	14.5	Q863	41
Turkey	55.5	54.8	Q43	42
Turkmenistan	34.3	41.8	Q874	43
Ukraine	45.0	54.0	Q212	44
Uzbekistan	39.2	31.0	Q265	45
Antigua and Barbuda	70.8	67.9	Q781	46
Argentina	38.5	37.9	Q414	47
Belize	56.9	60.1	Q242	48
Bolivia	40.0	31.2	Q750	49
Brazil	57.8	55.5	Q155	50
Chile	45.8	44.2	Q298	51
Colombia	53.6	51.8	Q739	52
Costa Rica	67.5	60.6	Q800	53
Cuba	58.9	45.8	Q241	54
Dominica	80.4	81.6	Q784	55
Dominican Republic	67.2	65.4	Q786	56
Ecuador	49.6	54.6	Q736	57
El Salvador	55.1	54.1	Q792	58
