Country	Total	ID	id_row
Afghanistan	0.07	Q889	0
Albania	0.06	Q222	1
Algeria	0.08	Q262	2
Angola	1.49	Q916	3
Argentina	0.24	Q414	4
Armenia	0.1	Q399	5
Australia	0.07	Q408	6
Azerbaijan	0.1	Q227	7
Barbados	0.35	Q244	8
Belarus	0.4	Q184	9
Benin	0.55	Q962	10
Bolivia	0.15	Q750	11
Botswana	8.76	Q963	12
Bulgaria	0.08	Q219	13
Burkina Faso	0.21	Q965	14
Burundi	0.24	Q967	15
Cabo Verde	0.3	Q1011	16
Cambodia	0.08	Q424	17
Cameroon	1.22	Q1009	18
Central African Republic	2.14	Q929	19
Chad	0.55	Q657	20
Chile	0.47	Q298	21
Colombia	0.39	Q739	22
Comoros	0.01	Q970	23
Congo, Dem. Rep.	0.35	Q974	24
Congo, Rep.	2.48	Q971	25
Costa Rica	0.32	Q800	26
Cote d'Ivoire	0.92	Q1008	27
Croatia	0.04	Q224	28
Cuba	0.28	Q241	29
Djibouti	0.18	Q977	30
Dominican Republic	0.46	Q786	31
Ecuador	0.26	Q736	32
Egypt, Arab Rep.	0.08	Q79	33
El Salvador	0.25	Q792	34
Equatorial Guinea	6.41	Q983	35
Eritrea	0.16	Q986	36
Eswatini	11.56	Q1050	37
Ethiopia	0.25	Q115	38
Fiji	0.24	Q712	39
France	0.19	Q142	40
Gabon	1.14	Q1000	41
Gambia, The	1.79	Q1005	42
Ghana	1.13	Q117	43
Guatemala	0.13	Q774	44
Guinea	0.74	Q1006	45
Guinea-Bissau	2.02	Q1007	46
Guyana	0.74	Q734	47
Haiti	0.81	Q790	48
Honduras	0.2	Q783	49
Iran, Islamic Rep.	0.08	Q794	50
Italy	0.09	Q38	51
Jamaica	0.93	Q766	52
Kazakhstan	0.35	Q232	53
Kenya	1.52	Q114	54
Kyrgyz Republic	0.26	Q813	55
Lao PDR	0.2	Q819	56
Latvia	0.38	Q211	57
Lebanon	0.05	Q822	58
Lesotho	11.83	Q1013	59
Liberia	0.81	Q1014	60
Libya	0.11	Q1016	61
Lithuania	0.19	Q37	62
Madagascar	0.39	Q1019	63
Malawi	4.1	Q1020	64
Malaysia	0.31	Q833	65
Mauritius	0.94	Q1027	66
Moldova	0.46	Q217	67
Mongolia	0.02	Q711	68
Montenegro	0.1	Q236	69
Morocco	0.04	Q1028	70
Mozambique	9.44	Q1029	71
Myanmar	0.34	Q836	72
Namibia	5.72	Q1030	73
Nepal	0.05	Q837	74
Netherlands	0.04	Q55	75
New Zealand	0.06	Q664	76
Nicaragua	0.11	Q811	77
Niger	0.09	Q1032	78
Nigeria	0.8	Q1033	79
Oman	0.07	Q842	80
Pakistan	0.19	Q843	81
Papua New Guinea	0.63	Q691	82
Paraguay	0.28	Q733	83
Peru	0.19	Q419	84
Philippines	0.25	Q928	85
Romania	0.08	Q218	86
Rwanda	0.81	Q1037	87
Senegal	0.15	Q1041	88
Serbia	0.05	Q403	89
Sierra Leone	0.98	Q1044	90
Singapore	0.04	Q334	91
Somalia	0.04	Q1045	92
South Africa	7.6	Q258	93
South Sudan	2.51	Q958	94
Spain	0.13	Q29	95
Sri Lanka	0.01	Q854	96
Sudan	0.14	Q1049	97
Suriname	0.79	Q730	98
Switzerland	0.07	Q39	99
Syrian Arab Republic	0.01	Q858	100
Tajikistan	0.25	Q863	101
Tanzania	2.83	Q924	102
Thailand	0.18	Q869	103
Timor-Leste	0.25	Q574	104
Togo	0.97	Q945	105
Trinidad and Tobago	0.13	Q754	106
Tunisia	0.09	Q948	107
Uganda	2.83	Q1036	108
Ukraine	0.56	Q212	109
United States	0.22	Q30	110
Uzbekistan	0.19	Q265	111
Venezuela, RB	0.32	Q717	112
Vietnam	0.1	Q881	113
Yemen, Rep.	0.07	Q805	114
Zambia	6.71	Q953	115
Zimbabwe	4.94	Q954	116
