Country	MortalityRate1990	MortalityRate2019	ID	id_row
Afghanistan	120.0	47.0	Q889	0
Albania	36.0	9.0	Q222	1
Algeria	42.0	20.0	Q262	2
Andorra	9.0	3.0	Q228	3
Angola	131.0	50.0	Q916	4
Antigua and Barbuda	12.0	6.0	Q781	5
Argentina	25.0	8.0	Q414	6
Armenia	42.0	11.0	Q399	7
Australia	8.0	3.0	Q408	8
Austria	8.0	3.0	Q40	9
Azerbaijan	76.0	18.0	Q227	10
Bahamas, The	20.0	11.0	Q778	11
Bahrain	20.0	6.0	Q398	12
Bangladesh	100.0	26.0	Q902	13
Barbados	16.0	12.0	Q244	14
Belarus	12.0	2.0	Q184	15
Belgium	8.0	3.0	Q31	16
Belize	31.0	11.0	Q242	17
Benin	106.0	59.0	Q962	18
Bhutan	89.0	24.0	Q917	19
Bolivia	84.0	21.0	Q750	20
Bosnia and Herzegovina	16.0	5.0	Q225	21
Botswana	36.0	32.0	Q963	22
Brazil	52.0	12.0	Q155	23
Brunei Darussalam	10.0	10.0	Q921	24
Bulgaria	15.0	6.0	Q219	25
Burkina Faso	99.0	54.0	Q965	26
Burundi	105.0	40.0	Q967	27
Cabo Verde	47.0	13.0	Q1011	28
Cambodia	85.0	23.0	Q424	29
Cameroon	84.0	50.0	Q1009	30
Canada	7.0	4.0	Q16	31
Central African Republic	116.0	81.0	Q929	32
Chad	112.0	69.0	Q657	33
Chile	16.0	6.0	Q298	34
China	42.0	7.0	Q148	35
Colombia	29.0	12.0	Q739	36
Comoros	88.0	48.0	Q970	37
Congo, Dem. Rep.	119.0	66.0	Q974	38
Congo, Rep.	59.0	35.0	Q971	39
Costa Rica	14.0	8.0	Q800	40
Cote d'Ivoire	104.0	59.0	Q1008	41
Croatia	11.0	4.0	Q224	42
Cuba	11.0	4.0	Q241	43
Cyprus	10.0	2.0	Q229	44
Czech Republic	10.0	3.0	Q213	45
Denmark	7.0	3.0	Q35	46
Djibouti	92.0	48.0	Q977	47
Dominica	13.0	31.0	Q784	48
Dominican Republic	46.0	24.0	Q786	49
Ecuador	42.0	12.0	Q736	50
Egypt, Arab Rep.	63.0	17.0	Q79	51
El Salvador	46.0	11.0	Q792	52
Equatorial Guinea	120.0	60.0	Q983	53
Eritrea	94.0	31.0	Q986	54
Estonia	14.0	2.0	Q191	55
