Country	Combinedsourceestimates	ID	id_row
Afghanistan	10.0	Q889	0
Albania	2.8	Q222	1
Algeria	1.4	Q262	2
American Samoa	7.2	Q16641	3
Andorra	0.0	Q228	4
Angola	4.8	Q916	5
Antigua and Barbuda	10.3	Q781	6
Argentina	6.5	Q414	7
Armenia	2.6	Q399	8
Aruba	1.9	Q21203	9
Australia	1.0	Q408	10
Austria	0.5	Q40	11
Azerbaijan	2.3	Q227	12
Bahamas, The	37.7	Q778	13
Bahrain	0.5	Q398	14
Bangladesh	2.5	Q902	15
Barbados	10.9	Q244	16
Belarus	3.6	Q184	17
Belgium	2.0	Q31	18
Belize	33.1	Q242	19
Benin	1.1	Q962	20
Bermuda	6.5	Q23635	21
Bhutan	1.5	Q917	22
Bolivia	6.3	Q750	23
Bosnia and Herzegovina	1.6	Q225	24
Brazil	28.4	Q155	25
Brunei Darussalam	0.5	Q921	26
Bulgaria	1.8	Q219	27
Burkina Faso	0.6	Q965	28
Burundi	4.5	Q967	29
Cabo Verde	8.6	Q1011	30
Cameroon	1.2	Q1009	31
Canada	1.7	Q16	32
Cayman Islands	8.4	Q5785	33
Central African Republic	19.8	Q929	34
Chile	3.4	Q298	35
China	0.7	Q148	36
Hong Kong SAR, China	0.3	Q8646	37
Macao SAR, China	0.2	Q14773	38
Colombia	26.5	Q739	39
Costa Rica	11.6	Q800	40
Croatia	0.9	Q224	41
Cuba	5.4	Q241	42
Cyprus	1.3	Q229	43
Czech Republic	0.8	Q213	44
Denmark	1.1	Q35	45
Dominica	12.3	Q784	46
Dominican Republic	15.2	Q786	47
Ecuador	6.5	Q736	48
Egypt, Arab Rep.	2.5	Q79	49
El Salvador	105.4	Q792	50
Estonia	3.4	Q191	51
Eswatini	8.5	Q1050	52
Fiji	2.3	Q712	53
Finland	1.5	Q33	54
France	1.6	Q142	55
Georgia	1.0	Q230	56
Germany	0.8	Q183	57
Ghana	1.9	Q117	58
Greece	0.8	Q41	59
Greenland	7.1	Q223	60
Grenada	5.6	Q769	61
Guatemala	29.4	Q774	62
Guinea-Bissau	2.7	Q1007	63
Guyana	19.4	Q734	64
Haiti	10.0	Q790	65
Honduras	57.5	Q783	66
Hungary	2.3	Q28	67
Iceland	0.9	Q189	68
India	3.4	Q668	69
Indonesia	0.6	Q252	70
Iran, Islamic Rep.	2.5	Q794	71
Iraq	9.9	Q796	72
Ireland	0.7	Q27	73
Isle of Man	1.2	Q9676	74
Israel	1.4	Q801	75
Italy	0.8	Q38	76
Jamaica	42.1	Q766	77
Japan	0.3	Q17	78
Jordan	1.6	Q810	79
Kazakhstan	4.8	Q232	80
Kenya	4.8	Q114	81
Kiribati	7.5	Q710	82
Korea, Rep.	0.7	Q884	83
Kosovo	2.3	Q1246	84
Kuwait	1.8	Q817	85
Kyrgyz Republic	5.2	Q813	86
Latvia	3.4	Q211	87
Lebanon	3.9	Q822	88
Lesotho	41.2	Q1013	89
Liberia	3.2	Q1014	90
Liechtenstein	0.0	Q347	91
Lithuania	5.9	Q37	92
Luxembourg	0.9	Q32	93
Madagascar	1.2	Q1019	94
Malaysia	1.7	Q833	95
Maldives	2.1	Q826	96
Mali	0.8	Q912	97
Marshall Islands	0.9	Q709	98
Mexico	1.7	Q96	99
Micronesia, Fed. Sts.	16.5	Q702	100
Monaco	3.2	Q235	101
Mongolia	0.0	Q711	102
Montenegro	6.2	Q236	103
Morocco	2.7	Q1028	104
Mozambique	1.2	Q1029	105
Namibia	2.2	Q1030	106
Nepal	17.1	Q837	107
Netherlands	2.2	Q55	108
New Caledonia	0.6	Q33788	109
Nicaragua	1.0	Q811	110
Niger	8.6	Q1032	111
Nigeria	4.4	Q1033	112
Norway	0.5	Q20	113
Oman	0.4	Q842	114
Pakistan	5.0	Q843	115
Panama	11.9	Q804	116
Paraguay	9.3	Q733	117
Peru	7.2	Q419	118
Philippines	9.5	Q928	119
Poland	0.8	Q36	120
Portugal	1.0	Q45	121
Puerto Rico	16.7	Q1183	122
Qatar	0.4	Q846	123
Romania	1.5	Q218	124
Russian Federation	11.6	Q159	125
Rwanda	2.5	Q1037	126
Samoa	3.1	Q683	127
Saudi Arabia	1.5	Q851	128
Serbia	1.2	Q403	129
Seychelles	7.5	Q1042	130
Sierra Leone	1.7	Q1044	131
Singapore	0.3	Q334	132
Slovak Republic	0.8	Q214	133
Slovenia	1.0	Q215	134
South Africa	33.8	Q258	135
South Sudan	13.9	Q958	136
Spain	0.7	Q29	137
Sri Lanka	2.4	Q854	138
St. Kitts and Nevis	34.2	Q763	139
St. Lucia	15.8	Q760	140
St. Martin (French part)	17.1	Q126125	141
St. Vincent and the Grenadines	36.5	Q757	142
Suriname	6.1	Q730	143
Sweden	1.1	Q34	144
Switzerland	0.7	Q39	145
Tanzania	7.0	Q924	146
Thailand	3.5	Q869	147
Timor-Leste	3.9	Q574	148
Tonga	1.0	Q678	149
Trinidad and Tobago	30.9	Q754	150
Tunisia	3.0	Q948	151
Turkey	4.3	Q43	152
Turks and Caicos Islands	5.9	Q18221	153
Tuvalu	18.6	Q672	154
Uganda	10.8	Q1036	155
Ukraine	6.2	Q212	156
United Arab Emirates	0.7	Q878	157
United Kingdom	1.0	Q145	158
United States	5.0	Q30	159
Uruguay	8.5	Q77	160
Uzbekistan	1.6	Q265	161
Venezuela, RB	56.3	Q717	162
Virgin Islands (U.S.)	49.3	Q11703	163
West Bank and Gaza	1.0	Q407199	164
Yemen, Rep.	6.7	Q805	165
Zambia	5.3	Q953	166
Zimbabwe	6.7	Q954	167
