Country	SecureInternetservers	ID	id_row
Afghanistan	52.9	Q889	0
Albania	526.1	Q222	1
Algeria	67.6	Q262	2
American Samoa	450.7	Q16641	3
Andorra	5194.4	Q228	4
Angola	11.2	Q916	5
Antigua and Barbuda	841.2	Q781	6
Argentina	1872.6	Q414	7
Armenia	335.1	Q399	8
Aruba	1152.6	Q21203	9
Australia	32903.6	Q408	10
Austria	16705.0	Q40	11
Azerbaijan	329.4	Q227	12
Bahamas, The	2357.1	Q778	13
Bahrain	370.8	Q398	14
Bangladesh	116.0	Q902	15
Barbados	868.7	Q244	16
Belarus	3420.7	Q184	17
Belgium	13973.2	Q31	18
Belize	11595.8	Q242	19
Benin	7.3	Q962	20
Bermuda	8150.8	Q23635	21
Bhutan	177.6	Q917	22
Bolivia	130.2	Q750	23
Bosnia and Herzegovina	1934.8	Q225	24
Botswana	133.5	Q963	25
Brazil	2036.4	Q155	26
British Virgin Islands	330716.1	Q25305	27
Brunei Darussalam	1988.5	Q921	28
Bulgaria	38223.9	Q219	29
Burkina Faso	2.5	Q965	30
Burundi	6.0	Q967	31
Cabo Verde	498.4	Q1011	32
Cambodia	81.1	Q424	33
Cameroon	5.4	Q1009	34
Canada	30953.2	Q16	35
Cayman Islands	11531.1	Q5785	36
Central African Republic	0.6	Q929	37
Chad	0.5	Q657	38
Chile	8073.3	Q298	39
China	446.7	Q148	40
Colombia	651.3	Q739	41
Comoros	7.2	Q970	42
Congo, Dem. Rep.	2.8	Q974	43
Congo, Rep.	6.1	Q971	44
Costa Rica	1205.9	Q800	45
Cote d'Ivoire	11.6	Q1008	46
Croatia	19554.8	Q224	47
Cuba	16.1	Q241	48
Curacao	3786.0	Q25279	49
Cyprus	6372.0	Q229	50
Czech Republic	42344.6	Q213	51
Denmark	123154.4	Q35	52
Djibouti	37.5	Q977	53
Dominica	6631.8	Q784	54
Dominican Republic	121.7	Q786	55
Ecuador	265.6	Q736	56
Egypt, Arab Rep.	35.1	Q79	57
El Salvador	90.6	Q792	58
Equatorial Guinea	9.9	Q983	59
Estonia	48893.4	Q191	60
Eswatini	53.7	Q1050	61
Ethiopia	1.5	Q115	62
Faroe Islands	4639.5	Q4628	63
Fiji	173.2	Q712	64
Finland	33999.1	Q33	65
France	20421.4	Q142	66
French Polynesia	741.9	Q30971	67
Gabon	26.4	Q1000	68
Gambia, The	24.6	Q1005	69
Georgia	2182.2	Q230	70
Germany	56406.6	Q183	71
Ghana	21.8	Q117	72
Gibraltar	16460.1	Q1410	73
Greece	5035.4	Q41	74
Greenland	3070.2	Q223	75
Grenada	323.0	Q769	76
Guam	856.6	Q16635	77
Guatemala	78.7	Q774	78
Guinea	3.3	Q1006	79
Guinea-Bissau	2.1	Q1007	80
Guyana	47.5	Q734	81
Haiti	5.3	Q790	82
Honduras	74.8	Q783	83
Hong Kong SAR, China	19403.6	Q8646	84
Hungary	19243.9	Q28	85
Iceland	64762.2	Q189	86
India	187.8	Q668	87
Indonesia	1283.0	Q252	88
Iran, Islamic Rep.	494.6	Q794	89
Iraq	11.3	Q796	90
Ireland	69593.6	Q27	91
Isle of Man	8254.3	Q9676	92
Israel	9611.9	Q801	93
Italy	12258.0	Q38	94
Jamaica	153.7	Q766	95
Japan	11670.8	Q17	96
Jordan	103.0	Q810	97
Kazakhstan	1374.2	Q232	98
Kenya	217.2	Q114	99
Kiribati	43.2	Q710	100
Korea, Dem. Peopleâ€™s Rep.	0.0	Q423	101
Korea, Rep.	2065.1	Q884	102
Kuwait	412.1	Q817	103
Kyrgyz Republic	170.0	Q813	104
Lao PDR	20.4	Q819	105
Latvia	14504.1	Q211	106
Lebanon	174.5	Q822	107
Lesotho	39.4	Q1013	108
Liberia	2.3	Q1014	109
Libya	1.8	Q1016	110
Liechtenstein	35162.2	Q347	111
Lithuania	18267.1	Q37	112
Luxembourg	43151.6	Q32	113
Macao SAR, China	2650.3	Q14773	114
North Macedonia	464.7	Q221	115
Madagascar	5.4	Q1019	116
Malawi	15.4	Q1020	117
Malaysia	5713.0	Q833	118
Maldives	523.6	Q826	119
Mali	10.5	Q912	120
Malta	14415.1	Q233	121
Marshall Islands	137.0	Q709	122
Mauritania	5.5	Q1025	123
Mauritius	7844.8	Q1027	124
Mexico	225.7	Q96	125
Micronesia, Fed. Sts.	186.4	Q702	126
Moldova	3920.8	Q217	127
Monaco	10650.9	Q235	128
Mongolia	1689.8	Q711	129
Montenegro	416.2	Q236	130
Morocco	295.7	Q1028	131
Mozambique	11.8	Q1029	132
Myanmar	9.2	Q836	133
Namibia	149.5	Q1030	134
Nauru	78.7	Q697	135
