Country	Investment201014	Investment201519	ID	id_row
Argentina	2519.5	5347.5	Q414	0
Armenia	107.0	571.4	Q399	1
Bangladesh	2546.2	1232.7	Q902	2
Belarus	3125.0	11.3	Q184	3
Belize	22.2	8.6	Q242	4
Bosnia and Herzegovina	661.9	60.0	Q225	5
Brazil	79250.7	46818.6	Q155	6
Bulgaria	1611.2	11.6	Q219	7
Cambodia	1863.5	112.7	Q424	8
Cameroon	342.0	1369.4	Q1009	9
China	11614.5	9799.0	Q148	10
Colombia	3138.6	2574.3	Q739	11
Costa Rica	853.6	189.0	Q800	12
Cote d'Ivoire	680.0	582.1	Q1008	13
Dominican Republic	862.7	573.6	Q786	14
Ecuador	185.7	222.8	Q736	15
Egypt, Arab Rep.	590.7	2841.0	Q79	16
El Salvador	16.0	1336.7	Q792	17
Gabon	368.0	167.0	Q1000	18
Georgia	432.7	496.4	Q230	19
Ghana	2140.0	2285.0	Q117	20
Guatemala	2131.7	183.9	Q774	21
Honduras	1273.6	1038.9	Q783	22
India	71680.2	7581.4	Q668	23
Indonesia	8194.2	20809.4	Q252	24
Iraq	500.0	500.0	Q796	25
Jamaica	132.0	663.8	Q766	26
Jordan	1643.0	4372.8	Q810	27
Kazakhstan	42.7	606.0	Q232	28
Kenya	1864.6	520.2	Q114	29
Kosovo	486.2	211.7	Q1246	30
Lao PDR	12229.5	1899.0	Q819	31
North Macedonia	14.2	12.0	Q221	32
Malaysia	3708.9	3316.1	Q833	33
Mexico	10755.8	19402.2	Q96	34
Mongolia	120.0	320.7	Q711	35
Morocco	6282.3	2533.4	Q1028	36
Mozambique	298.7	413.0	Q1029	37
Myanmar	170.0	608.0	Q836	38
Nepal	1276.0	845.8	Q837	39
Nigeria	407.3	950.0	Q1033	40
Pakistan	2455.4	12828.2	Q843	41
Peru	8552.2	3139.0	Q419	42
Philippines	4523.7	9391.4	Q928	43
Romania	4634.0	114.6	Q218	44
Russian Federation	12905.3	1789.7	Q159	45
Rwanda	230.1	362.0	Q1037	46
Senegal	359.0	851.1	Q1041	47
Serbia	574.0	818.0	Q403	48
Sierra Leone	30.0	40.0	Q1044	49
South Africa	9683.3	10087.1	Q258	50
Tanzania	134.1	8.5	Q924	51
Thailand	9795.0	6911.6	Q869	52
Turkey	42001.6	6951.6	Q43	53
Uganda	64.0	215.7	Q1036	54
Ukraine	2269.2	2102.7	Q212	55
Vietnam	5822.3	9533.4	Q881	56
Zambia	1849.0	934.0	Q953	57
