Country	Male_2000	Male_2018	Female_2000	Female_2018	ID	id_row
Afghanistan	78.3	74.7	14.6	21.4	Q889	0
Albania	71.7	64.7	51.5	46.8	Q222	1
Algeria	74.7	67.7	11.9	14.6	Q262	2
Angola	79.5	79.0	75.6	76.1	Q916	3
Argentina	75.1	72.8	49.8	50.8	Q414	4
Armenia	63.0	65.9	45.7	47.1	Q399	5
Australia	72.3	71.0	54.6	60.4	Q408	6
Austria	68.9	66.7	48.9	55.0	Q40	7
Azerbaijan	70.7	70.2	56.3	63.7	Q227	8
Bahamas, The	81.1	81.6	68.7	68.2	Q778	9
Bahrain	86.7	87.3	34.8	44.9	Q398	10
Bangladesh	86.6	81.4	27.0	36.1	Q902	11
Barbados	74.6	69.5	62.7	62.0	Q244	12
Belarus	65.9	72.1	53.3	58.1	Q184	13
Belgium	61.4	59.0	43.6	48.7	Q31	14
Belize	81.7	80.6	40.3	49.7	Q242	15
Benin	81.1	73.0	63.9	68.6	Q962	16
Bhutan	76.4	73.1	60.9	58.7	Q917	17
Bolivia	82.1	80.6	59.5	63.4	Q750	18
Bosnia and Herzegovina	57.2	58.3	33.2	35.5	Q225	19
Botswana	68.2	76.8	49.7	65.2	Q963	20
Brazil	78.6	74.3	50.2	54.4	Q155	21
Brunei Darussalam	79.9	71.4	55.9	57.9	Q921	22
Bulgaria	55.9	62.1	44.3	49.3	Q219	23
Burkina Faso	88.3	75.0	68.0	58.5	Q965	24
Burundi	82.8	77.8	84.3	80.5	Q967	25
Cabo Verde	76.3	67.5	44.1	53.1	Q1011	26
Cambodia	81.0	88.7	76.8	76.3	Q424	27
Cameroon	86.3	81.2	78.5	71.3	Q1009	28
Canada	72.1	69.7	58.6	61.0	Q16	29
Central African Republic	79.9	79.8	65.2	64.5	Q929	30
Chad	80.6	77.6	64.4	64.0	Q657	31
Channel Islands	69.9	66.2	49.3	50.9	Q42314	32
Chile	75.5	73.9	38.3	51.6	Q298	33
China	83.4	75.7	71.1	61.1	Q148	34
Hong Kong SAR, China	73.6	67.9	49.6	54.3	Q8646	35
Macao SAR, China	76.1	76.7	55.9	65.3	Q14773	36
Colombia	83.2	80.9	53.6	57.2	Q739	37
Comoros	51.9	49.9	32.2	36.4	Q970	38
Congo, Dem. Rep.	72.6	66.5	70.6	61.0	Q974	39
Congo, Rep.	70.3	71.6	66.2	67.6	Q971	40
Costa Rica	80.5	76.5	38.7	48.0	Q800	41
Cote d'Ivoire	80.8	65.7	48.3	48.1	Q1008	42
Croatia	62.9	57.8	45.3	45.5	Q224	43
Cuba	67.8	66.8	36.3	40.9	Q241	44
Cyprus	72.0	68.6	49.6	57.9	Q229	45
Czech Republic	69.3	68.9	51.6	53.1	Q213	46
Denmark	71.7	66.4	60.0	58.3	Q35	47
Djibouti	77.7	68.8	46.6	50.7	Q977	48
Dominican Republic	78.8	77.5	40.4	51.2	Q786	49
Ecuador	83.7	81.1	51.5	55.1	Q736	50
Egypt, Arab Rep.	72.6	70.8	19.9	21.8	Q79	51
El Salvador	79.8	75.6	45.4	45.1	Q792	52
Equatorial Guinea	66.4	66.8	50.9	54.7	Q983	53
Eritrea	86.9	85.6	70.1	71.5	Q986	54
Estonia	66.6	71.3	52.6	57.4	Q191	55
Eswatini	58.5	56.6	44.0	48.3	Q1050	56
Ethiopia	89.8	85.8	71.1	73.3	Q115	57
Fiji	77.7	76.7	36.7	38.3	Q712	58
Finland	66.2	63.0	56.2	55.7	Q33	59
France	62.9	60.2	48.5	50.8	Q142	60
French Polynesia	69.1	61.1	48.0	47.8	Q30971	61
Gabon	57.9	61.7	36.5	43.2	Q1000	62
Gambia, The	69.8	67.9	47.2	51.0	Q1005	63
Georgia	73.5	80.7	54.9	57.4	Q230	64
Germany	67.7	66.7	49.0	55.2	Q183	65
Ghana	76.7	71.9	72.8	63.8	Q117	66
Greece	66.2	60.2	40.9	44.4	Q41	67
Guam	81.1	76.5	57.5	52.7	Q16635	68
Guatemala	85.4	86.3	41.2	39.9	Q774	69
Guinea	65.6	60.1	62.7	62.7	Q1006	70
Guinea-Bissau	80.6	78.7	64.6	65.8	Q1007	71
Guyana	79.7	68.6	35.4	43.8	Q734	72
Haiti	69.5	72.6	57.5	61.7	Q790	73
Honduras	88.2	86.0	44.8	51.9	Q783	74
Hungary	57.9	65.7	41.1	48.4	Q28	75
Iceland	83.0	79.5	73.7	71.1	Q189	76
India	83.0	76.2	30.4	20.7	Q668	77
Indonesia	83.6	82.0	51.1	53.0	Q252	78
Iran, Islamic Rep.	73.6	71.9	13.9	17.7	Q794	79
Iraq	75.5	74.2	9.7	11.4	Q796	80
Ireland	75.4	68.8	50.1	56.2	Q27	81
Israel	69.7	68.6	53.2	59.7	Q801	82
Italy	61.2	59.3	35.3	40.8	Q38	83
Jamaica	76.0	72.3	58.1	59.5	Q766	84
Japan	76.6	71.6	49.3	52.8	Q17	85
Jordan	68.9	64.0	12.7	14.4	Q810	86
Kazakhstan	77.0	75.8	65.5	63.0	Q232	87
Kenya	73.5	77.2	68.6	71.9	Q114	88
Korea, Dem. Peopleâ€™s Rep.	89.3	87.8	75.7	73.5	Q423	89
Korea, Rep.	73.7	73.1	48.8	52.9	Q884	90
Kuwait	82.9	87.6	43.3	49.9	Q817	91
Kyrgyz Republic	73.9	75.7	55.2	45.0	Q813	92
Lao PDR	81.1	80.2	79.1	76.7	Q819	93
Latvia	64.9	68.8	48.9	56.0	Q211	94
Lebanon	71.7	71.5	21.6	22.9	Q822	95
Lesotho	80.4	75.8	67.7	60.2	Q1013	96
Liberia	79.5	80.7	69.4	72.0	Q1014	97
Libya	59.2	65.3	28.9	34.0	Q1016	98
Lithuania	66.5	67.8	54.8	56.7	Q37	99
Luxembourg	66.0	63.6	41.4	54.7	Q32	100
Madagascar	89.2	88.9	84.1	83.3	Q1019	101
Malawi	80.0	80.9	75.9	72.6	Q1020	102
Malaysia	78.1	77.0	44.6	50.6	Q833	103
Maldives	71.0	83.2	37.4	41.6	Q826	104
Mali	79.9	80.6	60.0	61.3	Q912	105
Malta	70.6	67.3	29.9	46.1	Q233	106
Mauritania	72.2	63.1	29.8	28.8	Q1025	107
Mauritius	78.9	72.4	39.7	45.2	Q1027	108
Mexico	82.5	78.6	38.9	44.1	Q96	109
Moldova	52.1	46.2	50.0	40.9	Q217	110
Mongolia	65.9	66.5	54.3	53.4	Q711	111
Montenegro	56.2	62.8	41.5	46.4	Q236	112
Morocco	76.9	70.3	24.3	21.6	Q1028	113
Mozambique	82.7	79.1	87.5	77.5	Q1029	114
Myanmar	84.9	77.6	59.1	47.7	Q836	115
Namibia	62.7	62.9	47.9	55.5	Q1030	116
Nepal	90.4	85.0	81.4	82.7	Q837	117
Netherlands	72.8	69.4	53.2	58.4	Q55	118
New Caledonia	73.0	68.5	61.9	58.0	Q33788	119
New Zealand	73.2	75.4	56.7	64.8	Q664	120
Nicaragua	86.5	84.3	38.5	49.4	Q811	121
Niger	90.2	83.9	68.9	60.9	Q1032	122
Nigeria	64.7	58.0	55.3	48.2	Q1033	123
North Macedonia	65.5	67.5	40.9	43.0	Q221	124
Norway	72.8	67.4	61.2	60.4	Q20	125
Oman	77.2	89.4	23.3	30.9	Q842	126
Pakistan	83.8	81.8	16.1	21.7	Q843	127
Panama	80.9	80.0	44.9	53.4	Q804	128
Papua New Guinea	73.4	48.2	70.6	46.6	Q691	129
Paraguay	86.4	84.7	52.6	59.0	Q733	130
Peru	80.3	84.8	54.9	70.0	Q419	131
Philippines	77.3	73.3	47.7	46.0	Q928	132
Poland	63.6	65.8	49.6	48.9	Q36	133
Portugal	69.7	64.5	52.7	54.5	Q45	134
Puerto Rico	59.4	48.9	34.7	32.2	Q1183	135
